Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
09-12-2024 13:00,KOZAL,23.9,24.26,23.88,24.24,19022705.0,0.02,0.34,0.01,5566.67,0.34,6744150.4,182.06,True,59.97,2024-12-09,24.0,1.0,0,,23.6,24.34,False,False
09-12-2024 13:00,SMRTG,40.34,41.04,40.22,41.0,2239149.0,0.04,0.66,0.15,352.05,0.66,616256.4,263.35,True,85.36,2024-12-09,39.48,3.85,0,,38.84,ATH,False,False
09-12-2024 13:00,CWENE,24.94,25.54,24.9,25.46,3075389.0,0.08,0.52,0.05,940.0,0.52,1339525.1,129.59,True,60.45,2024-12-09,24.7,3.08,0,,24.64,26.68,True,False
09-12-2024 13:00,EUPWR,36.52,37.86,36.38,37.8,3719877.0,0.06,1.28,0.11,1063.64,1.28,1225338.7,203.58,True,72.08,2024-12-09,35.6,6.18,0,,35.46,ATH,False,False
09-12-2024 13:00,MTRKS,18.93,19.47,18.92,19.44,657210.0,0.03,0.51,0.04,1357.14,0.51,233089.2,181.96,True,65.35,2024-12-09,19.0,2.32,0,,18.62,19.85,False,False
09-12-2024 13:00,KLSER,37.66,38.34,37.66,38.28,1628495.0,0.06,0.62,0.1,507.84,0.62,1009102.9,61.38,True,74.89,2024-12-09,35.4,8.14,0,,34.28,ATH,False,False
09-12-2024 13:00,IPEKE,51.6,54.85,51.55,54.6,2231883.0,0.25,3.0,0.21,1295.35,3.0,469385.9,375.49,True,72.98,2024-12-09,51.8,5.41,0,,50.2,55.5,False,False
09-12-2024 13:00,KONTR,46.42,47.2,46.28,47.1,4273346.0,0.1,0.68,0.14,378.87,0.68,1922872.8,122.24,True,73.95,2024-12-09,45.42,3.7,0,,44.92,50.75,False,False
09-12-2024 13:00,ALFAS,53.15,55.3,52.9,55.25,2089682.0,0.05,2.1,0.38,452.63,2.1,601865.8,247.2,True,90.82,2024-12-09,51.4,7.49,0,,50.3,ATH,False,False
09-12-2024 12:00,KLKIM,33.16,34.26,33.12,34.16,1700306.0,0.1,1.0,0.1,880.39,1.0,989632.9,71.81,True,84.15,2024-12-09,31.22,9.42,0,,30.24,ATH,False,False
09-12-2024 12:00,BLCYT,17.34,17.64,17.34,17.64,552513.0,0.0,0.3,0.03,934.48,0.3,232956.5,137.17,True,57.7,2024-12-09,17.21,2.5,0,,17.2,17.95,True,True
09-12-2024 12:00,ARTMS,34.18,34.86,34.16,34.8,185764.0,0.06,0.62,0.12,425.42,0.62,114227.8,62.63,True,78.46,2024-12-09,33.56,3.69,0,,32.2,36.14,False,False
09-12-2024 12:00,IZENR,4.94,5.06,4.92,5.06,5154492.0,0.0,0.12,0.02,471.43,0.12,1350657.5,281.63,True,82.12,2024-12-09,4.83,4.76,0,,4.77,5.1,False,False
09-12-2024 12:00,ISSEN,9.8,10.02,9.8,10.01,2730910.0,0.01,0.21,0.05,303.85,0.21,542242.2,403.63,True,87.45,2024-12-09,9.51,5.26,0,,8.96,ATH,False,False
09-12-2024 12:00,GOZDE,27.64,27.86,27.6,27.84,223082.0,0.02,0.2,0.01,3233.33,0.2,133770.6,66.76,True,60.4,2024-12-09,27.6,0.87,0,,27.28,28.14,False,False
09-12-2024 12:00,BUCIM,8.53,8.79,8.5,8.75,7369887.0,0.04,0.22,0.03,528.57,0.22,2876128.9,156.24,True,86.96,2024-12-09,8.11,7.89,0,,8.01,ATH,False,False
09-12-2024 12:00,ZOREN,4.44,4.51,4.43,4.5,29144733.0,0.01,0.06,0.01,400.0,0.06,14221393.7,104.94,True,73.78,2024-12-09,4.4,2.27,0,,4.35,ATH,False,False
09-12-2024 11:00,GSDDE,8.52,8.64,8.5,8.64,512580.0,0.0,0.12,0.01,1100.0,0.12,232173.9,120.77,True,65.53,2024-12-09,8.55,1.05,0,,8.3,8.65,False,False
