Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
KAYSE,06-05-2024,33.52,-3.29,-0.21,32.59,32.48,32.88,33.59,32.78,32.53,31.84,32.38,33.37,34.21,37021497.33,49.07,,,,+,,,,+_29-04-2024 09:00:00,-_25-12-2023 09:00:00,,,,,,,,-,-,,,,,1,2
INFO,06-05-2024,12.31,-0.73,6.05,12.04,12.17,12.51,12.88,12.06,12.24,11.79,12.41,8.02,12.16,11165969.67,46.28,,,,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,+,,-,,,-,,,,,1,2
ISGSY,06-05-2024,30.16,-7.88,-44.35,31.28,30.63,29.63,28.34,31.43,30.41,31.01,29.95,15.43,31.27,17236209.33,55.21,-,-,,,,,,+_01-04-2024 09:00:00,+_03-07-2023 09:00:00,,,-,-,,+,,,-,,,,,1,5
KENT,06-05-2024,1375.0,-6.84,0.89,1370.02,1294.58,1169.47,1017.56,1389.48,1268.1,1360.91,1229.43,357.53,1387.0,47217.67,67.92,,,,,,,,+_12-02-2024 09:00:00,+_29-01-2024 09:00:00,,,-,,,+,,-,-,-,,,,1,4
IHYAY,06-05-2024,3.06,0.33,214.98,2.99,2.95,2.94,2.88,3.01,2.95,2.91,2.92,1.42,3.14,22646939.33,55.41,,,,,,,,+_22-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,,,-,,-,,,,+,,1,2
TARKM,06-05-2024,540.0,-6.74,-1.78,577.52,598.78,621.77,636.17,569.89,604.67,584.13,626.34,636.51,558.83,1468956.0,42.03,,,,,,,,-_11-03-2024 09:00:00,-_01-04-2024 09:00:00,,,,,,,,,-,,,,,0,1
AVPGY,06-05-2024,42.1,-0.75,36.57,42.96,43.66,44.45,45.08,42.71,43.85,43.38,44.34,45.82,42.17,17958685.0,41.79,,,,,,,,-_06-05-2024 09:00:00,-_06-05-2024 09:00:00,,,,,,,,-,-,,,,,0,2
LIDER,06-05-2024,70.45,-0.77,-3.82,70.35,70.15,69.3,67.58,70.33,70.01,70.74,70.39,42.53,70.58,3296458.0,53.99,,,,,,,,+_12-02-2024 09:00:00,+_05-02-2024 09:00:00,,,,,,,,-,-,,,,,0,2
AVHOL,06-05-2024,41.7,-3.56,34.83,43.37,44.19,45.31,47.69,43.06,44.41,43.47,45.88,30.03,42.77,9150427.33,42.94,,,,,,,,-_25-03-2024 09:00:00,-_04-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
TATGD,06-05-2024,27.0,-2.53,30.89,27.41,27.98,29.15,30.61,27.3,28.22,27.07,28.6,22.19,26.97,8790665.33,38.77,-,,,,,,,-_11-03-2024 09:00:00,-_04-03-2024 09:00:00,,,-,,,-,,,-,,,,,0,4
IPEKE,06-05-2024,38.86,-7.03,-41.27,40.53,40.61,40.37,39.98,40.4,40.58,40.78,40.94,25.77,39.89,25029148.67,48.47,-,-,-,-,,,-,-_06-05-2024 09:00:00,+_12-02-2024 09:00:00,-,,-,-,-,-,,,-,-,-,,-,0,14
AVGYO,06-05-2024,9.31,4.61,68.46,8.95,8.82,8.71,8.55,9.02,8.79,8.78,8.68,4.54,9.23,2981885.67,58.7,,,,,,,,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,,,-,,,,,,,,0,1
TSPOR,06-05-2024,1.97,-1.5,-41.36,1.9,1.84,1.79,1.78,1.93,1.82,1.83,1.76,1.45,1.98,704288591.67,56.58,,,,,,,,+_15-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,,,-,,,-,,,,,0,2
ISSEN,06-05-2024,11.04,-4.17,32.9,11.14,11.13,11.19,11.48,11.15,11.14,11.05,11.16,14.06,11.27,9745999.67,43.53,-,-,-,,,,,+_29-04-2024 09:00:00,-_06-05-2024 09:00:00,,,-,,,,,-,-,,,,,0,6
TATEN,06-05-2024,32.1,-6.41,-17.69,33.2,33.81,34.75,36.0,33.03,34.01,33.16,34.54,39.92,32.95,15719575.33,42.96,-,-,,,,,,-_04-03-2024 09:00:00,-_04-03-2024 09:00:00,,,-,-,,,,-,-,,,,,0,6
BJKAS,06-05-2024,22.82,-40.82,471.39,47.25,53.39,56.48,55.96,43.54,54.47,55.1,59.98,21.67,26.79,5338476.67,36.86,,,,,,-,,-_29-04-2024 09:00:00,-_06-05-2024 09:00:00,,,,,-,-,,,-,,,,,0,4
KUVVA,06-05-2024,44.5,-3.26,-15.08,44.93,44.82,45.09,45.77,45.01,44.84,44.52,44.73,31.34,45.33,291448.33,47.62,-,-,-,,,,,+_22-04-2024 09:00:00,-_11-12-2023 09:00:00,,,-,,,-,,,-,,,-,,0,7
TNZTP,06-05-2024,60.05,-1.88,50.09,62.79,64.25,65.25,64.67,62.12,64.57,64.05,66.02,47.19,60.1,2232395.67,46.12,,,,,,,,-_15-04-2024 09:00:00,-_29-04-2024 09:00:00,,,,,,,,,-,,,,,0,1
KZGYO,06-05-2024,22.7,-4.46,18.07,23.58,23.92,24.41,25.04,23.46,24.02,23.52,24.36,26.79,23.16,10474969.67,42.91,,,,,,,,-_18-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,,,,-,,,,,0,1
