Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc
02-05-2024 16:00,OZKGY,8.62,8.73,8.62,8.71,2489804.0,0.02,0.09,0.02,462.5,0.09,1040779.8,139.22,True,0,,8.42,8.96
02-05-2024 16:00,HALKB,16.24,16.66,16.24,16.58,35517507.0,0.08,0.34,0.02,1445.45,0.34,9232153.5,284.72,True,0,,15.91,16.69
02-05-2024 16:00,SOKM,58.7,59.75,58.65,59.65,3343488.0,0.1,0.95,0.09,955.56,0.95,1356803.9,146.42,True,0,,56.65,ATH
02-05-2024 16:00,DARDL,7.52,7.81,7.48,7.76,2049008.0,0.05,0.24,0.03,788.89,0.24,977252.6,109.67,True,0,,7.21,ATH
02-05-2024 16:00,AKFGY,2.31,2.35,2.31,2.34,13202160.0,0.01,0.03,0.01,400.0,0.03,8474541.1,55.79,True,0,,2.23,ATH
02-05-2024 15:00,VAKBN,19.48,19.8,19.42,19.8,8119534.0,0.0,0.32,0.01,3900.0,0.32,5040363.9,61.09,True,0,,18.15,20.28
02-05-2024 15:00,INVEO,47.3,47.98,47.14,47.96,212255.0,0.02,0.66,0.08,746.15,0.66,139095.9,52.6,True,0,,46.6,52.95
02-05-2024 15:00,DAGI,8.63,8.95,8.61,8.9,1710729.0,0.05,0.27,0.07,285.71,0.27,512631.5,233.72,True,0,,8.12,9.1
02-05-2024 15:00,HUBVC,11.55,11.73,11.5,11.69,424982.0,0.04,0.14,0.02,460.0,0.14,212959.6,99.56,True,0,,11.31,12.58
02-05-2024 15:00,KFEIN,125.7,141.2,125.6,137.9,963178.0,3.3,12.2,0.63,1836.51,12.2,211128.9,356.2,True,0,,127.9,138.8
02-05-2024 15:00,MEGMT,43.7,46.5,43.64,46.42,2695353.0,0.08,2.72,0.14,1815.49,2.72,1093209.4,146.55,True,0,,44.32,47.92
02-05-2024 14:00,OSTIM,6.18,6.51,6.18,6.48,5582995.0,0.03,0.3,0.04,614.29,0.3,1242830.1,349.22,True,0,,5.83,ATH
