Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
19-08-2024 09:00,NETAS,73.8,84.1,73.05,83.05,10512140.0,1.05,9.25,1.03,798.06,9.25,4498723.3,133.67,True,0,,34.94,106.0,False,False
19-08-2024 09:00,KOZAL,24.08,29.6,23.6,28.26,1216089597.0,1.34,4.18,0.7,498.85,4.18,494872604.5,145.74,True,0,,18.52,33.92,False,False
19-08-2024 09:00,EUHOL,5.02,6.77,4.9,6.57,35784274.0,0.2,1.55,0.31,404.89,1.55,22415259.8,59.64,True,0,,3.0,ATH,False,False
19-08-2024 09:00,ALKLC,26.0,34.36,25.62,33.2,73599437.0,1.16,7.2,1.43,402.09,7.2,38146571.5,92.94,True,0,,ATL,ATH,False,False
19-08-2024 09:00,SAMAT,42.8,49.44,42.8,49.44,21027848.0,0.0,6.64,0.55,1107.27,6.64,7519629.7,179.64,True,0,,40.52,81.15,False,False
19-08-2024 09:00,SANFM,19.45,23.34,18.0,22.8,24974487.0,0.54,3.35,0.99,238.04,3.35,13353467.2,87.03,True,0,,10.09,ATH,False,False
19-08-2024 09:00,DAPGM,4.69,5.72,4.61,5.6,390171298.0,0.12,0.91,0.05,1613.08,0.91,153566208.12,154.07,True,0,,4.7,6.13,False,False
12-08-2024 09:00,RTALB,11.27,15.03,10.96,15.03,38425926.0,0.0,3.76,0.29,1214.69,3.76,16966765.3,126.48,True,0,,11.11,17.35,True,True
12-08-2024 09:00,ULUFA,13.24,15.4,13.18,15.4,17476341.0,0.0,2.16,0.31,587.9,2.16,11006522.0,58.78,True,0,,11.8,16.14,False,False
12-08-2024 09:00,ULUUN,7.09,7.9,6.75,7.85,65838650.0,0.05,0.76,0.1,675.07,0.76,33199826.43,98.31,True,0,,6.37,8.04,False,False
12-08-2024 09:00,ANGEN,12.44,16.26,11.99,16.26,94225489.0,0.0,3.82,0.44,764.25,3.82,16967598.3,455.33,True,0,,12.02,21.76,False,False
12-08-2024 09:00,KLSYN,5.18,5.77,4.77,5.77,20937784.0,0.0,0.59,0.03,2169.23,0.59,11830330.1,76.98,True,0,,4.58,7.59,False,False
12-08-2024 09:00,GLRYH,11.27,13.27,11.16,13.27,57451628.0,0.0,2.0,0.13,1474.8,2.0,18184819.6,215.93,True,0,,10.6,16.2,False,False
12-08-2024 09:00,PRKAB,32.6,39.2,31.08,39.06,11122366.0,0.14,6.46,0.36,1714.61,6.46,4591500.7,142.24,True,0,,32.24,53.5,False,False
