Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
KAPLM,25-04-2024,181.0,9.96,120.95,170.54,169.55,169.26,168.05,171.4,169.45,168.56,168.54,122.08,175.7,106625.67,59.2,+,+,+,+,+,+,+,+_25-04-2024 09:00:00,+_25-04-2024 09:00:00,+,,+,+,,+,,+,+,+,,+,,15,0
IMASM,25-04-2024,18.93,9.99,332.01,17.83,17.64,17.52,17.45,17.93,17.6,17.62,17.48,19.65,18.29,15583574.0,63.92,+,+,+,,+,+,+,+_25-04-2024 09:00:00,+_25-04-2024 09:00:00,,+,+,+,+,-,,+,+,+,+,+,,15,1
FORMT,25-04-2024,2.84,7.17,108.31,2.76,2.75,2.73,2.73,2.77,2.75,2.76,2.74,2.73,2.8,33331039.67,55.26,+,+,+,+,,,+,+_25-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,-,+,+,,,,+,+,11,1
KERVN,25-04-2024,2.22,9.9,-17.24,2.11,2.1,2.11,2.12,2.11,2.1,2.09,2.09,1.41,2.22,1604151.67,54.67,+,+,+,+,,,+,+_25-04-2024 09:00:00,-_03-04-2024 09:00:00,+,,+,+,,+,,,,+,,+,,11,0
YONGA,25-04-2024,85.9,9.99,85.8,80.62,80.08,80.18,80.38,81.1,80.05,79.39,79.51,56.86,84.2,31780.67,57.68,,+,+,+,+,+,+,+_25-04-2024 09:00:00,+_25-04-2024 09:00:00,,,,+,,-,,,+,+,,+,+,11,1
ORCAY,25-04-2024,12.4,3.08,103.24,12.19,12.15,12.16,12.29,12.21,12.15,12.16,12.1,10.81,12.36,2841147.67,50.24,+,+,+,,+,,+,+_25-04-2024 09:00:00,-_21-03-2024 09:00:00,,,+,+,,-,,+,,+,,,+,10,1
DOCO,25-04-2024,4957.5,2.27,38.39,4932.34,4930.34,4925.22,4916.95,4932.01,4929.2,4934.33,4929.79,4013.02,4952.5,8975.33,52.5,+,+,+,+,+,,+,+_25-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,,,-,,+,,,,+,+,10,1
EUHOL,25-04-2024,3.36,4.67,254.12,3.27,3.26,3.26,3.29,3.28,3.26,3.26,3.25,2.91,3.28,18583828.33,52.34,+,+,+,+,+,,+,+_25-04-2024 09:00:00,-_22-03-2024 09:00:00,,,+,+,,-,,+,+,,,,,10,1
DOBUR,25-04-2024,174.7,7.84,90.79,170.61,170.53,170.47,168.54,170.58,170.53,172.07,168.89,96.74,169.97,489321.33,53.64,+,+,+,+,+,,+,+_25-04-2024 09:00:00,+_16-04-2024 09:00:00,,+,+,,,-,,+,,,,+,,10,1
GSDDE,25-04-2024,10.65,7.36,89.56,10.25,10.27,10.27,10.21,10.26,10.27,10.21,10.37,8.89,10.42,5058494.33,55.55,+,+,+,,,+,,-_18-04-2024 09:00:00,+_25-04-2024 09:00:00,,,+,,,+,,+,+,,,+,,9,0
YEOTK,25-04-2024,215.0,3.12,12.9,211.0,210.49,210.44,211.58,211.39,210.42,209.88,210.38,184.01,212.57,2465147.67,51.57,+,+,+,+,+,,+,+_25-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,+,,,,,,9,1
PETUN,25-04-2024,90.05,3.21,-25.95,89.32,88.92,88.16,87.42,89.37,88.76,89.59,88.6,75.01,89.43,458713.67,56.16,+,+,+,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,8,0
BALAT,25-04-2024,23.2,3.11,-10.57,22.87,22.9,23.08,23.39,22.89,22.93,22.81,22.85,21.79,22.97,99271.33,48.02,+,+,+,,,,,-_16-04-2024 09:00:00,-_27-03-2024 09:00:00,,,+,+,+,-,,+,,+,,,,8,1
ANELE,25-04-2024,21.5,6.44,264.92,20.85,20.65,20.25,19.59,20.9,20.58,20.88,20.52,12.29,21.08,1674005.33,62.2,+,+,,,,,,+_08-04-2024 09:00:00,+_28-12-2023 09:00:00,,,+,,,+,,+,+,,+,+,,8,0
VKGYO,25-04-2024,2.01,3.08,82.19,1.97,1.96,1.96,1.96,1.97,1.96,1.96,1.96,1.93,2.0,89823166.67,54.67,,,+,+,+,+,+,+_25-04-2024 09:00:00,+_25-04-2024 09:00:00,,,,+,,-,,+,,+,,,,8,1
