Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
19-04-2024 17:00,9671.7,9699.43,9654.25,9693.46,519062311.0,XU100,8919.63,9568.92,9394.12,9015.7,+_02-04-2024 09:00:01,8.68,-,7.52,-,9577.76,9576.82,80.1,-17.56,97.66,61.34,58.59,-,+,0.25,-69.16,1055844054.67,-,115.7,1.21,116.64,1.22,9618.83,9849.26,9618.83,9814.19,4126707624.0,601.33,27.44,573.89,72.91,68.33,9333.31,9157.8,175.51,8526.07,2.03,-74.2,11720075163.33,-,+,+,+,,+_29-01-2024 09:00:01,360.15,3.86,+,-,False,1.92,-,H_Wma9:H_Wma15:H_Tk,3.44,-,,YukariDondu,,,,,,+_19-04-2024 13:00:01,+,+,,
19-04-2024 17:00,30.18,30.32,30.12,30.16,164555.0,A1CAP,30.74,30.19,29.39,30.79,+_05-04-2024 17:00:01,-1.88,+,-2.05,-,30.09,30.09,0.24,-0.04,0.28,55.9,57.28,-,-,0.0,-71.84,459163.33,-,0.07,0.23,0.07,0.23,29.42,30.78,29.38,30.7,2588639.0,-1.25,0.15,-1.39,46.66,46.08,30.8,31.11,0.31,31.08,4.21,-67.96,7040252.33,-,+,-,-,,-_08-04-2024 09:00:01,-0.64,-2.08,-,-,False,-1.0,-,H_Wma15:H_Tk:H_Wma9,-1.56,+,,,,,,,,+_18-04-2024 17:00:01,+,+,,-
19-04-2024 17:00,163.1,165.4,163.1,165.3,45900.0,ACSEL,150.09,159.95,153.05,159.0,+_08-04-2024 09:00:01,10.14,-,3.96,-,161.29,159.87,2.84,0.65,2.19,65.04,57.55,+,+,1.35,-66.46,87684.0,-,4.01,2.49,5.43,3.4,149.5,166.0,149.2,161.9,366056.0,14.51,-0.63,15.14,61.81,62.78,160.11,155.42,4.69,142.68,9.24,-57.04,732989.67,-,-,+,+,,+_19-02-2024 09:00:01,5.19,3.24,+,-,False,3.02,-,H_Wma9:H_Wma15:H_Tk,1.87,+,YukariDondu,,,,,,,+_17-04-2024 09:00:01,+,,,
19-04-2024 17:00,706.0,710.5,704.0,705.0,52254.0,ADEL,594.54,720.0,688.0,691.25,+_08-04-2024 09:00:01,18.58,-,1.99,+,706.57,708.81,9.68,-2.85,12.54,53.1,57.08,-,-,0.0,-55.91,100973.33,-,1.57,0.22,3.81,0.54,681.5,718.0,677.5,698.0,646277.0,82.01,15.34,66.68,66.65,60.16,657.48,608.85,48.63,548.12,2.42,-63.03,1772727.67,-,+,+,+,,+_12-02-2024 09:00:01,47.52,7.23,+,-,False,7.99,-,H_Wma9:H_Wma15:H_Tk,7.08,-,,,,,,,,-_18-04-2024 09:00:01,-,,,
19-04-2024 17:00,2.27,2.27,2.25,2.27,5046309.0,ADESE,2.45,2.24,2.28,2.59,-_19-04-2024 09:00:01,-7.33,-,-12.36,-,2.25,2.25,-0.01,0.0,-0.02,48.74,44.67,+,-,0.0,-56.33,10923277.67,-,0.02,0.89,0.02,0.79,2.31,2.41,2.3,2.39,43775655.0,0.15,-0.05,0.2,52.2,63.63,2.53,2.56,0.04,2.42,3.46,-77.3,153357946.67,-,-,+,-,-,-_15-04-2024 09:00:01,-0.26,-10.1,-,-,False,-1.4,-,H_Wma15:H_Wma9:H_Tk,-10.1,-,,,,,,,,+_18-04-2024 17:00:01,+,,,-
19-04-2024 17:00,30.44,30.8,30.16,30.8,431381.0,ADGYO,32.2,30.15,29.23,32.29,+_08-04-2024 09:00:01,-4.36,-,-4.61,-,30.36,30.1,0.37,0.11,0.26,61.87,55.84,+,+,1.18,-34.02,504301.0,-,0.44,1.46,0.7,2.31,29.52,30.6,29.02,30.42,1983040.0,-0.31,,,44.2,52.03,31.96,32.93,0.97,33.84,5.48,-78.33,6941908.0,-,-,-,-,,-_08-04-2024 09:00:01,-1.16,-3.64,-,-,True,-2.93,-,H_Tk:H_Wma15:H_Wma9,-3.64,-,,,,,,,,+_17-04-2024 09:00:01,+,,,-
19-04-2024 17:00,170.1,171.6,169.8,171.6,313882.0,AEFES,148.05,167.75,163.25,148.25,+_21-03-2024 13:00:01,15.91,-,15.75,-,170.03,168.01,3.75,0.35,3.4,68.57,63.16,+,+,0.82,-79.58,883032.67,-,1.57,0.92,3.59,2.14,163.8,169.0,163.0,168.0,3472901.0,14.56,0.13,14.43,70.19,68.19,155.9,153.13,2.76,138.85,2.69,-88.34,16244873.0,-,+,+,+,,+_13-11-2023 09:00:01,15.7,10.07,+,-,False,1.8,-,H_Wma9:H_Wma15:H_Tk,8.92,-,,,,,,,,+_16-04-2024 13:00:01,+,,,
19-04-2024 17:00,14.32,14.54,14.23,14.45,2293968.0,AFYON,12.94,14.17,13.58,13.3,+_15-04-2024 13:00:01,11.69,-,8.69,-,14.33,14.23,0.33,0.02,0.31,60.03,60.43,+,-,0.77,-69.31,5591459.67,-,0.12,0.87,0.22,1.56,12.98,13.68,12.98,13.5,17029135.0,0.37,-0.02,0.39,55.65,53.28,13.0,12.92,0.09,12.56,4.65,-73.91,70704930.67,-,-,+,+,,+_19-02-2024 09:00:01,1.45,11.13,+,-,False,0.68,+,H_Wma9:H_Wma15:H_Tk,9.44,-,,,,,,,,+_19-04-2024 13:00:01,+,,,
19-04-2024 17:00,76.7,76.95,76.4,76.8,65651.0,AGESA,67.97,77.88,75.9,73.62,+_08-04-2024 09:00:01,13.0,-,4.31,-,76.36,76.56,0.6,-0.21,0.81,53.68,54.22,-,-,0.2,-69.6,131192.0,-,0.44,0.57,0.24,0.32,75.3,79.15,75.0,78.15,812674.0,6.46,1.12,5.34,73.98,63.37,73.6,69.7,3.9,65.28,3.78,-66.13,2059132.67,-,+,+,+,,+_12-02-2024 09:00:01,3.2,4.34,+,-,False,5.59,-,H_Wma9:H_Wma15:H_Tk,3.8,-,,YukariDondu,,,,,,+_19-04-2024 13:00:01,+,,,
19-04-2024 17:00,306.0,307.75,304.25,307.5,172980.0,AGHOL,258.28,301.5,290.25,265.75,+_26-03-2024 17:00:01,19.06,-,15.71,-,305.3,302.15,7.47,0.19,7.28,66.04,62.41,+,+,0.57,-49.69,280021.33,-,2.2,0.72,5.35,1.77,295.0,302.5,292.0,302.5,1332431.0,27.33,2.67,24.66,75.4,68.72,276.54,266.63,9.92,242.45,3.24,-70.91,4205742.0,-,+,+,+,,+_22-01-2024 09:00:01,30.96,11.19,+,-,False,3.72,-,H_Wma9:H_Wma15:H_Tk,10.02,-,,,,,,,,+_17-04-2024 09:00:01,+,,,
