Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
POLTK,08-04-2024,22300.0,9.05,691.2,21212.05,21120.59,21137.59,21284.05,21279.91,21111.13,21134.28,20994.88,14015.43,21718.33,6010.0,54.66,+,+,+,+,+,,+,+_08-04-2024 09:00:00,-_11-03-2024 09:00:00,,,+,+,,-,,,+,+,+,+,,12,1
PAPIL,08-04-2024,138.0,9.35,-29.44,130.52,129.89,129.76,129.63,131.06,129.82,129.2,130.01,74.04,133.3,501811.67,56.36,+,+,+,+,+,+,+,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,-,,,,+,,+,,11,1
METUR,08-04-2024,9.48,2.38,3.91,9.36,9.36,9.36,9.31,9.36,9.36,9.35,9.33,6.87,9.44,3705650.33,52.63,+,+,+,+,,+,+,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,+,,+,,,+,,,,,,+,+,11,0
PRZMA,08-04-2024,58.0,8.01,91.28,55.98,55.98,56.32,56.74,56.1,56.03,55.53,55.89,44.46,56.83,771861.33,52.77,+,+,+,+,,,+,+_08-04-2024 09:00:00,-_26-03-2024 09:00:00,,,+,+,,-,,+,+,,,+,,10,1
PNLSN,08-04-2024,88.7,9.91,389.01,84.02,84.06,84.71,85.27,84.25,84.17,83.51,83.99,64.57,85.85,796534.67,53.89,+,+,+,,,,+,+_08-04-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,-,,,+,+,,+,+,10,1
ARTMS,08-04-2024,50.25,9.96,40.3,47.53,47.79,48.36,48.63,47.63,47.93,47.09,48.06,48.29,48.48,880567.33,52.14,+,+,+,,,,,-_26-03-2024 09:00:00,-_28-03-2024 09:00:00,,,+,+,+,,+,,,+,,+,+,10,0
BARMA,08-04-2024,20.02,10.0,368.66,18.63,18.44,18.46,18.71,18.77,18.42,18.34,18.22,18.51,19.71,2246405.0,59.09,,,,+,+,,+,+_08-04-2024 09:00:00,-_12-03-2024 09:00:00,+,,,+,+,-,+,,+,+,,,,9,1
KOPOL,08-04-2024,47.56,7.55,19.28,45.24,45.21,45.56,46.29,45.38,45.25,44.9,45.19,51.45,46.75,1220971.33,52.51,,+,+,+,,,+,+_08-04-2024 09:00:00,-_14-03-2024 09:00:00,,,,+,+,-,,,,+,+,,+,9,1
BOBET,08-04-2024,36.24,5.96,18.4,34.62,34.46,34.5,34.77,34.76,34.44,34.33,34.31,31.55,35.69,3823060.33,54.72,,,+,+,+,,+,+_08-04-2024 09:00:00,-_04-03-2024 09:00:00,+,,,+,+,-,,,,+,+,,,9,1
INTEM,08-04-2024,311.0,5.25,-3.51,302.27,304.85,310.2,315.42,302.11,305.95,301.34,307.83,232.05,309.75,123174.67,48.06,+,+,+,,,,,-_25-03-2024 09:00:00,-_26-03-2024 09:00:00,,,+,+,+,-,,,,+,,,+,8,1
BAKAB,08-04-2024,47.2,9.01,76.34,44.09,43.65,43.59,43.77,44.42,43.6,43.37,43.14,36.73,45.92,273732.0,60.88,,,,+,+,+,+,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,+,,,,,+,,,+,,+,,,8,0
BURVA,08-04-2024,145.8,6.81,1.34,140.38,140.85,141.14,140.01,140.46,140.99,140.08,142.55,91.55,142.9,88943.0,54.47,+,+,+,,,+,,-_02-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,+,,,,+,,,,8,0
ANELE,08-04-2024,20.06,9.92,173.87,18.7,18.49,18.22,17.76,18.82,18.44,18.48,18.44,11.5,19.45,955674.67,66.89,,,,+,,,+,+_08-04-2024 09:00:00,+_28-12-2023 09:00:00,+,,,+,,+,,,+,+,,+,,8,0
PETUN,08-04-2024,89.0,8.54,-25.36,83.96,83.46,83.68,84.31,84.42,83.44,83.03,82.81,73.73,86.97,391512.67,58.8,,,+,+,+,,+,+_08-04-2024 09:00:00,-_18-03-2024 09:00:00,+,,,,,-,,,,+,+,,+,8,1
PINSU,08-04-2024,24.3,2.45,21.9,23.89,23.89,23.84,23.47,23.92,23.89,23.81,23.97,14.7,24.09,495368.33,60.34,,+,+,+,+,,+,+_08-04-2024 09:00:00,+_27-12-2023 09:00:00,,,,+,,+,,,,+,,,,8,0
ASTOR,08-04-2024,99.3,6.2,80.04,94.86,94.75,95.96,98.88,95.2,94.89,94.05,94.3,98.55,97.83,12683152.67,47.42,,,+,+,,,+,+_08-04-2024 09:00:00,-_05-03-2024 09:00:00,,,,+,,-,+,,+,+,,,+,8,1
