Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
SNKRN,22-04-2024,36.6,9.91,80.54,34.64,34.52,34.83,35.62,34.78,34.55,34.37,34.3,31.83,36.03,62952.0,51.62,+,+,+,+,,,+,+_22-04-2024 09:00:00,-_18-03-2024 09:00:00,+,,+,+,,-,,+,+,+,+,+,+,14,1
SNPAM,22-04-2024,92.55,7.99,20.97,88.43,87.97,87.96,88.6,88.78,87.92,87.73,87.47,78.89,90.63,62688.0,55.13,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_13-03-2024 09:00:00,+,,+,+,,-,,,,+,,+,+,12,1
BAYRK,22-04-2024,55.05,9.77,406.43,52.19,51.8,51.29,50.23,52.42,51.7,51.92,51.37,26.66,53.43,1672020.67,62.66,+,+,+,+,,,+,+_22-04-2024 09:00:00,+_15-03-2024 09:00:00,,,+,+,,+,,+,+,+,,+,,12,0
NTHOL,22-04-2024,28.32,8.67,-3.74,27.04,26.96,27.03,27.23,27.11,26.97,26.96,26.83,22.15,27.58,3127833.67,55.05,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_29-03-2024 09:00:00,,,+,+,,-,,,,,+,+,+,11,1
OZKGY,22-04-2024,8.61,4.11,33.32,8.41,8.39,8.39,8.46,8.42,8.39,8.43,8.37,8.34,8.57,8231348.0,51.67,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_17-04-2024 09:00:00,,+,+,,,-,+,,,+,,,+,11,1
KLGYO,22-04-2024,5.61,10.0,336.03,5.32,5.32,5.34,5.37,5.33,5.32,5.3,5.32,3.99,5.45,17735702.0,55.84,+,+,+,+,,,+,+_22-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,,+,+,,+,+,11,1
QNBFB,22-04-2024,291.0,6.59,182.42,277.79,276.48,276.46,276.55,278.96,276.38,275.27,275.2,216.79,290.33,29852.0,56.46,,,+,+,+,+,+,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,+,,,,+,-,,,+,+,,+,+,11,1
TBORG,22-04-2024,88.95,3.43,-0.76,87.41,87.31,87.19,86.94,87.49,87.28,87.4,87.25,67.91,88.47,37823.67,55.12,+,+,+,+,+,+,+,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,+,,+,,,,,,+,,11,0
DGGYO,22-04-2024,34.4,4.88,17.2,33.66,33.6,33.62,33.82,33.69,33.59,33.75,33.52,32.94,33.97,457023.67,51.91,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_17-04-2024 09:00:00,,,+,+,,-,+,,,,,+,,10,1
ARDYZ,22-04-2024,43.7,6.48,136.53,42.19,42.03,42.11,42.8,42.28,42.01,42.35,41.72,31.12,43.27,7375557.67,50.81,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_05-03-2024 09:00:00,,,+,+,,-,,,+,,,,+,10,1
ASGYO,22-04-2024,14.62,2.81,81.04,14.38,14.36,14.36,14.45,14.39,14.36,14.39,14.34,17.87,14.54,4717196.33,51.1,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,,,,,,,,+,9,0
TABGD,22-04-2024,150.7,10.0,176.71,140.74,139.38,138.14,136.99,141.6,139.08,139.32,138.69,139.11,146.23,3022147.67,63.65,,,,+,+,,+,+_22-04-2024 09:00:00,+_19-04-2024 09:00:00,,,,+,,,+,,+,+,+,+,,9,0
BRKSN,22-04-2024,47.5,5.09,12.91,47.25,47.17,46.92,46.51,47.19,47.12,47.9,46.73,30.09,46.69,908966.0,52.74,+,+,+,,,,+,+_22-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,,,,+,,9,0
VANGD,22-04-2024,23.32,10.0,282.73,21.81,21.63,21.64,21.71,21.96,21.61,21.47,21.4,17.82,22.66,2015012.33,59.14,,,+,+,+,+,+,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,+,,,+,,-,,,+,,,+,,9,1
BNTAS,22-04-2024,13.61,2.56,66.26,13.53,13.54,13.55,13.5,13.51,13.54,13.64,13.49,9.47,13.48,2623665.33,51.6,+,+,+,,,+,,-_18-04-2024 09:00:00,+_22-04-2024 09:00:00,,+,+,-,,+,,+,,,,+,,9,1
GLBMD,22-04-2024,38.7,3.37,8.51,37.98,37.91,37.93,38.2,38.02,37.9,38.04,37.77,32.88,38.41,274038.33,51.1,+,+,+,+,+,,+,+_22-04-2024 09:00:00,-_14-03-2024 09:00:00,,,+,,,-,,,,+,,,+,9,1
MARBL,22-04-2024,18.63,3.21,338.37,18.41,18.33,18.25,18.39,18.42,18.3,18.52,18.22,18.28,18.86,6817358.33,50.45,+,+,+,,,+,,+_08-04-2024 09:00:00,+_22-04-2024 09:00:00,,+,+,+,,,+,,+,,,,,9,0
KGYO,22-04-2024,38.38,7.69,37.89,36.43,36.15,35.91,35.93,36.59,36.09,36.27,36.0,40.67,37.73,303803.0,57.16,,,,+,+,+,+,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,+,+,-,,,,+,,,+,8,1
VKING,22-04-2024,46.9,9.99,-18.55,44.35,43.87,43.3,42.48,44.58,43.75,44.05,43.48,34.45,45.51,2051128.67,63.6,+,+,+,,,,,+_01-04-2024 09:00:00,+_03-01-2024 09:00:00,,+,+,+,,-,,,,,+,+,,8,1
KFEIN,22-04-2024,138.1,9.95,72.95,129.32,128.51,129.74,133.22,130.14,128.58,127.66,126.98,89.18,134.3,1169835.0,52.41,,+,+,+,,,+,+_22-04-2024 09:00:00,-_12-03-2024 09:00:00,+,,,,+,-,,,,,+,,+,8,1
YEOTK,22-04-2024,213.8,4.39,140.7,209.25,209.4,209.88,211.51,209.3,209.47,209.93,209.87,183.46,213.83,2229826.0,50.64,+,+,+,,,,,-_17-04-2024 09:00:00,-_16-04-2024 09:00:00,,,+,+,,-,,-,+,,,+,+,8,2
DERHL,22-04-2024,10.2,3.66,-52.46,9.97,9.96,10.09,10.43,9.99,9.98,9.95,9.91,9.6,10.17,5279049.0,45.1,+,+,+,+,,,+,+_22-04-2024 09:00:00,-_20-03-2024 09:00:00,,,+,+,,-,,+,,,,,,8,1
LIDFA,22-04-2024,8.84,4.12,49.1,8.71,8.66,8.58,8.5,8.71,8.65,8.74,8.61,7.02,8.76,8645951.67,56.36,+,+,+,,,,,+_05-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,+,+,,,,,,+,,8,0
SEGYO,22-04-2024,4.65,9.93,101.42,4.36,4.33,4.34,4.47,4.39,4.33,4.33,4.3,4.77,4.52,12318552.67,51.25,,+,+,+,+,,+,+_22-04-2024 09:00:00,-_05-02-2024 09:00:00,,,,+,,-,,,,+,,,+,8,1
ALKIM,22-04-2024,33.0,1.91,-14.56,32.7,32.66,32.87,33.6,32.72,32.68,32.82,32.4,35.81,33.05,1304030.33,43.87,+,+,+,+,,,+,+_22-04-2024 09:00:00,-_12-03-2024 09:00:00,,,+,+,,-,,,,,,,+,8,1
EUHOL,22-04-2024,3.28,6.15,1.97,3.24,3.24,3.25,3.28,3.23,3.24,3.25,3.23,2.9,3.25,9964911.67,49.18,+,+,+,,,,,-_19-04-2024 09:00:00,-_22-03-2024 09:00:00,,,+,+,,-,,+,,,+,,,7,1
SURGY,22-04-2024,46.0,4.74,132.79,45.02,44.53,44.0,43.92,45.17,44.39,45.01,43.86,44.16,45.43,2840809.33,56.42,+,+,,,,,,+_08-04-2024 09:00:00,+_15-04-2024 09:00:00,,,+,,+,,+,+,,+,,,,7,0
ULAS,22-04-2024,28.66,7.42,74.86,27.54,27.24,26.88,26.49,27.66,27.16,27.48,26.87,19.98,28.11,709794.67,59.79,+,+,,,,,,+_09-04-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,,+,,,,7,0
ISDMR,22-04-2024,35.78,3.41,100.35,34.96,34.84,34.85,35.17,35.04,34.82,34.93,34.65,36.4,35.64,3018636.33,52.05,,,+,+,+,,+,+_22-04-2024 09:00:00,-_06-03-2024 09:00:00,,,,,,-,,,+,+,,,+,7,1
PAGYO,22-04-2024,38.64,2.33,268.89,38.06,38.11,38.17,38.32,38.07,38.12,38.12,38.28,35.79,38.75,277725.33,50.9,+,+,+,,,,,-_16-04-2024 09:00:00,-_16-04-2024 09:00:00,,,,+,,-,,-,,+,+,+,,7,2
NATEN,22-04-2024,54.3,9.92,-1.57,50.89,50.39,50.29,50.75,51.2,50.32,50.47,49.7,47.82,52.7,2134860.67,57.25,,,+,+,+,+,+,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,,,,+,,-,,,,+,,,,7,1
DITAS,22-04-2024,23.28,9.92,4.32,22.56,22.94,23.05,22.55,22.43,23.01,22.79,23.77,17.51,22.66,1541699.67,54.2,+,+,+,,,+,,-_17-04-2024 09:00:00,+_22-04-2024 09:00:00,,,+,,,+,,+,,,,,,7,0
ADESE,22-04-2024,2.33,2.64,115.56,2.29,2.29,2.3,2.36,2.29,2.29,2.29,2.28,2.16,2.34,44768677.67,45.48,,+,+,+,,,+,+_22-04-2024 09:00:00,-_14-03-2024 09:00:00,,,,+,,-,,-,,+,,,+,7,2
AKMGY,22-04-2024,294.75,3.24,29.3,289.97,289.08,287.43,282.97,290.26,288.79,290.87,287.63,179.74,290.25,126998.33,55.72,+,+,+,,,,+,+_22-04-2024 09:00:00,+_05-01-2024 09:00:00,,,+,,,+,,,,,,+,,7,0
