Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,Kaas_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
A1CAP,02-04-2024,28.5,0.78,-57.17,28.46,28.74,29.29,28.4,28.85,28.42,28.94,33.51,28.69,1312296.33,38.87,+,,,,,,,,,+,,,,,-,,,,,,2,1
ADGYO,02-04-2024,27.9,0.65,-51.57,28.3,28.93,30.1,28.15,29.16,28.32,29.35,33.09,27.84,1106706.33,30.74,,,,,,,,,,,,,,,+,,,,,,1,0
AVPGY,02-04-2024,46.24,3.17,53.99,45.0,44.55,44.3,45.21,44.46,44.69,43.94,46.02,46.04,5500948.33,55.43,,,,,,,,,,,,,,+,,,,,,,1,0
ALVES,02-04-2024,63.3,-0.08,-76.61,63.04,62.54,60.57,63.04,62.22,63.41,63.24,51.31,63.93,14121517.67,58.63,,,,,,,,,,,,,,,-,-,,,,,0,2
ARTMS,02-04-2024,46.32,-3.66,-50.33,48.33,49.21,49.74,47.96,49.4,48.66,50.81,48.47,47.05,899370.33,46.2,,,,,,,,,,,,,,,,-,-,,,,0,2
