Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
17-05-2024 13:00,10542.5,10546.57,10542.5,10545.27,9934886.0,XU100,9421.65,10339.83,10297.2,9632.33,+_17-05-2024 09:00:01,11.93,-,9.48,-,10336.57,10274.15,68.44,29.32,39.12,71.09,53.72,+,+,0.03,-99.37,743108127.0,-,208.7,2.02,271.12,2.64,10276.88,10383.25,10144.74,10218.58,14028645512.0,672.92,50.2,622.73,73.9,70.83,9861.72,9632.68,229.04,8793.06,-0.57,15.53,12922047623.67,+,+,+,+,,+_29-01-2024 09:00:01,683.55,6.93,+,-,False,2.38,-,H_Wma9:H_Wma15:H_Tk,6.9,-,,,,,,,,+_15-05-2024 17:00:01,+,,,
17-05-2024 13:00,11458.22,11463.93,11457.98,11461.35,5769248.0,XU030,10159.64,11229.05,11198.57,10436.12,+_17-05-2024 09:00:01,12.81,-,9.82,-,11212.45,11152.1,73.01,30.14,42.86,68.61,53.29,+,+,0.04,-99.41,469229383.67,-,248.9,2.22,309.25,2.77,11147.59,11314.3,11033.27,11059.39,7971473727.0,751.59,74.69,676.9,73.57,69.63,10677.65,10383.02,294.62,9577.41,-0.79,21.42,6947665881.67,+,+,+,+,,+_18-12-2023 09:00:01,783.7,7.34,+,-,False,2.84,-,H_Wma9:H_Wma15:H_Tk,7.31,-,,,,,,,,+_16-05-2024 13:00:01,+,,,
17-05-2024 13:00,30.28,30.28,30.22,30.24,10711.0,A1CAP,30.97,29.79,32.24,30.5,-_13-05-2024 09:00:01,-2.36,-,-0.85,+,29.77,29.64,-0.58,0.06,-0.64,45.77,34.8,+,-,0.0,-97.94,234337.0,-,0.47,1.57,0.6,2.02,32.36,35.48,30.56,30.58,22763526.0,-0.86,0.28,-1.15,46.69,47.84,30.76,31.12,0.36,31.08,-5.38,198.5,12912647.33,+,+,-,-,,-_08-04-2024 09:00:01,-0.52,-1.68,-,+,False,-1.16,-,H_Wma15:H_Tk:H_Wma9,-1.55,+,,,,,,,,+_16-05-2024 09:00:01,+,,,-
17-05-2024 13:00,156.5,156.5,156.4,156.4,408.0,ACSEL,154.33,155.3,156.55,161.8,-_06-05-2024 09:00:01,1.34,+,-3.34,-,155.29,154.92,-1.28,0.52,-1.8,48.63,41.18,+,-,0.0,-99.3,25617.67,-,1.11,0.71,1.48,0.95,163.2,163.4,151.5,159.8,1011014.0,13.28,-1.36,14.64,58.53,64.46,161.47,161.6,0.13,142.68,-1.96,-52.15,1383002.33,-,-,+,-,-,-_13-05-2024 09:00:01,-5.07,-3.14,-,-,False,-0.08,+,H_Wma15:H_Wma9:H_Tk,-3.08,-,,,,,,,,+_16-05-2024 09:00:01,+,,,
17-05-2024 13:00,710.0,710.0,709.5,709.5,155.0,ADEL,650.31,711.25,733.75,714.5,-_09-05-2024 13:00:01,9.1,-,-0.7,+,709.67,708.56,-7.54,0.11,-7.65,44.26,41.97,+,-,-0.07,-99.82,37670.67,-,0.17,0.02,0.94,0.13,743.5,787.0,733.0,736.0,1751933.0,89.72,9.85,79.87,68.42,65.22,715.39,683.07,32.32,565.12,-0.94,-55.34,2533542.0,-,+,+,+,,+_12-02-2024 09:00:01,-5.89,-0.82,-,+,False,4.73,-,H_Wma9:H_Wma15:H_Tk,-0.75,+,Arasinda,,,,,-,,-_17-05-2024 13:00:01,+,,,+
17-05-2024 13:00,2.44,2.45,2.43,2.44,1536002.0,ADESE,2.42,2.42,2.39,2.3,+_08-05-2024 13:00:01,0.68,+,6.32,-,2.42,2.42,0.01,-0.0,0.01,55.79,52.23,-,+,0.0,-94.37,12961587.0,-,0.02,0.67,0.02,0.91,2.36,2.53,2.25,2.45,635805912.0,0.09,-0.05,0.15,54.23,60.58,2.37,2.47,0.1,2.42,4.26,102.66,401727489.0,+,-,+,-,,-_15-04-2024 09:00:01,0.07,2.78,+,-,False,-4.02,-,H_Wma15:H_Tk:H_Wma9,2.36,-,Arasinda,YukariDondu,,,,,,+_16-05-2024 17:00:01,+,,,
17-05-2024 13:00,27.8,27.84,27.8,27.82,2579.0,ADGYO,30.67,27.47,27.62,29.23,-_26-04-2024 13:00:01,-9.29,-,-4.82,-,27.69,27.48,-0.21,0.15,-0.35,49.83,41.55,+,-,0.07,-99.51,262979.33,-,0.13,0.48,0.34,1.23,28.92,28.92,27.46,28.0,9401418.0,-0.96,-0.84,-0.11,38.81,50.02,29.47,31.1,1.63,33.84,-3.45,-21.18,9261120.67,+,-,-,-,,-_08-04-2024 09:00:01,-1.65,-5.59,-,-,True,-5.25,-,H_Tk:H_Wma15:H_Wma9,-5.52,-,,,,,,,,+_15-05-2024 09:00:01,+,,,-
17-05-2024 13:00,208.5,208.6,208.3,208.5,5150.0,AEFES,166.05,201.4,200.35,175.0,+_16-05-2024 17:00:01,25.56,-,19.14,-,203.11,200.68,3.9,0.83,3.07,73.18,60.33,+,+,0.05,-99.47,517620.0,-,5.39,2.65,7.82,3.9,195.0,206.0,190.5,199.0,9967739.0,19.25,2.99,16.27,79.44,70.27,178.46,169.55,8.91,164.1,2.84,-3.22,9968271.0,-,+,+,+,,+_13-11-2023 09:00:01,30.04,16.83,+,-,False,5.26,-,H_Wma9:H_Wma15:H_Tk,16.72,-,,,,,,,,+_16-05-2024 09:00:01,+,,,
17-05-2024 13:00,14.29,14.29,14.28,14.28,1763.0,AFYON,13.66,14.18,14.75,13.9,-_09-05-2024 17:00:01,4.53,-,2.73,-,14.17,14.17,-0.17,0.01,-0.18,44.03,35.47,+,-,0.0,-99.94,1368928.67,-,0.11,0.8,0.11,0.79,14.92,15.6,14.65,14.7,48836741.0,0.74,0.15,0.6,60.02,56.31,14.23,13.81,0.42,12.92,-1.14,14.06,49814384.0,-,+,+,+,,+_19-02-2024 09:00:01,0.05,0.38,+,+,False,3.01,-,H_Wma9:H_Wma15:H_Tk,0.38,+,,,,,,,,+_16-05-2024 13:00:01,+,,,
17-05-2024 13:00,93.4,93.65,93.4,93.65,339.0,AGESA,75.61,90.72,88.43,80.32,+_17-05-2024 09:00:01,23.85,-,16.59,-,91.3,90.05,1.63,0.46,1.17,69.65,57.46,+,+,0.32,-99.89,165890.67,-,2.35,2.57,3.6,4.0,86.7,93.85,84.3,87.25,3876440.0,8.14,1.39,6.74,78.61,69.69,81.07,77.28,3.79,72.72,0.63,74.83,2913380.33,+,+,+,+,,+_12-02-2024 09:00:01,12.58,15.52,+,-,False,4.9,-,H_Wma9:H_Wma15:H_Tk,15.21,-,,,,,,,,+_14-05-2024 13:00:01,+,,,
