Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
26-01-2024 17:00,8335.69,8347.58,8305.57,8346.28,574289516.0,XU100,7817.0,8143.51,8131.53,7648.73,+_03-01-2024 17:00:00,6.77,-,9.12,-,8235.22,8172.55,90.88,23.45,67.43,69.07,59.32,+,+,0.12,-56.56,1120066181.0,-,111.06,1.35,173.73,2.13,7986.47,8116.9,7937.06,7996.7,11490973563.0,301.58,-100.7,402.28,60.76,60.31,7813.36,7815.47,2.11,7882.79,0.13,-19.42,11664141932.33,+,-,+,-,532.92,6.82,+,-,False,-0.03,+,H_Tk:H_Wma15:H_Wma9,6.3,-,,,,,,,,+_24-01-2024 09:00:00,+,,,,
26-01-2024 17:00,30.68,30.76,30.58,30.68,259207.0,A1CAP,30.96,29.8,29.65,26.94,+_25-01-2024 09:00:00,-0.91,+,13.88,-,30.33,29.9,0.6,0.16,0.44,72.53,62.32,+,+,0.0,-63.26,604485.0,-,0.35,1.15,0.78,2.6,28.5,29.9,28.14,28.34,6692483.0,-2.93,,,38.39,41.94,28.43,30.18,1.75,34.9,-0.56,5.32,5795426.0,+,-,-,-,2.25,7.9,+,-,False,-5.78,-,H_Tk:H_Wma15:H_Wma9,7.55,-,,,,,,,,+_24-01-2024 09:00:00,+,,,,
26-01-2024 17:00,123.6,123.8,122.7,122.9,72859.0,ACSEL,119.54,121.15,121.15,112.38,+_25-01-2024 13:00:00,2.81,-,9.37,-,122.35,120.94,1.44,0.7,0.73,60.43,54.98,+,+,-0.49,-30.57,129579.33,-,0.55,0.45,1.96,1.62,117.3,122.4,115.6,117.2,970191.0,11.59,-5.72,17.31,53.46,70.14,120.51,124.34,3.83,126.38,0.0,-47.93,1905196.0,-,-,+,-,2.39,1.99,+,+,True,-3.08,-,H_Tk:H_Wma15:H_Wma9,1.82,+,Arasinda,,,,,,,+_25-01-2024 09:00:00,+,,,,
26-01-2024 17:00,393.25,395.5,390.5,394.0,61950.0,ADEL,403.17,387.25,380.5,356.62,+_24-01-2024 13:00:00,-2.27,-,10.48,-,386.28,380.58,7.59,3.17,4.42,67.24,59.64,+,+,0.25,-68.75,282980.33,-,7.72,2.0,13.42,3.53,380.25,386.0,345.0,357.5,1155028.0,4.63,-28.45,33.07,45.34,50.93,376.49,400.98,24.49,529.62,-5.98,-59.19,2086427.0,-,-,-,-,17.51,4.65,+,-,False,-6.11,-,H_Tk:H_Wma15:H_Wma9,3.72,-,Arasinda,,,,,,,+_24-01-2024 13:00:00,+,,,,
26-01-2024 17:00,2.32,2.34,2.31,2.31,11892570.0,ADESE,2.07,2.38,2.39,2.02,-_26-01-2024 13:00:00,11.34,-,14.07,-,2.35,2.38,0.03,-0.03,0.05,46.94,59.81,-,-,-0.43,-66.9,25065834.67,-,0.04,1.78,0.07,2.85,2.07,2.43,2.06,2.31,386866281.0,0.08,-0.01,0.09,63.21,53.25,2.02,2.01,0.01,2.18,12.14,40.07,278787046.67,+,-,+,-,0.29,14.53,+,-,True,0.35,+,H_Tk:H_Wma9:H_Wma15,14.53,-,,,,,,,,-_23-01-2024 17:00:00,-,,,,
26-01-2024 17:00,32.04,32.26,31.92,32.0,880246.0,ADGYO,31.15,32.43,31.98,29.1,+_18-01-2024 09:00:00,2.71,-,9.97,-,31.9,31.52,0.53,0.08,0.45,59.9,55.99,+,+,-0.12,-28.66,1527799.67,-,0.1,0.31,0.48,1.53,26.68,32.28,26.68,31.7,14906272.0,,,,49.67,,30.44,32.12,1.67,,8.86,26.26,12980338.33,+,-,-,-,1.56,5.11,+,-,True,-5.21,-,H_Wma15:H_Wma9:H_Tk,4.85,-,Arasinda,,,,,,,+_24-01-2024 13:00:00,+,,,,
26-01-2024 17:00,139.0,139.5,138.3,139.1,458339.0,AEFES,122.26,135.5,134.95,129.65,+_26-01-2024 13:00:00,13.77,-,7.29,-,136.17,135.14,1.29,0.48,0.81,66.05,55.44,+,+,0.0,-60.91,732450.67,-,2.93,2.15,3.96,2.93,134.1,135.9,130.4,134.7,7666492.0,12.9,1.25,11.65,67.65,63.89,130.23,124.66,5.57,116.7,1.2,-51.94,11137594.67,-,+,+,+,8.87,6.81,+,-,False,4.47,-,H_Wma9:H_Wma15:H_Tk,6.2,-,,,,,,,,+_25-01-2024 09:00:00,+,,,,
26-01-2024 17:00,12.47,12.47,12.38,12.46,1676297.0,AFYON,12.15,12.14,11.96,11.1,+_12-01-2024 13:00:00,2.55,-,12.2,-,12.3,12.18,0.21,0.05,0.16,70.75,63.24,+,+,0.0,-33.98,2640071.0,-,0.16,1.33,0.28,2.27,11.63,11.93,11.41,11.61,29130677.0,0.3,-0.53,0.83,47.48,51.59,11.65,12.11,0.46,14.17,-0.17,30.26,21996634.0,+,-,-,-,0.81,6.94,+,-,False,-3.83,-,H_Tk:H_Wma15:H_Wma9,6.25,-,,,,,,,,+_24-01-2024 09:00:00,+,,,,
26-01-2024 17:00,57.05,57.2,56.7,56.9,111657.0,AGESA,56.24,55.8,55.28,56.82,+_22-01-2024 09:00:00,1.17,+,0.13,+,56.49,56.23,0.38,0.13,0.25,60.22,55.16,+,+,-0.35,-58.53,198246.33,-,0.41,0.73,0.67,1.19,55.2,57.45,52.85,55.0,2792508.0,2.73,-1.84,4.58,51.3,55.71,55.42,56.25,0.83,64.25,0.0,-10.26,2590216.67,+,-,+,-,1.48,2.67,+,-,True,-1.47,-,H_Tk:H_Wma15:H_Wma9,2.31,-,,YukariDondu,,,,,,+_25-01-2024 09:00:00,+,,,,
26-01-2024 17:00,228.2,229.0,225.5,229.0,245474.0,AGHOL,207.26,223.3,222.85,204.25,+_26-01-2024 13:00:00,10.49,-,12.12,-,224.05,222.37,2.03,0.65,1.38,66.87,54.15,+,+,0.39,-64.39,506968.33,-,4.95,2.21,6.63,2.98,217.3,228.6,217.2,222.9,2925679.0,16.88,-3.51,20.38,63.04,59.54,209.75,208.79,0.96,221.2,2.62,-9.82,3048639.67,+,-,+,-,19.25,9.18,+,-,False,0.46,+,H_Tk:H_Wma9:H_Wma15,7.51,-,,,,,,,,+_25-01-2024 17:00:00,+,,,,
26-01-2024 17:00,21.84,22.04,21.44,21.44,2369672.0,AGROT,12.24,20.34,18.55,13.88,+_05-01-2024 13:00:00,75.23,-,54.47,-,20.79,20.26,1.38,0.14,1.24,74.56,72.92,+,+,-1.83,-57.69,5443805.33,-,0.65,3.11,1.18,5.83,15.48,18.33,15.06,18.15,93198195.0,,,,,,13.94,,,,17.86,39.61,67019690.33,+,-,-,-,7.5,53.83,+,-,True,,-,H_Wma9:H_Wma15:H_Tk,53.83,-,,,,,,,,+_24-01-2024 17:00:00,+,,,,
26-01-2024 17:00,9.55,9.58,9.48,9.5,617587.0,AGYO,8.72,9.8,9.8,8.99,-_26-01-2024 17:00:00,8.89,-,5.67,-,9.69,9.76,0.03,-0.07,0.11,43.35,55.52,-,-,-0.63,-54.21,1089978.0,-,0.19,1.92,0.26,2.67,9.4,10.25,9.13,9.8,22120576.0,1.09,-0.05,1.14,65.48,64.21,9.14,8.88,0.26,8.44,4.26,46.6,16286309.33,+,-,+,+,0.36,3.91,+,-,True,2.96,-,H_Wma9:H_Wma15:H_Tk,3.69,-,,,,,,,,-_25-01-2024 09:00:00,-,,,,
