Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
27-11-2024 17:00,ISKPL,18.9,19.35,18.9,19.31,757471.0,0.04,0.41,0.04,925.0,0.41,150939.8,401.84,True,73.25,0,,18.56,ATH,False,False
27-11-2024 17:00,ODINE,109.4,118.1,108.0,116.7,2622217.0,1.4,7.3,0.48,1420.83,7.3,486203.1,439.33,True,65.45,0,,106.4,117.5,False,False
27-11-2024 17:00,CRDFA,8.34,8.59,8.14,8.59,7379103.0,0.0,0.25,0.03,681.25,0.25,2190847.6,236.81,True,73.45,0,,7.27,ATH,False,False
27-11-2024 17:00,DERHL,11.06,11.54,11.05,11.47,1786606.0,0.07,0.41,0.03,1142.42,0.41,508868.5,251.09,True,56.1,0,,ATL,12.13,True,True
27-11-2024 17:00,ISFIN,11.17,11.26,11.15,11.25,1003556.0,0.01,0.08,0.0,2566.67,0.08,543280.0,84.72,True,53.27,0,,11.13,11.44,False,False
27-11-2024 17:00,SKBNK,4.64,4.79,4.61,4.78,109440538.0,0.01,0.14,0.02,536.36,0.14,26540899.9,312.35,True,76.33,0,,4.21,ATH,False,False
27-11-2024 17:00,EFORC,40.74,42.06,40.68,42.06,1085729.0,0.0,1.32,0.01,16400.0,1.32,454985.4,138.63,True,66.24,0,,39.18,ATH,False,False
27-11-2024 17:00,BEGYO,4.11,4.24,4.11,4.23,13081697.0,0.01,0.12,0.01,990.91,0.12,3058351.3,327.74,True,70.47,0,,3.97,ATH,False,False
27-11-2024 17:00,OSTIM,7.37,7.96,7.37,7.96,15070169.0,0.0,0.59,0.07,793.94,0.59,2094920.0,619.37,True,82.45,0,,7.27,ATH,False,False
27-11-2024 16:00,SAMAT,18.93,19.81,18.57,19.8,1677718.0,0.01,0.87,0.16,443.75,0.87,798316.5,110.16,True,72.74,0,,18.12,ATH,False,False
27-11-2024 16:00,ENKAI,50.35,51.45,50.25,51.3,2356433.0,0.15,0.95,0.05,1627.27,0.95,1218116.0,93.45,True,56.48,0,,48.64,52.5,False,False
27-11-2024 16:00,ISMEN,40.32,41.16,40.18,41.06,1714681.0,0.1,0.74,0.16,351.22,0.74,722558.0,137.31,True,72.24,0,,38.84,ATH,False,False
27-11-2024 16:00,KRPLS,7.18,7.76,7.14,7.7,2008811.0,0.06,0.52,0.05,983.33,0.52,273632.6,634.13,True,81.06,0,,7.16,ATH,False,False
27-11-2024 15:00,IEYHO,11.51,11.92,11.5,11.9,4381947.0,0.02,0.39,0.06,596.43,0.39,1844511.8,137.57,True,77.15,0,,10.88,ATH,False,False
27-11-2024 15:00,METUR,14.71,15.04,14.61,14.96,1251411.0,0.08,0.25,0.03,614.29,0.25,359749.0,247.86,True,69.3,0,,13.99,15.2,False,False
27-11-2024 15:00,MTRKS,46.12,47.7,46.04,47.62,324755.0,0.08,1.5,0.2,665.31,1.5,124032.7,161.83,True,74.76,0,,41.58,ATH,False,False
27-11-2024 15:00,BJKAS,4.27,4.52,4.26,4.45,40317152.0,0.07,0.18,0.03,592.31,0.18,6281803.4,541.81,True,79.11,0,,4.13,4.46,False,False
27-11-2024 14:00,KCAER,41.16,41.96,41.14,41.88,1405338.0,0.08,0.72,0.07,928.57,0.72,607645.9,131.28,True,77.27,0,,39.64,ATH,False,False
27-11-2024 13:00,KONTR,49.12,50.6,49.02,50.4,4636561.0,0.2,1.28,0.13,915.87,1.28,1867440.8,148.28,True,70.82,0,,47.64,51.35,False,False
27-11-2024 13:00,ERSU,18.06,18.97,18.0,18.97,2276088.0,0.0,0.91,0.17,435.29,0.91,544969.1,317.65,True,85.2,0,,17.14,ATH,False,False
27-11-2024 12:00,PENGD,6.6,6.72,6.58,6.71,728283.0,0.01,0.11,0.01,1122.22,0.11,307833.6,136.58,True,59.14,0,,6.43,6.85,False,False
27-11-2024 12:00,TTKOM,46.52,47.44,46.52,47.22,10956359.0,0.22,0.7,0.0,17400.0,0.7,2918397.0,275.42,True,62.16,0,,46.36,47.46,False,False
27-11-2024 12:00,GIPTA,30.18,30.6,30.1,30.52,428721.0,0.08,0.34,0.05,529.63,0.34,192645.6,122.54,True,67.13,0,,29.9,31.08,False,False
27-11-2024 12:00,EPLAS,6.12,6.5,6.11,6.46,4522844.0,0.04,0.34,0.08,304.76,0.34,1991961.0,127.05,True,85.81,0,,5.64,ATH,False,False
27-11-2024 12:00,GUNDG,44.1,45.26,44.08,45.0,583577.0,0.26,0.9,0.02,4900.0,0.9,164105.4,255.61,True,59.99,0,,43.3,45.2,False,False
27-11-2024 12:00,EUREN,11.1,11.24,11.1,11.23,2200931.0,0.01,0.13,0.01,1757.14,0.13,939805.1,134.19,True,61.54,0,,10.81,11.25,False,False
27-11-2024 12:00,DCTTR,23.84,24.1,23.8,24.06,281250.0,0.04,0.22,0.03,746.15,0.22,182577.0,54.04,True,55.75,0,,23.46,25.44,False,False
27-11-2024 11:00,AHSGY,22.56,23.3,22.32,23.16,1052796.0,0.14,0.6,0.14,328.57,0.6,409238.0,157.26,True,72.25,0,,21.46,ATH,False,False
27-11-2024 11:00,TKFEN,78.3,79.2,78.15,79.0,544003.0,0.2,0.7,0.15,351.61,0.7,344512.6,57.91,True,50.94,0,,76.55,83.2,True,False
27-11-2024 11:00,GEREL,9.19,9.32,9.18,9.3,779425.0,0.02,0.11,0.01,1471.43,0.11,515632.1,51.16,True,51.81,0,,9.13,9.4,True,True
27-11-2024 11:00,AKSA,9.0,9.23,9.0,9.21,4944975.0,0.02,0.21,0.01,1515.38,0.21,1562690.1,216.44,True,67.64,0,,8.96,ATH,False,False
27-11-2024 11:00,ULUFA,15.11,15.37,15.09,15.37,335614.0,0.0,0.26,0.02,1030.43,0.26,153443.7,118.72,True,63.48,0,,14.79,ATH,False,False
27-11-2024 11:00,KERVT,14.34,14.47,14.26,14.45,774396.0,0.02,0.11,0.0,2100.0,0.11,445392.6,73.87,True,67.58,0,,12.17,14.99,False,False
27-11-2024 10:00,INDES,6.94,7.0,6.94,6.99,758420.0,0.01,0.05,0.0,1150.0,0.05,346970.5,118.58,True,59.25,0,,6.52,7.06,False,False
27-11-2024 10:00,IHLGM,1.84,2.0,1.76,1.98,144879846.0,0.02,0.14,0.01,1172.73,0.14,28625351.2,406.12,True,70.93,2,1.76,1.76,ATH,False,False
27-11-2024 10:00,GSDDE,7.81,7.96,7.81,7.95,462608.0,0.01,0.14,0.0,13900.0,0.14,194314.9,138.07,True,46.12,0,,7.81,8.35,False,False
27-11-2024 10:00,CCOLA,53.4,56.7,53.35,55.9,6510998.0,0.8,2.5,0.24,941.67,2.5,1101079.4,491.33,True,81.28,1,56.7,47.24,56.7,False,False
27-11-2024 10:00,BSOKE,50.5,51.2,50.1,51.05,640639.0,0.15,0.55,0.01,3566.67,0.55,299944.1,113.59,True,43.56,0,,49.8,55.15,False,False
27-11-2024 10:00,IHLAS,2.97,3.28,2.82,3.28,65821573.0,0.0,0.31,0.03,900.0,0.31,8704536.3,656.18,True,82.42,0,,2.36,ATH,False,False
27-11-2024 10:00,IHGZT,1.52,1.61,1.46,1.59,71816876.0,0.02,0.07,0.01,1066.67,0.07,14110599.5,408.96,True,69.14,0,,1.32,1.71,False,False
27-11-2024 10:00,BMSCH,32.98,34.5,32.98,34.46,165538.0,0.04,1.48,0.16,813.58,1.48,78199.6,111.69,True,63.16,0,,32.5,35.24,False,False
27-11-2024 10:00,GLRYH,11.63,11.71,11.62,11.69,574640.0,0.02,0.06,0.0,1400.0,0.06,189761.7,202.82,True,54.5,0,,11.59,11.86,False,False
27-11-2024 10:00,SANFM,34.88,35.7,34.72,35.6,359018.0,0.1,0.72,0.15,367.53,0.72,179561.5,99.94,True,83.3,0,,32.54,ATH,False,False
27-11-2024 10:00,BIMAS,477.0,481.5,475.25,480.25,1077854.0,1.25,3.25,0.12,2500.0,3.25,313117.2,244.23,True,66.2,1,481.5,473.0,481.5,False,False
27-11-2024 10:00,KNFRT,10.95,11.11,10.87,11.1,349373.0,0.01,0.15,0.04,257.14,0.15,179225.7,94.93,True,75.69,0,,10.33,11.2,False,False
27-11-2024 10:00,TKNSA,28.56,29.22,28.56,29.08,669027.0,0.14,0.52,0.05,900.0,0.52,170821.9,291.65,True,64.39,1,29.22,28.22,29.22,False,False
27-11-2024 10:00,TUKAS,6.74,6.8,6.72,6.8,4189321.0,0.0,0.06,0.01,757.14,0.06,1386072.5,202.24,True,73.75,0,,6.63,ATH,False,False
27-11-2024 10:00,INVEO,7.4,7.66,7.4,7.62,2364169.0,0.04,0.22,0.02,1000.0,0.22,360757.3,555.34,True,71.63,0,,7.24,7.66,False,False
27-11-2024 10:00,KTLEV,57.8,60.35,57.75,59.85,2754351.0,0.5,2.05,0.3,583.33,2.05,1067624.9,157.99,True,72.85,0,,55.2,ATH,False,False
27-11-2024 10:00,VESTL,62.8,64.9,62.8,64.45,2131213.0,0.45,1.65,0.08,1962.5,1.65,480083.6,343.93,True,72.19,1,64.9,61.15,64.9,False,False
27-11-2024 10:00,HOROZ,57.7,59.45,57.2,59.05,617772.0,0.4,1.35,0.09,1321.05,1.35,143367.7,330.9,True,71.29,0,,55.35,ATH,False,False
27-11-2024 10:00,ALMAD,7.3,7.5,7.3,7.45,699782.0,0.05,0.15,0.02,581.82,0.15,200071.8,249.77,True,62.35,0,,7.24,ATH,False,False
27-11-2024 10:00,FZLGY,21.5,22.8,21.5,22.52,1520365.0,0.28,1.02,0.14,608.33,1.02,528574.1,187.64,True,73.45,0,,17.5,ATH,False,False
27-11-2024 10:00,HDFGS,1.49,1.5,1.48,1.5,2693005.0,0.0,0.01,0.0,inf,0.01,932072.2,188.93,True,60.83,0,,1.47,1.51,False,False
27-11-2024 10:00,KMPUR,19.51,19.72,19.25,19.67,507008.0,0.05,0.16,0.0,7900.0,0.16,144172.1,251.67,True,72.2,0,,17.61,ATH,False,False
26-11-2024 17:00,ETILR,47.92,49.24,47.7,49.12,1845837.0,0.12,1.2,0.36,235.2,1.2,912511.1,102.28,True,80.94,0,,40.12,ATH,False,False
26-11-2024 17:00,PRDGS,5.46,5.73,5.46,5.73,655646.0,0.0,0.27,0.03,900.0,0.27,354784.0,84.8,True,78.57,0,,5.44,5.8,False,False
26-11-2024 17:00,RUBNS,27.84,29.5,27.84,29.08,525101.0,0.42,1.24,0.11,1048.15,1.24,131213.6,300.19,True,67.86,1,29.5,27.64,29.5,True,True
26-11-2024 17:00,SURGY,39.88,41.98,39.8,41.98,218197.0,0.0,2.1,0.25,746.77,2.1,141102.9,54.64,True,66.74,0,,36.78,43.96,False,False
26-11-2024 17:00,ORGE,84.5,86.5,84.4,86.05,443547.0,0.45,1.55,0.24,545.83,1.55,91925.5,382.51,True,75.22,0,,76.65,ATH,False,False
26-11-2024 17:00,ISCTR,13.51,13.63,13.49,13.62,60040829.0,0.01,0.11,0.0,2650.0,0.11,31188518.8,92.51,True,59.35,0,,13.43,13.87,False,False
26-11-2024 17:00,AVPGY,54.6,55.5,54.6,55.35,1025130.0,0.15,0.75,0.01,14900.0,0.75,521400.8,96.61,True,46.31,0,,54.1,58.7,False,False
26-11-2024 17:00,ALKLC,28.8,29.24,28.78,29.24,1294896.0,0.0,0.44,0.05,816.67,0.44,681959.6,89.88,True,65.78,0,,28.32,29.26,False,False
26-11-2024 17:00,ALKA,25.68,27.22,25.64,26.88,526757.0,0.34,1.2,0.07,1521.62,1.2,136746.8,285.21,True,71.25,0,,25.56,28.1,False,False
26-11-2024 17:00,YKBNK,29.14,29.62,29.08,29.56,44665091.0,0.06,0.42,0.04,1066.67,0.42,23560370.9,89.58,True,61.18,0,,28.94,29.76,False,False
26-11-2024 17:00,ADESE,2.01,2.04,2.01,2.04,15081709.0,0.0,0.03,0.0,1400.0,0.03,6203736.9,143.11,True,63.89,0,,1.99,2.05,False,False
26-11-2024 17:00,YIGIT,33.7,34.14,33.68,34.02,983040.0,0.12,0.32,0.01,5233.33,0.32,652487.4,50.66,True,61.93,0,,33.66,34.44,False,False
26-11-2024 17:00,AHGAZ,19.76,19.94,19.69,19.94,674893.0,0.0,0.18,0.03,500.0,0.18,384206.4,75.66,True,62.25,0,,18.91,ATH,False,False
26-11-2024 15:00,GUBRF,222.9,233.8,220.9,231.4,4581369.0,2.4,8.5,0.48,1670.83,8.5,1203477.7,280.68,True,63.73,2,220.9,220.9,237.6,False,False
26-11-2024 15:00,YUNSA,6.41,6.51,6.37,6.49,1104091.0,0.02,0.08,0.01,1500.0,0.08,700174.5,57.69,True,71.7,0,,5.95,ATH,False,False
26-11-2024 15:00,GLBMD,12.0,12.25,11.9,12.21,303491.0,0.04,0.21,0.01,1809.09,0.21,128568.4,136.05,True,49.97,0,,11.79,12.68,False,False
26-11-2024 15:00,YAYLA,13.54,14.45,13.5,14.25,5319474.0,0.2,0.71,0.1,647.37,0.71,811672.1,555.37,True,83.32,0,,13.18,14.49,False,False
26-11-2024 14:00,TATGD,22.74,22.96,22.68,22.96,237288.0,0.0,0.22,0.01,2650.0,0.22,95280.3,149.04,True,66.26,0,,22.5,23.28,False,False
26-11-2024 14:00,RYSAS,17.5,18.58,17.48,18.52,2945775.0,0.06,1.02,0.1,940.82,1.02,710831.0,314.41,True,65.46,0,,17.11,19.72,True,True
26-11-2024 14:00,KZBGY,29.76,30.64,29.66,30.56,1987731.0,0.08,0.8,0.13,525.0,0.8,631900.4,214.56,True,75.19,0,,28.34,ATH,False,False
26-11-2024 14:00,EDATA,13.67,13.85,13.64,13.83,266500.0,0.02,0.16,0.01,966.67,0.16,125966.5,111.56,True,58.54,0,,13.55,14.08,False,False
26-11-2024 14:00,INFO,9.58,9.95,9.55,9.91,642112.0,0.04,0.33,0.06,415.63,0.33,271284.2,136.69,True,85.08,0,,9.12,ATH,False,False
26-11-2024 13:00,IZENR,20.64,20.94,20.6,20.86,523252.0,0.08,0.22,0.01,3566.67,0.22,339407.0,54.17,True,62.32,0,,20.34,21.6,False,False
26-11-2024 12:00,KIMMR,10.02,10.32,10.0,10.28,1847561.0,0.04,0.26,0.07,293.94,0.26,601127.8,207.35,True,86.39,0,,9.26,ATH,False,False
26-11-2024 12:00,ULUUN,6.42,6.56,6.35,6.55,4251606.0,0.01,0.13,0.01,983.33,0.13,1150216.2,269.64,True,69.66,0,,6.34,6.65,False,False
26-11-2024 12:00,AKGRT,6.26,6.57,6.26,6.54,25887542.0,0.03,0.28,0.05,495.74,0.28,5115006.8,406.11,True,89.31,0,,5.5,ATH,False,False
26-11-2024 12:00,MARBL,12.64,12.8,12.63,12.79,623563.0,0.01,0.15,0.03,417.24,0.15,321008.3,94.25,True,81.05,0,,11.74,ATH,False,False
26-11-2024 12:00,OYLUM,8.17,8.22,8.11,8.21,222958.0,0.01,0.04,0.01,566.67,0.04,120234.7,85.44,True,55.01,0,,8.1,8.35,False,False
26-11-2024 11:00,YEOTK,209.8,214.7,209.2,214.1,502220.0,0.6,4.3,0.18,2288.89,4.3,188179.0,166.88,True,63.48,0,,203.7,216.8,False,False
26-11-2024 11:00,PENTA,14.9,15.05,14.88,15.02,389914.0,0.03,0.12,0.0,2300.0,0.12,179277.4,117.49,True,68.76,0,,14.09,15.06,False,False
26-11-2024 11:00,REEDR,14.49,15.34,14.46,15.14,34862675.0,0.2,0.65,0.07,815.49,0.65,7270861.8,379.48,True,81.5,0,,14.29,15.79,False,False
26-11-2024 11:00,ANHYT,97.2,101.9,97.05,101.0,586241.0,0.9,3.8,0.77,396.73,3.8,193272.1,203.32,True,86.44,1,101.9,89.3,101.9,False,False
26-11-2024 11:00,ANSGR,86.4,88.5,86.0,88.05,744209.0,0.45,1.65,0.53,211.32,1.65,388424.4,91.6,True,76.42,0,,81.15,88.3,False,False
26-11-2024 11:00,AGROT,11.84,12.73,11.82,12.73,16787299.0,0.0,0.89,0.07,1228.36,0.89,4128648.0,306.61,True,74.98,0,,11.58,ATH,False,False
26-11-2024 11:00,GESAN,49.04,49.9,48.88,49.66,1512771.0,0.24,0.62,0.09,588.89,0.62,550399.9,174.85,True,57.85,0,,48.18,50.55,True,False
26-11-2024 11:00,GARAN,118.9,121.9,118.7,121.3,4737058.0,0.6,2.4,0.18,1233.33,2.4,2670192.0,77.41,True,63.67,2,118.7,118.7,121.6,False,False
26-11-2024 11:00,RODRG,20.94,21.4,20.94,21.34,227090.0,0.06,0.4,0.03,1233.33,0.4,114110.2,99.01,True,66.78,1,21.4,20.6,21.4,False,False
26-11-2024 11:00,SEGMN,18.3,18.54,18.25,18.51,211304.0,0.03,0.21,0.02,950.0,0.21,100884.1,109.45,True,65.28,0,,17.15,18.84,False,False
26-11-2024 10:00,TEZOL,17.32,17.51,17.24,17.46,413152.0,0.05,0.14,0.01,1172.73,0.14,194045.9,112.91,True,55.59,0,,17.14,18.38,False,False
26-11-2024 10:00,TERA,27.64,29.06,27.36,29.06,401238.0,0.0,1.42,0.09,1443.48,1.42,114194.0,251.37,True,66.82,2,27.36,27.36,30.3,False,False
26-11-2024 10:00,IPEKE,51.8,55.2,51.45,55.1,7006929.0,0.1,3.3,0.37,791.89,3.3,2275079.2,207.99,True,83.39,0,,38.56,ATH,False,False
26-11-2024 10:00,SNICA,5.26,5.28,5.24,5.28,1875368.0,0.0,0.02,0.0,2.25179981368529e+16,0.02,799237.8,134.64,True,59.85,1,5.28,5.06,5.31,False,False
26-11-2024 10:00,OZYSR,25.36,26.26,25.2,26.02,1150932.0,0.24,0.66,0.01,4614.29,0.66,295421.4,289.59,True,64.55,0,,25.16,26.34,False,False
26-11-2024 10:00,SKYMD,10.89,11.17,10.88,11.13,347797.0,0.04,0.24,0.03,605.88,0.24,167084.8,108.16,True,59.22,0,,10.66,11.39,False,False
26-11-2024 10:00,GRSEL,171.6,173.5,169.8,173.3,254749.0,0.2,1.7,0.43,295.35,1.7,95294.6,167.33,True,72.68,0,,158.6,ATH,False,False
26-11-2024 10:00,GOZDE,26.26,27.02,26.26,26.9,1212309.0,0.12,0.64,0.07,764.86,0.64,300329.7,303.66,True,72.3,0,,24.9,ATH,False,False
26-11-2024 10:00,TCELL,93.4,94.7,92.9,94.55,7926925.0,0.15,1.15,0.14,693.1,1.15,2663342.9,197.63,True,57.87,0,,92.2,96.4,False,False
26-11-2024 10:00,BOSSA,7.76,8.41,7.51,8.25,19209898.0,0.16,0.49,0.07,653.85,0.49,4080710.3,370.75,True,93.12,2,7.51,7.51,ATH,False,False
26-11-2024 10:00,CEOEM,30.66,32.34,30.66,32.34,1728533.0,0.0,1.68,0.32,431.65,1.68,404965.1,326.84,True,72.67,1,32.34,26.46,ATH,False,False
26-11-2024 10:00,FORMT,6.83,6.91,6.81,6.9,5946736.0,0.01,0.07,0.03,169.23,0.07,2433005.9,144.42,True,87.68,0,,ATL,ATH,False,False
26-11-2024 10:00,HEDEF,3.04,3.09,3.02,3.08,909921.0,0.01,0.04,0.01,566.67,0.04,223471.7,307.18,True,75.32,1,3.09,2.86,3.09,False,False
26-11-2024 10:00,BEYAZ,25.88,26.24,24.64,26.24,466271.0,0.0,0.36,0.0,17900.0,0.36,118758.5,292.62,True,46.03,2,24.64,24.64,27.96,True,True
26-11-2024 10:00,TRCAS,23.18,23.82,23.18,23.64,446994.0,0.18,0.46,0.08,505.26,0.46,239308.4,86.79,True,69.49,0,,21.08,ATH,False,False
26-11-2024 10:00,BAGFS,22.46,23.32,22.32,23.18,1186546.0,0.14,0.72,0.06,1100.0,0.72,197528.1,500.7,True,80.87,1,23.32,20.8,23.32,False,False
25-11-2024 17:00,ICUGS,28.26,30.0,28.06,29.76,1301233.0,0.24,1.5,0.12,1171.19,1.5,465673.8,179.43,True,82.36,2,28.06,28.06,ATH,False,False
25-11-2024 17:00,HRKET,70.25,73.2,70.05,72.9,1485592.0,0.3,2.65,0.41,554.32,2.65,408049.5,264.07,True,84.71,0,,66.45,ATH,False,False
25-11-2024 17:00,PRZMA,30.84,31.5,30.8,31.38,154561.0,0.12,0.54,0.08,558.54,0.54,82409.4,87.55,True,63.33,0,,29.36,31.72,False,False
25-11-2024 17:00,SMRTG,38.94,39.44,38.9,39.38,862852.0,0.06,0.44,0.08,464.1,0.44,419899.7,105.49,True,68.4,0,,37.64,40.36,False,False
25-11-2024 17:00,POLHO,10.58,10.87,10.57,10.8,1147624.0,0.07,0.22,0.03,714.81,0.22,364308.3,215.01,True,75.77,1,10.87,9.99,10.87,False,False
25-11-2024 17:00,PASEU,25.9,26.4,25.74,26.3,570274.0,0.1,0.4,0.06,566.67,0.4,259636.7,119.64,True,69.33,0,,25.62,26.68,False,False
25-11-2024 17:00,IHEVA,2.63,2.76,2.62,2.75,8647389.0,0.01,0.12,0.02,500.0,0.12,3163021.0,173.39,True,63.27,0,,2.47,2.92,False,False
25-11-2024 17:00,DOHOL,14.39,14.53,14.39,14.49,5958658.0,0.04,0.1,0.02,426.32,0.1,2488944.3,139.41,True,72.84,0,,13.32,ATH,False,False
25-11-2024 17:00,KBORU,82.3,83.25,82.2,83.25,284058.0,0.0,0.95,0.02,3700.0,0.95,151399.4,87.62,True,57.29,0,,81.6,83.75,False,False
25-11-2024 17:00,ARCLK,144.4,146.0,143.9,145.9,653248.0,0.1,1.5,0.11,1263.64,1.5,260952.2,150.33,True,73.46,1,146.0,132.5,146.0,False,False
25-11-2024 16:00,HEKTS,3.87,4.11,3.86,4.06,166906239.0,0.05,0.19,0.03,493.75,0.19,51912457.5,221.51,True,81.05,0,,3.35,ATH,False,False
