Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
TTKOM,03-04-2024,31.58,5.27,1.88,30.64,30.48,30.39,30.45,30.72,30.45,30.53,30.29,25.78,31.19,33487744.67,56.54,+,+,+,,+,+,+,+_03-04-2024 09:00:00,+_03-04-2024 09:00:00,,+,+,+,,-,,+,,,,,,10,1
AYGAZ,03-04-2024,156.3,3.03,-8.02,153.84,153.75,154.23,154.59,154.08,153.82,152.84,153.48,128.44,154.83,683699.0,52.39,+,+,+,+,,,+,+_03-04-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,+,,+,,,,+,-,10,1
TABGD,03-04-2024,133.7,3.0,29.0,132.2,132.16,132.31,132.73,132.28,132.17,131.76,132.27,138.46,132.47,2562643.0,50.87,+,+,+,+,,,+,+_03-04-2024 09:00:00,-_25-03-2024 09:00:00,,,+,+,,,,+,,,+,+,-,10,1
TNZTP,03-04-2024,66.7,8.46,144.6,63.61,63.64,64.35,65.46,63.81,63.76,62.79,63.71,54.28,64.62,548776.0,51.5,+,+,+,,,,+,+_03-04-2024 09:00:00,-_06-03-2024 09:00:00,,,+,+,+,-,,+,+,,,+,,10,1
AVTUR,03-04-2024,11.2,2.38,-6.78,10.73,10.7,10.72,10.68,10.77,10.7,10.55,10.76,8.01,11.1,1329524.33,55.38,,,,+,+,+,+,+_03-04-2024 09:00:00,+_03-04-2024 09:00:00,,-,,+,,+,,,,+,,+,+,9,1
SRVGY,03-04-2024,293.25,9.93,112.76,280.94,282.4,285.84,291.19,281.08,283.07,279.98,284.31,292.1,284.42,156007.0,49.32,+,+,+,,,,,-_26-03-2024 09:00:00,-_01-02-2024 09:00:00,,,+,+,,-,+,+,+,+,,,,9,1
JANTS,03-04-2024,315.25,9.94,27.32,309.39,308.56,299.09,280.11,308.44,307.2,315.54,311.99,164.26,303.0,2110452.67,62.33,+,+,+,+,,,+,+_03-04-2024 09:00:00,+_25-01-2024 09:00:00,,,+,,,+,,+,,,,,,8,0
CRDFA,03-04-2024,7.2,7.62,34.83,6.92,6.95,7.06,7.2,6.93,6.97,6.85,6.99,6.0,6.99,4188820.67,49.51,+,+,+,,,,,-_04-03-2024 09:00:00,-_12-03-2024 09:00:00,,,+,+,,-,,+,,+,,,+,8,1
VESTL,03-04-2024,90.2,10.0,192.81,85.3,84.06,82.92,81.78,85.9,83.77,84.1,82.82,64.0,87.3,22021085.0,61.1,+,+,,,,,,+_28-03-2024 09:00:00,+_28-03-2024 09:00:00,,,+,+,,+,,+,+,,,+,,8,0
KGYO,03-04-2024,36.0,8.7,87.26,34.06,34.02,34.48,35.34,34.2,34.09,33.67,33.84,40.93,34.77,600499.0,50.51,,+,+,+,,,+,+_03-04-2024 09:00:00,-_05-03-2024 09:00:00,,,,+,,-,,,+,,+,,,7,1
