Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
02-02-2024 13:00,8708.9,8711.88,8704.86,8710.19,37921705.0,XU100,7918.6,8600.86,8339.18,7685.52,+_03-01-2024 17:00:00,10.0,-,13.33,-,8641.53,8593.45,155.9,12.89,143.01,74.96,72.22,+,+,0.02,-97.29,620433327.0,-,68.66,0.79,116.74,1.36,7996.7,8347.58,7915.48,8346.28,13426798113.0,293.95,-46.75,340.7,65.36,59.69,7915.21,7882.14,33.07,7882.79,4.37,16.85,13059638812.67,+,-,+,-,794.98,10.04,+,-,False,0.42,+,H_Wma9:H_Tk:H_Wma15,9.98,-,,,,,,,,+_01-02-2024 09:00:00,+,,,,
02-02-2024 13:00,31.12,31.18,30.98,31.1,113900.0,A1CAP,30.95,30.83,30.08,27.55,+_25-01-2024 09:00:00,0.5,+,12.89,-,30.94,30.86,0.47,-0.04,0.51,63.11,63.97,-,-,-0.06,-92.13,660182.0,-,0.16,0.52,0.24,0.78,28.36,31.28,28.02,30.68,8479909.0,-2.71,,,44.8,41.6,28.68,29.98,1.3,34.9,8.26,26.71,7175630.67,+,-,-,-,2.42,8.42,+,-,True,-4.33,-,H_Tk:H_Wma15:H_Wma9,8.0,-,,,,,,,,+_02-02-2024 09:00:00,+,,,,
02-02-2024 13:00,132.1,132.6,132.1,132.5,3440.0,ACSEL,120.87,133.55,126.75,112.38,+_25-01-2024 13:00:00,9.62,-,17.91,-,132.33,130.9,3.57,0.38,3.19,67.22,68.12,+,-,0.45,-97.23,69208.33,-,0.17,0.13,1.6,1.22,117.3,127.1,115.2,122.9,1842334.0,10.92,-5.18,16.1,56.26,67.93,120.19,123.94,3.76,126.38,4.86,89.89,1558563.0,-,-,+,-,12.31,10.25,+,-,False,-3.03,-,H_Tk:H_Wma15:H_Wma9,9.91,-,,,,,,+,,+_02-02-2024 13:00:00,+,,,,
02-02-2024 13:00,523.0,523.0,521.0,523.0,5287.0,ADEL,410.92,471.88,444.5,358.62,+_24-01-2024 13:00:00,27.28,-,45.83,-,495.64,475.62,35.71,9.18,26.53,84.96,77.36,+,+,0.0,-98.9,186456.33,-,27.36,5.52,47.38,9.96,360.0,416.0,352.25,394.0,1995924.0,-0.71,-21.01,20.3,49.05,50.04,375.51,396.86,21.36,498.12,10.21,72.8,1993705.67,-,-,-,-,147.49,39.28,+,-,False,-5.38,-,H_Tk:H_Wma15:H_Wma9,38.75,-,,,,,,,,+_30-01-2024 17:00:00,+,,,,
02-02-2024 13:00,2.36,2.36,2.35,2.36,428199.0,ADESE,2.11,2.34,2.4,2.16,-_26-01-2024 13:00:00,11.89,-,9.26,-,2.35,2.34,0.01,0.0,0.01,55.65,50.82,+,+,0.0,-98.42,11632253.67,-,0.01,0.25,0.02,0.88,2.31,2.53,2.29,2.31,375655979.0,0.09,0.02,0.07,63.11,53.67,2.08,2.05,0.03,2.18,0.0,-2.9,346236084.0,+,+,+,-,0.28,13.41,+,-,False,1.65,-,H_Tk:H_Wma9:H_Wma15,12.93,-,,,,,,,,+_31-01-2024 09:00:00,+,,,,
02-02-2024 13:00,33.5,33.66,33.46,33.62,115360.0,ADGYO,31.47,33.96,33.08,29.48,+_18-01-2024 09:00:00,6.84,-,14.04,-,33.69,33.65,0.73,-0.06,0.78,60.22,64.81,-,-,0.36,-90.44,719098.0,-,0.07,0.22,0.03,0.1,31.46,35.0,29.86,32.0,37702095.0,,,,50.6,,30.51,31.96,1.46,,0.95,152.93,21471332.0,+,-,+,-,3.11,10.21,+,-,False,-4.56,-,H_Wma15:H_Wma9:H_Tk,9.69,-,,,,,,,,-_02-02-2024 09:00:00,-,,,,
02-02-2024 13:00,148.8,149.0,148.6,149.0,13502.0,AEFES,125.22,145.05,141.55,131.1,+_26-01-2024 13:00:00,18.99,-,13.65,-,148.08,146.08,3.99,0.76,3.24,66.3,66.48,+,-,0.13,-98.32,534845.33,-,0.92,0.62,2.92,2.0,135.0,139.5,130.6,139.1,10423804.0,12.73,1.41,11.32,69.41,64.56,132.86,127.24,5.62,116.7,3.27,35.97,11347212.67,-,+,+,+,16.14,12.15,+,-,False,4.42,-,H_Wma9:H_Wma15:H_Tk,11.85,-,,,,,,,,+_01-02-2024 09:00:00,+,,,,
02-02-2024 13:00,12.59,12.61,12.58,12.61,137033.0,AFYON,12.2,12.67,12.37,11.28,+_12-01-2024 13:00:00,3.36,-,11.74,-,12.66,12.59,0.21,-0.0,0.21,59.18,64.03,-,-,0.16,-96.91,2519555.67,-,0.05,0.42,0.02,0.13,11.61,12.52,11.61,12.46,42803465.0,0.27,-0.38,0.65,52.58,51.47,11.74,12.09,0.35,14.17,7.32,46.94,31432744.0,+,-,+,-,0.87,7.4,+,-,False,-2.92,-,H_Tk:H_Wma15:H_Wma9,7.14,-,,,,,,,,-_02-02-2024 09:00:00,+,,,,
02-02-2024 13:00,58.3,58.3,58.15,58.15,1319.0,AGESA,56.54,58.62,57.02,57.35,+_22-01-2024 09:00:00,2.85,-,1.39,+,58.55,58.44,0.7,-0.03,0.73,55.99,64.0,-,-,-0.26,-99.5,113027.67,-,0.4,0.68,0.29,0.5,55.1,57.7,54.3,56.9,2852246.0,2.21,-1.36,3.57,53.15,54.06,55.63,56.17,0.54,64.25,3.45,2.14,2918789.0,+,-,+,-,2.52,4.53,+,-,True,-0.97,-,H_Tk:H_Wma15:H_Wma9,4.53,-,,,,,,,,-_02-02-2024 09:00:00,-,,,,
02-02-2024 13:00,235.4,235.6,235.2,235.6,2604.0,AGHOL,210.85,234.55,228.45,205.95,+_26-01-2024 13:00:00,11.74,-,14.4,-,234.37,234.2,3.59,-0.02,3.62,62.5,65.78,-,-,0.08,-99.37,183269.0,-,1.23,0.53,1.4,0.6,220.9,230.4,215.3,229.0,3643697.0,15.97,-1.43,17.4,64.84,59.61,214.32,211.39,2.93,218.45,2.74,24.54,3271219.67,+,-,+,-,21.28,9.93,+,-,False,1.39,-,H_Tk:H_Wma9:H_Wma15,9.74,-,,,,,,,,+_01-02-2024 13:00:00,+,,,,
