Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
HALKB,04-04-2024,14.25,9.7,141.42,13.51,13.44,13.44,13.51,13.56,13.43,13.39,13.38,13.16,13.83,85762520.67,59.34,+,+,+,+,+,,+,+_04-04-2024 09:00:00,-_05-03-2024 09:00:00,+,,+,+,+,-,+,+,+,+,+,+,+,17,1
MAVI,04-04-2024,79.7,9.55,86.53,75.31,74.77,74.42,73.92,75.7,74.68,74.19,74.59,56.58,77.33,4115511.33,61.12,+,+,+,+,+,+,+,+_04-04-2024 09:00:00,+_04-04-2024 09:00:00,,-,+,+,,+,,+,,+,+,+,,14,1
CASA,04-04-2024,102.7,9.72,130.57,96.64,96.4,96.87,97.59,97.08,96.46,95.36,96.47,111.08,99.47,38205.67,55.55,+,+,+,+,,,+,+_04-04-2024 09:00:00,-_25-03-2024 09:00:00,,,,+,+,+,,+,+,,,+,+,12,0
IZMDC,04-04-2024,6.59,6.12,52.05,6.53,6.54,6.53,6.51,6.52,6.54,6.59,6.54,6.3,6.56,15662236.67,51.68,+,+,+,,+,+,,-_03-04-2024 09:00:00,+_04-04-2024 09:00:00,,,+,,,-,+,+,,,,+,+,10,1
ALBRK,04-04-2024,4.32,5.37,130.37,4.23,4.24,4.25,4.26,4.23,4.24,4.24,4.26,3.87,4.25,33310726.67,52.01,+,+,+,,,,,-_01-04-2024 09:00:00,-_01-04-2024 09:00:00,,,+,+,+,+,,+,,,,+,+,10,0
AVGYO,04-04-2024,7.92,7.17,191.59,7.67,7.7,7.8,7.96,7.68,7.72,7.65,7.71,7.39,7.8,2366530.33,47.42,+,+,+,,,,,-_27-02-2024 09:00:00,-_28-02-2024 09:00:00,,,+,+,,-,,+,+,+,,,+,9,1
SNPAM,04-04-2024,91.9,9.99,61.41,87.46,87.67,88.53,89.88,87.63,87.83,86.83,88.01,80.21,90.12,60340.0,51.31,+,+,+,,,,,-_22-03-2024 09:00:00,-_13-03-2024 09:00:00,,,+,+,,+,,,+,+,,+,,9,0
SKBNK,04-04-2024,4.37,4.05,60.12,4.27,4.26,4.28,4.35,4.28,4.26,4.23,4.25,4.54,4.34,77501967.67,48.47,+,+,+,+,,,+,+_04-04-2024 09:00:00,-_21-02-2024 09:00:00,,,+,+,,-,,+,,,,,+,9,1
BOSSA,04-04-2024,10.65,9.91,344.47,10.17,10.2,10.3,10.45,10.19,10.22,10.15,10.23,9.6,10.48,1777621.33,51.73,+,+,+,,,,,-_28-03-2024 09:00:00,-_12-03-2024 09:00:00,,,+,,+,-,,+,+,+,,+,,9,1
XU100,04-04-2024,9129.02,2.05,20.3,9057.11,9042.02,9026.63,9010.58,9062.84,9037.95,9045.67,9026.14,7713.12,9078.91,3086245558.0,54.93,+,+,+,,,,,+_28-03-2024 09:00:00,+_29-03-2024 09:00:00,,,+,+,,-,,+,,,+,+,,8,1
DYOBY,04-04-2024,40.48,10.0,271.67,38.5,37.76,36.69,35.41,38.77,37.53,38.16,37.15,29.77,39.21,1517054.0,66.46,+,+,,,,,,+_07-03-2024 09:00:00,+_07-03-2024 09:00:00,,,+,+,,+,,+,+,,,+,,8,0
DIRIT,04-04-2024,15.62,10.0,239.69,15.08,15.21,15.5,15.86,15.07,15.26,15.03,15.29,11.63,15.25,140309.33,47.91,+,+,+,,,,,-_08-03-2024 09:00:00,-_14-03-2024 09:00:00,,,+,+,,-,,+,+,+,,,,8,1
DOAS,04-04-2024,315.0,3.62,19.61,311.3,311.17,309.12,304.05,311.24,310.92,311.32,312.76,244.58,311.17,3212942.0,58.69,+,+,+,+,,,+,+_04-04-2024 09:00:00,+_06-03-2024 09:00:00,,,+,,,+,,+,,,,,,8,0
IPEKE,04-04-2024,39.3,3.1,58.91,38.73,38.68,38.85,39.16,38.77,38.7,38.64,38.4,37.03,39.25,4168217.67,50.19,+,+,+,+,,,+,+_04-04-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,-,,+,,,,,,8,1
ENKAI,04-04-2024,34.92,4.49,33.67,34.34,34.47,34.83,35.4,34.33,34.53,34.28,34.55,34.16,34.52,17301798.67,44.68,+,+,+,,,,,-_27-02-2024 09:00:00,-_28-02-2024 09:00:00,,,+,+,,-,+,+,,+,,,,8,1
METRO,04-04-2024,2.47,6.01,333.55,2.4,2.41,2.43,2.47,2.4,2.41,2.39,2.4,2.31,2.46,10537062.0,47.88,+,+,+,,,,,-_11-03-2024 09:00:00,-_12-03-2024 09:00:00,,,+,+,,-,,,+,+,,,+,8,1
MRGYO,04-04-2024,4.6,6.98,77.27,4.42,4.43,4.49,4.61,4.43,4.44,4.38,4.43,5.49,4.54,15804660.67,47.77,+,+,+,,,,,-_26-02-2024 09:00:00,-_27-02-2024 09:00:00,,,+,+,,-,,+,+,,+,,,8,1
PARSN,04-04-2024,100.5,5.9,140.3,98.32,99.21,101.32,104.13,98.21,99.61,98.07,99.76,98.69,99.67,445725.67,43.65,+,+,,,,,,-_12-03-2024 09:00:00,-_13-03-2024 09:00:00,,,+,+,,-,+,+,+,+,,,,8,1
TURSG,04-04-2024,54.0,4.75,-13.04,52.4,52.06,51.85,51.64,52.6,52.0,51.86,51.71,36.94,53.22,3329015.67,57.36,+,,,,,,,+_02-04-2024 09:00:00,+_02-04-2024 09:00:00,+,,+,+,,+,,+,,,+,+,,8,0
ANGEN,04-04-2024,12.8,5.0,44.5,12.53,12.53,12.61,12.78,12.55,12.54,12.48,12.5,13.78,12.65,2296992.0,48.36,+,+,+,,,,+,+_04-04-2024 09:00:00,-_27-02-2024 09:00:00,,,+,+,,-,,+,,,+,,,8,1
ZRGYO,04-04-2024,6.26,4.86,110.02,6.07,6.07,6.13,6.28,6.09,6.08,6.03,6.03,5.7,6.17,2963687.67,46.9,+,+,+,+,,,+,+_04-04-2024 09:00:00,-_05-03-2024 09:00:00,,,+,,+,-,,,,,+,,,8,1
DMSAS,04-04-2024,6.09,4.82,-40.31,5.88,5.86,5.88,5.89,5.9,5.86,5.83,5.82,5.12,6.05,4645821.33,56.36,,,+,+,+,,+,+_04-04-2024 09:00:00,-_19-03-2024 09:00:00,+,,,+,,-,,+,,,,,,7,1
