Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
VESTL,28-03-2024,84.7,7.9,310.4,81.19,80.78,80.51,81.44,80.7,80.79,80.46,63.26,83.55,9406802.67,57.28,+,+,+,+,+,+,+,,+,+,,-,,+,+,+,,+,,13,1
PGSUS,28-03-2024,808.0,2.08,-4.91,799.06,798.61,799.84,799.58,798.73,798.44,796.98,711.77,804.17,1790119.33,52.54,+,+,+,+,,+,+,,+,+,,-,,,,+,,+,+,11,1
DOHOL,28-03-2024,13.26,4.57,142.15,12.95,12.93,12.98,12.97,12.94,12.9,12.9,12.17,13.11,46758690.67,52.52,+,+,+,+,,+,+,,+,+,,-,,,,+,,+,+,11,1
PEGYO,28-03-2024,21.52,7.49,218.28,20.84,20.82,20.89,20.86,20.82,20.87,20.72,15.43,21.18,5339046.33,52.04,+,+,+,+,,+,,,+,+,+,-,,,+,,+,+,,11,1
YGGYO,28-03-2024,44.0,10.0,24.55,42.22,42.51,43.07,42.22,42.63,42.11,42.83,39.66,43.55,172203.67,52.19,+,+,+,,,,,,+,+,+,-,,+,,+,,+,+,10,1
ENJSA,28-03-2024,58.15,1.66,-27.66,57.56,57.54,57.72,57.6,57.56,57.46,57.34,48.31,57.92,4895915.33,51.25,+,+,+,+,,+,+,,+,+,,-,,,,+,,+,,10,1
TLMAN,28-03-2024,125.6,7.63,90.72,121.86,122.06,121.79,121.82,122.08,122.56,122.37,89.7,123.53,596253.0,55.34,+,+,+,,+,,+,,+,+,,+,,+,,,,+,,10,0
SASA,28-03-2024,43.0,9.97,-44.02,40.48,40.03,39.7,40.72,39.94,40.07,39.59,43.89,42.82,40510015.33,62.64,+,+,+,,,,,+,+,+,+,+,,,,+,,,,9,0
FROTO,28-03-2024,1145.0,4.47,33.56,1123.79,1120.33,1109.75,1124.56,1118.6,1126.56,1120.37,848.5,1129.33,839723.67,60.72,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
MEPET,28-03-2024,12.87,10.0,89.0,12.18,12.2,12.3,12.21,12.22,12.09,12.21,8.57,12.45,860718.33,55.83,+,+,+,,,,,,+,+,,+,,,,+,,+,+,9,0
TRGYO,28-03-2024,40.16,5.68,50.24,39.36,39.58,39.68,39.29,39.63,39.57,39.99,30.65,39.69,2774765.0,53.78,+,+,+,,,,,,+,+,,+,,,,+,,,+,8,0
