Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
LIDER,09-05-2024,72.3,4.63,142.84,70.81,70.67,70.6,70.53,70.88,70.65,70.95,70.38,60.82,71.2,832773.0,54.95,+,+,+,+,+,+,+,+_09-05-2024 09:00:00,+_09-05-2024 09:00:00,,,+,+,,+,,+,+,,+,+,+,15,0
FORTE,09-05-2024,73.35,4.64,111.78,71.59,71.38,71.28,71.6,71.72,71.34,71.32,71.19,75.24,72.42,1146632.0,53.11,+,+,+,+,+,,+,+_09-05-2024 09:00:00,-_09-05-2024 09:00:00,+,,+,+,,+,,+,,,,+,,12,0
MARTI,09-05-2024,4.25,3.41,150.34,4.18,4.17,4.17,4.19,4.18,4.17,4.17,4.17,4.16,4.22,12881087.67,51.16,+,+,+,+,+,,+,+_09-05-2024 09:00:00,-_29-02-2024 09:00:00,,,+,+,,-,+,+,+,,,+,,12,1
BYDNR,09-05-2024,30.5,5.17,71.74,29.75,29.68,29.58,29.53,29.8,29.66,29.63,29.69,34.55,29.89,1481908.33,55.36,+,+,+,+,+,+,+,+_09-05-2024 09:00:00,+_09-05-2024 09:00:00,,,+,+,,,,+,,,,+,,11,0
EYGYO,09-05-2024,10.44,4.09,94.81,10.26,10.25,10.26,10.32,10.26,10.25,10.24,10.24,10.05,10.29,2802876.33,50.99,+,+,+,+,,,+,+_09-05-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,-,+,+,,+,,+,,11,1
ALMAD,09-05-2024,7.72,1.58,-5.08,7.67,7.66,7.66,7.67,7.67,7.66,7.67,7.66,7.33,7.72,3874931.0,50.84,+,+,+,+,+,,+,+_09-05-2024 09:00:00,-_07-05-2024 09:00:00,+,,+,,,+,,,,,,+,,10,0
KLGYO,09-05-2024,6.46,9.86,404.25,6.1,6.04,5.95,5.83,6.13,6.02,6.06,6.02,4.21,6.08,57766386.33,63.24,+,+,,,,,+,+_09-05-2024 09:00:00,+_24-04-2024 09:00:00,,,+,+,,+,,+,+,,,+,-,9,1
PEGYO,09-05-2024,22.22,3.83,41.58,21.58,21.57,21.61,21.63,21.63,21.58,21.44,21.64,16.62,21.97,6309854.67,53.48,,,+,+,,,+,+_09-05-2024 09:00:00,-_03-05-2024 09:00:00,,,,+,+,+,,,,+,,+,+,9,0
ORCAY,09-05-2024,11.81,2.87,216.35,11.65,11.69,11.77,11.92,11.65,11.7,11.62,11.73,10.89,11.73,2573607.33,46.35,+,+,+,,,,,-_29-04-2024 09:00:00,-_21-03-2024 09:00:00,,,+,,,-,,+,+,+,+,,+,9,1
DOCO,09-05-2024,5022.5,2.08,42.87,5003.08,4999.66,4988.28,4970.52,5002.63,4997.6,5010.11,4997.19,4097.74,5011.67,7257.0,53.77,+,+,+,,,,+,+_09-05-2024 09:00:00,+_08-04-2024 09:00:00,,,+,,,+,,+,,,+,+,,9,0
