Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
DESPC,03-04-2024,52.0,-5.54,-68.17,55.95,57.25,57.41,56.08,55.15,57.42,58.1,58.96,35.27,52.67,1724230.33,46.59,,,,,,-,,-_01-04-2024 09:00:00,-_03-04-2024 09:00:00,-,,,,,+,,,-,,,,,1,3
DEVA,03-04-2024,68.7,1.03,-49.34,69.65,70.75,72.21,73.9,69.26,71.08,70.19,71.92,71.94,68.15,566843.0,31.92,,,,,,,,-_22-02-2024 09:00:00,-_23-02-2024 09:00:00,,,,,,-,,+,,,,,,1,1
DGATE,03-04-2024,40.94,-4.79,-32.51,43.2,44.46,45.53,45.57,42.69,44.77,43.99,45.91,30.54,40.71,356773.67,43.49,,,,,,,,-_26-03-2024 09:00:00,-_29-03-2024 09:00:00,,-,,,,-,,+,-,,,,-,1,4
DGNMO,03-04-2024,11.87,-1.49,-56.05,11.62,11.48,11.41,11.37,11.7,11.46,11.44,11.32,10.12,11.85,2880778.33,57.05,,,,,,,,+_01-04-2024 09:00:00,+_02-04-2024 09:00:00,,,,,,+,,,-,,,,,1,1
DOBUR,03-04-2024,154.4,-9.97,-27.62,171.02,175.77,176.05,168.53,168.28,176.43,176.48,183.15,88.6,154.4,139329.0,47.51,,,,,,,,-_01-04-2024 09:00:00,+_25-01-2024 09:00:00,,,,,,+,,,-,,,,-,1,2
DOCO,03-04-2024,4702.5,0.7,-1.2,4757.35,4800.24,4845.93,4863.51,4740.0,4811.88,4793.44,4833.04,3897.72,4664.17,8188.33,43.81,,,,,,,,-_18-03-2024 09:00:00,-_27-03-2024 09:00:00,,,,,,-,,+,,,,,-,1,2
DOKTA,03-04-2024,31.58,-0.44,29.23,32.17,32.56,33.28,34.17,32.05,32.7,32.25,32.74,32.56,31.31,384510.0,35.79,,,,,,,,-_12-03-2024 09:00:00,-_14-03-2024 09:00:00,,,,,,-,,+,-,-,,,,1,3
DYOBY,03-04-2024,37.48,-3.65,-60.31,37.74,37.14,36.15,34.96,37.9,36.93,37.58,36.59,29.69,37.98,1071064.33,60.89,-,,,,,,,+_07-03-2024 09:00:00,+_07-03-2024 09:00:00,,,-,,,+,,,-,-,,,,1,4
EBEBK,03-04-2024,47.68,0.76,-33.97,48.39,49.83,52.25,55.15,48.02,50.34,48.45,51.17,65.17,47.61,1477448.67,25.61,,,,,,,,-_03-04-2024 09:00:00,-_03-04-2024 09:00:00,,,,,,,,+,,,,,,1,0
EDATA,03-04-2024,21.68,0.84,-26.43,22.25,22.91,23.88,24.78,22.04,23.12,22.48,23.5,18.15,21.46,1935668.33,36.57,,,,,,,,-_05-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
EGSER,03-04-2024,3.48,0.29,-65.52,3.54,3.58,3.65,3.74,3.52,3.59,3.56,3.61,3.94,3.45,3613446.33,33.3,,,,,,,,-_27-02-2024 09:00:00,-_05-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
EKIZ,03-04-2024,60.25,-9.94,-48.47,66.0,67.76,68.72,67.96,65.07,68.1,68.02,69.65,43.71,62.47,35007.0,43.36,,,,,,-,,-_29-03-2024 09:00:00,-_03-04-2024 09:00:00,,,,,,+,,,-,,,,-,1,3
ENSRI,03-04-2024,28.94,-0.69,11.36,29.23,30.32,31.87,33.39,28.93,30.67,29.53,31.5,26.2,29.15,4336381.67,33.73,,,,,,,,-_20-03-2024 09:00:00,-_21-03-2024 09:00:00,,,,,,-,,-,-,+,,,,1,3
BEYAZ,03-04-2024,22.0,0.73,-46.82,22.15,22.26,22.34,22.38,22.09,22.28,22.33,22.34,20.45,21.83,950462.0,47.1,,,,,,,,-_01-04-2024 09:00:00,-_01-04-2024 09:00:00,-,,,,,-,,+,,,,,,1,2
BAYRK,03-04-2024,48.28,-4.4,-35.72,50.32,50.59,49.82,48.11,50.0,50.51,51.25,51.53,24.08,48.55,1053490.0,52.82,,,-,-,,,-,-_03-04-2024 09:00:00,+_15-03-2024 09:00:00,-,,,,,+,,-,-,,-,,,1,7
BAKAB,03-04-2024,41.6,-1.19,-46.65,42.16,42.52,43.05,43.56,42.05,42.64,42.21,42.81,36.56,41.53,196521.67,42.09,,,,,,,,-_12-03-2024 09:00:00,-_21-03-2024 09:00:00,,,,,,-,,+,-,-,,,-,1,4
AKYHO,03-04-2024,7.02,2.18,9.61,6.6,6.46,6.29,6.08,6.68,6.42,6.44,6.36,4.06,7.08,24772199.0,73.05,,,,,,,,+_30-01-2024 09:00:00,+_30-11-2023 09:00:00,,,,,,+,,-,,,,,,1,1
