Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
06-12-2024 09:00,KARTN,88.3,92.45,87.45,91.95,384834.0,0.5,3.65,0.79,364.97,3.65,237986.7,61.7,True,64.69,2024-12-06,4.31,0,,81.0,94.5,False,False
06-12-2024 09:00,TMSN,117.1,122.5,117.0,121.9,2297565.0,0.6,4.8,0.84,471.43,4.8,1420441.3,61.75,True,61.37,2024-12-06,5.27,0,,107.9,124.9,False,False
06-12-2024 09:00,ELITE,38.92,41.12,38.82,40.94,5636306.0,0.18,2.02,0.41,387.92,2.02,3281104.4,71.78,True,67.64,2024-12-06,5.19,0,,34.0,42.2,False,False
06-12-2024 09:00,CONSE,2.72,2.8,2.69,2.78,15428421.0,0.02,0.06,0.0,1400.0,0.06,9755735.5,58.15,True,64.8,2024-12-06,2.58,0,,2.46,ATH,False,False
06-12-2024 09:00,RGYAS,126.6,132.7,125.7,132.0,1560288.0,0.7,5.4,1.44,275.0,5.4,820043.5,90.27,True,79.64,2024-12-06,4.27,0,,100.6,ATH,False,False
06-12-2024 09:00,TUKAS,7.0,7.28,6.97,7.23,26276230.0,0.05,0.23,0.04,434.88,0.23,13599242.6,93.22,True,70.16,2024-12-06,3.73,0,,6.36,8.66,False,False
06-12-2024 09:00,TRCAS,25.08,26.96,25.08,26.7,4550907.0,0.26,1.62,0.4,300.99,1.62,1745452.3,160.73,True,77.44,2024-12-06,6.46,0,,21.08,ATH,False,False
06-12-2024 09:00,HUNER,3.28,3.58,3.23,3.52,69007594.0,0.06,0.24,0.02,1233.33,0.24,15108806.2,356.74,True,70.3,2024-12-06,7.98,0,,3.05,3.57,False,False
06-12-2024 09:00,HEDEF,3.14,3.28,3.1,3.28,8665511.0,0.0,0.14,0.02,636.84,0.14,5743101.7,50.89,True,65.39,2024-12-06,4.46,0,,2.86,5.0,False,False
06-12-2024 09:00,DAGHL,16.65,17.84,16.54,17.62,2496292.0,0.22,0.97,0.08,1176.32,0.97,886396.5,181.62,True,62.41,2024-12-06,5.95,0,,16.3,18.79,True,False
06-12-2024 09:00,AYDEM,24.88,25.38,24.88,25.36,3279365.0,0.02,0.48,0.0,6.75539944105574e+16,0.48,2111822.7,55.29,True,57.33,2024-12-06,2.42,0,,23.74,26.04,False,False
