Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
29-04-2024 17:00,10018.64,10082.77,10007.75,10082.77,569388302.0,XU100,9045.52,9873.61,9751.83,9272.33,+_25-04-2024 09:00:01,11.47,-,8.74,-,9950.86,9881.15,132.81,24.8,108.01,70.2,61.58,+,+,0.64,-38.78,978078434.0,-,131.91,1.33,201.62,2.04,9693.46,9956.11,9645.02,9915.62,12595097153.0,623.06,30.76,592.3,72.18,69.79,9538.94,9374.02,164.92,8579.5,2.29,-8.1,10142130638.67,+,+,+,+,,+_29-01-2024 09:00:01,543.83,5.7,+,-,False,1.76,-,H_Wma9:H_Wma15:H_Tk,4.91,-,,,,,,,,+_26-04-2024 09:00:01,+,,,
29-04-2024 17:00,31.0,31.02,30.84,30.9,202213.0,A1CAP,30.8,31.41,30.62,29.36,+_05-04-2024 17:00:01,0.33,+,5.25,-,31.25,31.21,0.35,-0.06,0.4,52.58,61.19,-,-,-0.39,-57.72,591360.33,-,0.35,1.12,0.31,1.0,30.6,32.04,30.5,31.58,8348382.0,-1.07,0.23,-1.3,49.25,47.34,30.58,31.1,0.52,31.08,4.71,-7.65,6659126.0,+,+,-,-,,-_08-04-2024 09:00:01,0.32,1.05,+,+,True,-1.66,-,H_Wma15:H_Tk:H_Wma9,0.85,+,Arasinda,,,,,,,-_29-04-2024 09:00:01,-,,,
29-04-2024 17:00,170.7,172.0,169.9,169.9,26021.0,ACSEL,152.23,168.5,164.2,156.55,+_08-04-2024 09:00:01,11.61,-,8.53,-,168.16,166.6,3.31,0.46,2.85,64.57,60.06,+,+,-0.47,-68.81,120415.33,-,1.74,1.04,3.3,1.98,168.0,172.0,160.4,169.1,1025111.0,14.61,-0.38,14.98,64.42,64.27,161.99,160.01,1.98,142.68,2.3,-22.16,902705.0,+,-,+,+,,+_19-02-2024 09:00:01,7.91,4.89,+,-,True,1.24,-,H_Wma9:H_Wma15:H_Tk,4.89,-,,,,,,,,+_26-04-2024 09:00:01,+,,,
29-04-2024 17:00,807.0,811.0,785.0,791.0,189162.0,ADEL,613.52,755.5,742.5,695.0,+_26-04-2024 17:00:01,28.93,-,13.81,-,765.68,746.92,23.14,9.19,13.95,68.56,58.69,+,+,-1.98,-58.35,554519.0,-,25.32,3.31,44.08,5.9,720.0,749.0,689.0,737.5,1925853.0,87.49,13.64,73.85,69.14,63.22,690.51,649.7,40.82,548.12,4.61,-34.01,1830111.67,+,+,+,+,,+_12-02-2024 09:00:01,100.49,14.55,+,-,True,6.28,-,H_Wma9:H_Wma15:H_Tk,13.68,-,,,,,,,,+_26-04-2024 09:00:01,+,,,
29-04-2024 17:00,2.36,2.37,2.33,2.34,14610610.0,ADESE,2.44,2.38,2.32,2.43,+_22-04-2024 09:00:01,-3.99,-,-3.7,-,2.36,2.36,0.02,-0.0,0.02,51.15,58.99,-,-,-0.85,-25.87,24103554.0,-,0.02,1.01,0.02,1.03,2.3,2.42,2.29,2.37,255647777.0,0.11,-0.06,0.17,51.56,62.34,2.41,2.51,0.1,2.42,4.41,23.9,168586795.67,+,-,+,-,,-_15-04-2024 09:00:01,-0.07,-2.93,-,-,False,-4.0,-,H_Wma15:H_Tk:H_Wma9,-1.69,+,,,,,,,,-_29-04-2024 13:00:01,-,-,,-
29-04-2024 17:00,29.64,30.0,29.56,30.0,249206.0,ADGYO,31.88,29.53,29.94,30.64,-_26-04-2024 13:00:01,-5.89,-,-2.09,-,29.69,29.75,0.01,-0.06,0.06,53.49,49.69,-,+,1.49,-13.51,398556.67,-,0.31,1.06,0.25,0.85,31.0,31.14,28.72,29.7,6454279.0,-0.58,,,42.69,51.85,30.69,32.23,1.54,33.84,-3.57,-26.64,5745059.0,-,-,-,-,,-_08-04-2024 09:00:01,-0.69,-2.25,-,-,True,-4.79,-,H_Tk:H_Wma15:H_Wma9,-2.25,-,,,,,,+,+,+_29-04-2024 17:00:01,+,,,-
29-04-2024 17:00,181.7,183.7,181.6,182.6,502392.0,AEFES,152.36,179.9,171.8,153.0,+_21-03-2024 13:00:01,19.85,-,19.35,-,181.33,180.12,4.62,-0.04,4.66,75.76,73.4,-,+,0.5,-65.66,930104.67,-,1.27,0.7,2.47,1.37,173.4,184.2,172.3,180.2,9638092.0,16.09,1.19,14.9,74.41,69.15,164.34,159.6,4.74,148.55,5.01,-47.3,10466013.33,-,+,+,+,,+_13-11-2023 09:00:01,18.26,11.11,+,-,False,2.97,-,H_Wma9:H_Wma15:H_Tk,10.5,-,,,,,,,,+_16-04-2024 13:00:01,+,,,
29-04-2024 17:00,14.82,15.0,14.75,14.86,1994735.0,AFYON,13.21,14.99,14.4,13.34,+_15-04-2024 13:00:01,12.47,-,11.39,-,14.94,14.92,0.29,-0.05,0.34,56.99,61.33,-,-,0.27,-59.78,4287497.67,-,0.08,0.55,0.06,0.43,14.75,15.33,14.51,15.13,57790792.0,0.61,0.14,0.47,63.06,55.24,13.67,13.42,0.25,12.79,4.71,-49.84,63345753.67,-,+,+,+,,+_19-02-2024 09:00:01,1.19,8.68,+,-,False,1.9,-,H_Wma9:H_Wma15:H_Tk,7.87,-,,,,,,,,-_29-04-2024 13:00:01,-,,,
29-04-2024 17:00,83.85,83.85,83.1,83.45,129975.0,AGESA,69.85,82.18,79.58,73.62,+_08-04-2024 09:00:01,19.47,-,13.34,-,82.02,81.71,1.66,0.17,1.5,63.76,61.52,+,+,-0.54,-65.57,259440.67,-,1.43,1.74,1.74,2.13,77.55,83.2,77.5,81.35,2646494.0,6.98,1.04,5.94,74.71,66.38,76.53,72.95,3.58,66.95,5.92,-6.84,2100006.33,+,+,+,+,,+_12-02-2024 09:00:01,6.92,9.04,+,-,True,4.91,-,H_Wma9:H_Wma15:H_Tk,8.58,-,,,,,,,,+_26-04-2024 17:00:01,+,,,
29-04-2024 17:00,314.5,318.5,314.0,316.5,146979.0,AGHOL,265.62,312.5,302.12,273.0,+_26-03-2024 17:00:01,19.16,-,15.93,-,315.79,313.69,6.24,-0.23,6.47,64.95,63.87,-,+,0.64,-36.14,225343.33,-,0.71,0.23,2.81,0.89,310.0,320.0,298.75,315.0,3998263.0,30.29,3.7,26.58,77.66,70.84,291.98,280.18,11.8,251.4,2.44,-39.55,3981626.33,-,+,+,+,,+_22-01-2024 09:00:01,24.52,8.4,+,-,False,4.21,-,H_Wma9:H_Wma15:H_Tk,7.54,-,,,,,,+,,+_29-04-2024 17:00:01,+,,,
