Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
06-03-2024 13:00,17.29,17.36,17.23,17.26,112212.0,IZFAS,14.95,17.5,17.39,16.55,+_01-03-2024 13:00:00,15.42,-,4.29,-,17.3,17.32,0.06,-0.01,0.07,50.97,54.05,-,-,-0.17,-93.15,725664.67,-,0.04,0.25,0.06,0.37,17.6,17.9,16.77,17.75,20704329.0,2.33,0.46,1.87,74.29,70.47,16.89,15.84,1.05,12.48,1.43,38.02,18434123.67,+,+,+,+,,+_11-12-2023 09:00:00,0.37,2.18,+,-,True,6.63,-,H_Wma9:H_Wma15:H_Tk,2.0,+,,,,,,,,-_06-03-2024 09:00:00,-,-,,
06-03-2024 13:00,44.12,44.12,43.82,43.9,2860.0,IZINV,41.46,45.46,46.51,43.88,-_05-03-2024 17:00:00,5.9,-,0.05,+,44.72,45.11,-0.15,-0.37,0.23,43.6,49.84,-,-,-0.5,-99.15,144337.33,-,0.82,1.84,1.21,2.68,43.64,49.98,43.64,45.88,4109538.0,3.33,0.2,3.13,67.65,60.87,42.84,41.5,1.34,41.24,5.13,39.0,3107881.33,+,+,+,+,,+_12-02-2024 09:00:00,1.06,2.47,+,-,True,3.22,-,H_Wma9:H_Wma15:H_Tk,2.28,-,,YukariDondu,,,,,,-_05-03-2024 13:00:00,-,,,
06-03-2024 13:00,6.46,6.46,6.44,6.44,83238.0,IZMDC,6.36,6.65,6.65,6.58,+_04-03-2024 09:00:00,1.24,+,-2.2,-,6.54,6.6,-0.05,-0.03,-0.02,34.2,46.28,-,-,-0.16,-99.19,3914433.67,-,0.1,1.6,0.16,2.41,6.81,6.9,6.58,6.83,106507537.0,0.06,0.1,-0.04,57.72,46.85,6.58,6.31,0.27,5.96,1.04,-15.17,110506360.0,-,+,+,+,,+_29-01-2024 09:00:00,-0.14,-2.16,-,-,False,4.24,-,H_Wma9:H_Wma15:H_Tk,-1.86,+,Arasinda,,,,,,,-_04-03-2024 13:00:00,-,,,+
06-03-2024 13:00,181.6,182.1,181.5,181.9,16031.0,JANTS,159.9,189.6,189.25,181.25,+_05-03-2024 09:00:00,13.76,-,0.36,+,186.89,187.26,-0.21,-0.6,0.39,44.58,50.79,-,-,0.0,-97.83,350444.67,-,4.99,2.67,5.36,2.86,186.0,194.4,180.5,183.4,7762242.0,13.39,4.84,8.55,65.27,58.87,169.81,159.3,10.51,172.25,-0.86,-16.58,12030622.0,-,+,+,-,,+_12-02-2024 09:00:00,12.09,7.12,+,-,False,6.59,-,H_Tk:H_Wma9:H_Wma15,6.88,-,,,,,,,,-_06-03-2024 09:00:00,-,-,,
06-03-2024 13:00,170.7,170.7,170.7,170.7,336.0,KAPLM,115.25,151.6,151.45,132.25,+_06-03-2024 09:00:00,48.11,-,29.07,-,158.14,151.63,6.58,3.05,3.53,72.53,56.0,+,+,0.0,-99.87,83433.0,-,12.56,7.94,19.07,12.57,149.6,155.0,132.2,134.6,2801250.0,6.45,4.61,1.84,65.46,50.62,119.12,110.22,8.9,120.8,-8.37,-48.94,3465142.67,-,+,+,-,,+_19-02-2024 09:00:00,51.58,43.3,+,-,False,8.07,-,H_Tk:H_Wma9:H_Wma15,43.3,-,,,,,,,,+_04-03-2024 09:00:00,+,,,
06-03-2024 13:00,15.8,15.86,15.8,15.8,8304.0,KAREL,14.74,16.57,17.04,15.28,-_04-03-2024 17:00:00,7.23,-,3.37,-,16.19,16.52,-0.24,-0.22,-0.02,34.78,46.34,-,-,0.0,-99.68,1120702.0,-,0.39,2.41,0.72,4.36,17.28,18.43,16.84,17.31,45421956.0,0.97,0.34,0.64,68.51,53.91,15.55,14.59,0.96,14.81,0.17,1.17,44902325.67,-,+,+,-,,+_12-02-2024 09:00:00,0.25,1.6,+,+,False,6.6,-,H_Wma9:H_Tk:H_Wma15,1.6,+,,,,,,,,-_01-03-2024 13:00:00,-,,,
06-03-2024 13:00,10.62,10.72,10.6,10.67,2635767.0,KARSN,9.73,10.3,10.25,9.97,+_05-03-2024 13:00:00,9.65,-,7.02,-,10.3,10.22,0.07,0.06,0.01,63.69,50.9,+,+,0.47,-91.41,12330018.0,-,0.37,3.62,0.45,4.41,10.3,10.5,9.78,10.28,102115872.0,0.02,0.13,-0.11,55.95,45.23,9.98,9.64,0.34,9.7,0.29,-33.11,119820243.0,-,+,+,-,,+_12-02-2024 09:00:00,0.69,6.93,+,-,False,3.54,-,H_Wma9:H_Tk:H_Wma15,6.23,-,,YukariDondu,,,,,,+_06-03-2024 09:00:00,+,,,
06-03-2024 13:00,129.9,130.0,129.3,130.0,21430.0,KARTN,90.52,137.95,124.5,88.2,+_16-01-2024 13:00:00,43.62,-,47.39,-,136.83,134.48,9.16,-0.72,9.88,58.25,70.32,-,-,0.0,-98.13,517381.33,-,6.83,4.99,4.48,3.33,96.2,129.3,96.2,129.3,13566878.0,5.9,4.04,1.87,83.65,53.39,93.42,87.14,6.28,99.2,34.48,201.92,8527396.67,+,+,+,-,,+_19-02-2024 09:00:00,36.58,39.16,+,-,False,7.2,-,H_Tk:H_Wma9:H_Wma15,38.41,-,,,,,,,,-_05-03-2024 17:00:00,-,,,
06-03-2024 13:00,60.85,61.0,60.0,60.45,13604.0,KARYE,43.23,58.53,58.53,56.61,+_06-03-2024 09:00:00,39.84,-,6.78,-,60.46,58.54,0.28,0.94,-0.66,54.48,46.19,+,+,-0.74,-99.36,720466.67,-,0.01,0.01,1.91,3.26,59.4,62.45,51.0,51.75,9371585.0,7.63,3.5,4.13,65.47,58.94,49.06,41.57,7.49,49.2,-12.95,-40.41,13984604.33,-,+,+,-,,+_29-01-2024 09:00:00,11.39,23.23,+,-,True,18.01,-,H_Tk:H_Wma9:H_Wma15,22.31,-,,,,,,-,,-_06-03-2024 13:00:00,+,,,
06-03-2024 13:00,2.49,2.5,2.48,2.49,1224750.0,KATMR,2.38,2.53,2.62,2.53,-_22-02-2024 13:00:00,4.59,-,-1.39,+,2.52,2.53,-0.03,-0.01,-0.03,39.39,42.65,-,-,0.4,-95.54,14695490.67,-,0.03,1.0,0.04,1.63,2.7,2.75,2.53,2.55,382010188.0,0.15,0.03,0.13,61.33,54.95,2.48,2.35,0.13,2.33,-4.49,-27.04,465061975.67,-,+,+,+,,+_12-02-2024 09:00:00,0.01,0.24,+,+,False,5.69,-,H_Wma9:H_Wma15:H_Tk,-0.16,+,YukariKesti,YukariKesti,,,,,,-_05-03-2024 13:00:00,-,,+,
