Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
27-06-2024 09:00,IHGZT,1.23,1.34,1.22,1.34,51859320.0,0.0,0.11,0.01,1275.0,0.11,26437953.4,96.15,True,0,,1.2,1.44,False,False
27-06-2024 09:00,OYAKC,61.2,64.4,60.7,63.85,8160785.0,0.55,2.65,0.36,636.11,2.65,5215569.5,56.47,True,0,,57.35,ATH,False,False
27-06-2024 09:00,IHEVA,3.6,4.0,3.6,4.0,23429972.0,0.0,0.4,0.05,769.57,0.4,11102093.8,111.04,True,0,,ATL,4.84,False,False
26-06-2024 09:00,DOGUB,28.04,30.84,28.04,30.84,3308628.0,0.0,2.8,0.78,259.9,2.8,2044658.3,61.82,True,0,,ATL,ATH,False,False
26-06-2024 09:00,CATES,46.44,50.8,46.44,50.8,8091235.0,0.0,4.36,0.41,968.63,4.36,2679516.7,201.97,True,0,,44.02,ATH,False,False
25-06-2024 09:00,MERIT,215.7,237.2,215.6,232.5,1213956.0,4.7,16.8,0.87,1831.03,16.8,649556.1,86.89,True,0,,ATL,ATH,False,False
24-06-2024 09:00,TOASO,317.75,343.25,317.75,339.5,6620892.0,3.75,21.75,2.15,911.63,21.75,3420138.4,93.59,True,0,,290.25,ATH,False,False
24-06-2024 09:00,AKCNS,141.5,146.3,139.5,145.5,1135340.0,0.8,4.0,0.8,400.0,4.0,568034.0,99.87,True,0,,128.0,ATH,False,False
24-06-2024 09:00,CRDFA,7.89,8.66,7.8,8.66,13821704.0,0.0,0.77,0.09,727.96,0.77,8023943.1,72.26,True,0,,7.44,ATH,False,False
24-06-2024 09:00,MIATK,62.0,68.2,60.8,66.9,59360998.0,1.3,4.9,0.11,4354.54,4.9,26103855.2,127.4,True,0,,47.18,ATH,False,False
24-06-2024 09:00,KERVT,16.8,17.95,16.33,17.63,11623494.0,0.32,0.83,0.2,310.89,0.83,5491129.2,111.68,True,0,,12.9,ATH,False,False
24-06-2024 09:00,OYAYO,35.94,39.52,35.94,39.52,570409.0,0.0,3.58,0.42,760.58,3.58,200377.6,184.67,True,0,,33.0,ATH,False,False
21-06-2024 09:00,MAKIM,32.4,35.64,31.96,35.64,2102364.0,0.0,3.24,0.78,317.53,3.24,1176422.3,78.71,True,0,,26.3,ATH,False,False
21-06-2024 09:00,TABGD,186.2,195.1,185.4,195.1,2811506.0,0.0,8.9,0.99,798.98,8.9,1603342.7,75.35,True,0,,165.4,ATH,False,False
21-06-2024 09:00,SKTAS,5.62,5.99,5.62,5.96,5394550.0,0.03,0.34,0.07,392.75,0.34,1946663.5,177.12,True,0,,5.05,ATH,False,False
21-06-2024 09:00,ASTOR,95.2,104.5,94.3,103.0,33570210.0,1.5,7.8,0.32,2376.19,7.8,14575085.3,130.33,True,0,,90.8,ATH,False,False
21-06-2024 09:00,SUNTK,18.21,19.3,17.54,19.0,1142607.0,0.3,0.79,0.01,9774.89,0.79,576942.1,98.05,True,0,,16.69,21.82,False,False
20-06-2024 09:00,PKART,108.9,119.0,108.9,118.1,93242.0,0.9,9.2,2.06,346.6,9.2,59242.3,57.39,True,0,,ATL,ATH,False,False
20-06-2024 09:00,DOKTA,30.2,32.88,30.2,32.7,1228569.0,0.18,2.5,0.12,2055.17,2.5,598048.1,105.43,True,0,,28.76,ATH,False,False
20-06-2024 09:00,IZENR,22.96,24.66,22.76,24.4,6311459.0,0.26,1.44,0.04,3499.98,1.44,3009325.4,109.73,True,0,,21.5,ATH,False,False
14-06-2024 09:00,GLYHO,14.63,16.06,14.45,16.06,26469794.0,0.0,1.43,0.18,681.42,1.43,8103660.2,226.64,True,0,,13.41,ATH,False,False
14-06-2024 09:00,EDIP,23.76,25.64,23.24,25.64,2451970.0,0.0,1.88,0.02,7733.39,1.88,1008090.7,143.23,True,0,,23.18,ATH,False,False
14-06-2024 09:00,KLKIM,25.46,26.92,24.8,26.78,4854470.0,0.14,1.32,0.1,1194.12,1.32,1959775.7,147.71,True,0,,23.04,ATH,False,False
13-06-2024 09:00,MGROS,498.0,528.5,497.25,523.5,4000623.0,5.0,25.5,1.72,1378.26,25.5,1915139.8,108.89,True,0,,ATL,ATH,False,False
12-06-2024 09:00,AKFYE,26.0,27.14,26.0,26.94,17949983.0,0.2,0.94,0.05,1858.34,0.94,7418051.4,141.98,True,0,,25.24,ATH,False,False
12-06-2024 09:00,PGSUS,209.6,229.0,208.0,226.0,22744238.0,3.0,16.4,1.22,1244.26,16.4,10004943.2,127.33,True,0,,198.1,ATH,False,False
12-06-2024 09:00,MACKO,79.0,86.8,79.0,84.7,835791.0,2.1,5.7,0.66,757.14,5.7,488886.2,70.96,True,0,,ATL,ATH,False,False
06-06-2024 09:00,ULKER,151.1,162.1,150.1,160.9,13839747.0,1.2,9.8,2.21,343.44,9.8,8418404.1,64.4,True,0,,ATL,ATH,False,False
05-06-2024 09:00,TEKTU,4.6,5.09,4.55,5.09,23762801.0,0.0,0.49,0.06,677.78,0.49,15437439.3,53.93,True,0,,4.05,ATH,False,False
04-06-2024 09:00,ANHYT,97.1,106.4,97.1,106.2,3937519.0,0.2,9.1,2.74,232.12,9.1,2164247.6,81.93,True,0,,ATL,ATH,False,False
03-06-2024 09:00,TURSG,17.89,18.86,17.54,18.7,22769897.33,0.16,0.81,0.07,993.75,0.81,14307891.78,59.14,True,0,,16.3,ATH,False,False
03-06-2024 09:00,MAGEN,24.34,26.76,24.14,26.76,7793658.0,0.0,2.42,0.15,1535.14,2.42,3799722.2,105.11,True,0,,23.32,ATH,False,False
31-05-2024 09:00,AYCES,601.0,660.5,600.5,660.5,202202.0,0.0,59.5,0.75,7833.33,59.5,76378.3,164.74,True,0,,580.0,ATH,False,False
30-05-2024 09:00,DOFER,48.18,52.8,48.14,52.25,9530786.0,0.55,4.07,0.92,343.84,4.07,2961573.5,221.81,True,0,,ATL,ATH,False,False
29-05-2024 09:00,KRVGD,3.47,3.67,3.47,3.63,51025465.62,0.04,0.16,0.05,231.8,0.16,22402090.92,127.77,True,0,,ATL,ATH,False,False
28-05-2024 09:00,BMSCH,25.36,27.84,24.22,27.84,4698671.0,0.0,2.48,0.38,556.08,2.48,1854634.5,153.35,True,0,,ATL,ATH,False,False
27-05-2024 09:00,AKYHO,4.96,5.3,4.96,5.2,35387391.48,0.09,0.25,0.05,382.76,0.25,19747773.37,79.2,True,0,,ATL,ATH,False,False
