Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
19-01-2024 17:00,7992.74,7997.58,7971.97,7974.14,59782724.0,XU100,7763.76,8026.98,7906.7,7606.68,+_03-01-2024 17:00:00,2.71,-,4.83,-,8009.24,8019.3,61.47,-22.42,83.89,53.29,61.01,-,-,-0.24,-92.1,592232671.67,-,35.1,0.44,45.16,0.56,7628.73,8081.69,7628.73,7986.47,14261144762.0,344.03,-136.98,481.0,61.32,62.27,7778.25,7796.41,18.16,7882.79,4.69,54.34,11028344163.0,+,-,+,-,195.89,2.52,+,-,True,-0.23,+,H_Tk:H_Wma15:H_Wma9,2.49,-,,,,,,,,-_18-01-2024 17:00:00,-,,,,
19-01-2024 17:00,28.4,28.46,28.36,28.38,48140.0,A1CAP,31.2,29.02,28.2,27.01,+_02-01-2024 09:00:00,-9.03,-,5.07,-,28.61,28.69,0.25,-0.12,0.36,50.92,57.93,-,-,-0.07,-88.6,284311.0,-,0.23,0.8,0.31,1.07,27.22,29.0,26.5,28.5,6354500.0,-2.92,,,38.68,42.79,28.78,30.79,2.01,35.34,5.17,46.44,5413365.0,+,-,-,-,-0.4,-1.38,-,+,False,-6.53,-,H_Tk:H_Wma15:H_Wma9,-1.1,+,,,,,,,,-_18-01-2024 13:00:00,-,,,,-
19-01-2024 17:00,117.1,117.1,116.8,116.8,2190.0,ACSEL,119.46,117.4,118.5,112.38,-_12-01-2024 09:00:00,-2.22,-,3.94,-,116.89,116.92,-0.47,-0.1,-0.38,47.07,46.99,-,-,-0.17,-93.58,36588.0,-,0.09,0.08,0.12,0.1,129.4,135.0,113.0,117.2,1863164.0,12.9,-5.59,18.49,53.83,72.7,122.46,125.34,2.88,125.78,-9.43,-35.36,2581303.0,-,-,+,-,-5.66,-4.62,-,-,False,-2.3,-,H_Tk:H_Wma15:H_Wma9,-4.38,-,,,,,,-,-,-_19-01-2024 17:00:00,-,,,,-
19-01-2024 17:00,357.0,358.5,356.0,356.5,4001.0,ADEL,407.53,354.62,372.38,364.62,-_17-01-2024 13:00:00,-12.52,-,-2.23,-,353.91,356.39,-2.42,-1.78,-0.64,46.34,46.15,-,-,-0.21,-96.86,81784.33,-,2.59,0.73,0.11,0.03,360.5,404.0,340.0,380.25,2830165.0,15.08,-32.98,48.05,47.77,52.51,387.27,411.66,24.4,529.62,5.62,24.45,2057586.33,+,-,-,-,-30.77,-7.94,-,-,False,-5.93,-,H_Tk:H_Wma15:H_Wma9,-7.43,-,,,,,,,,+_19-01-2024 09:00:00,+,,,,-
19-01-2024 17:00,2.31,2.31,2.29,2.31,1434990.0,ADESE,2.02,2.34,2.2,1.86,+_28-12-2023 17:00:00,14.31,-,24.19,-,2.32,2.33,0.08,-0.01,0.09,62.16,72.18,-,-,0.0,-91.43,15890064.0,-,0.01,0.47,0.02,0.78,2.04,2.1,1.97,2.06,276185992.0,0.07,-0.04,0.11,55.99,54.02,1.95,1.97,0.03,2.18,3.52,59.36,191661696.67,+,-,+,-,0.36,18.56,+,-,False,-1.28,-,H_Tk:H_Wma15:H_Wma9,17.53,-,,,,,,,,-_18-01-2024 13:00:00,-,-,,,
19-01-2024 17:00,32.12,32.16,31.88,31.98,107375.0,ADGYO,31.15,30.62,29.48,28.64,+_18-01-2024 09:00:00,2.66,-,11.66,-,31.32,30.75,0.62,0.26,0.36,69.48,57.48,+,+,-0.56,-93.16,998915.33,-,0.66,2.11,1.23,4.0,29.24,32.0,28.86,29.12,11805629.0,,,,40.8,,30.61,32.32,1.71,,-0.41,-3.46,11533016.67,-,-,-,-,1.37,4.48,+,-,True,-5.3,-,H_Wma15:H_Wma9:H_Tk,4.15,-,Arasinda,,,,,,,+_18-01-2024 09:00:00,+,,,,
19-01-2024 17:00,134.7,134.7,133.5,133.5,87872.0,AEFES,120.25,132.85,129.05,126.6,+_15-01-2024 17:00:00,11.02,-,5.45,-,133.48,133.26,0.96,0.12,0.84,54.61,55.4,+,-,-0.96,-80.98,319376.33,-,0.02,0.01,0.24,0.18,132.0,135.9,122.2,133.1,15951342.0,13.22,1.25,11.97,66.97,63.78,127.91,122.46,5.44,116.7,1.29,62.85,13940265.0,-,+,+,+,5.59,4.37,+,-,True,4.45,-,H_Wma9:H_Wma15:H_Tk,4.37,-,,,,,,,,+_18-01-2024 13:00:00,+,,,,
19-01-2024 17:00,11.63,11.64,11.6,11.6,93790.0,AFYON,12.15,11.58,11.55,11.16,+_12-01-2024 13:00:00,-4.52,-,3.9,-,11.58,11.58,0.04,-0.02,0.05,52.39,52.88,-,-,-0.26,-96.57,1564553.0,-,0.02,0.21,0.02,0.15,11.47,11.96,11.15,11.63,22364090.0,0.4,-0.6,1.0,48.19,53.52,11.77,12.29,0.53,14.17,1.57,54.29,18720711.67,+,-,-,-,-0.17,-1.41,-,+,False,-4.27,-,H_Tk:H_Wma15:H_Wma9,-1.07,+,,,,,,,,+_19-01-2024 13:00:00,+,,,,-
19-01-2024 17:00,55.0,55.0,54.65,54.9,9064.0,AGESA,56.25,54.48,55.12,56.47,-_18-01-2024 13:00:00,-2.4,-,-2.79,-,55.07,55.26,-0.0,-0.06,0.06,47.97,51.48,-,-,0.27,-92.59,84347.33,-,0.17,0.31,0.36,0.65,53.55,55.45,52.65,55.0,3111613.0,3.42,-2.16,5.58,51.45,57.23,55.69,56.74,1.05,64.25,2.71,66.71,2363133.33,+,-,+,-,-0.79,-1.42,-,+,True,-1.84,-,H_Tk:H_Wma15:H_Wma9,-1.24,+,,,,,,,,-_18-01-2024 17:00:00,-,,,,-
19-01-2024 17:00,222.8,222.8,222.3,222.5,7809.0,AGHOL,204.97,223.4,219.05,200.0,+_29-12-2023 13:00:00,8.55,-,11.25,-,222.82,222.32,3.06,-0.37,3.43,57.78,61.62,-,-,-0.04,-95.08,128690.0,-,0.32,0.14,0.18,0.08,214.4,221.9,209.0,217.2,3244283.0,18.09,-5.65,23.74,61.49,60.12,206.02,207.0,0.99,221.2,1.59,9.02,2891389.0,+,-,+,-,16.48,8.0,+,-,True,-0.48,+,H_Tk:H_Wma15:H_Wma9,7.9,-,,,,,,,,-_19-01-2024 09:00:00,+,,,,
