Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc
25-01-2024 13:00,IHEVA,2.35,2.49,2.34,2.48,12889167.0,0.01,0.13,0.01,1081.82,0.13,3560069.0,262.05,True,0,,2.17,2.74
25-01-2024 13:00,SAFKR,41.62,44.7,41.58,44.5,1077373.0,0.2,2.88,0.37,674.19,2.88,656936.3,64.0,True,0,,32.22,ATH
25-01-2024 13:00,KLRHO,36.34,39.4,36.3,39.08,1224065.0,0.32,2.74,0.36,656.91,2.74,345788.4,253.99,True,0,,31.18,ATH
25-01-2024 13:00,BRKSN,33.3,35.88,33.04,35.46,1802809.0,0.42,2.16,0.12,1641.94,2.16,704338.3,155.96,True,0,,18.88,36.0
25-01-2024 13:00,ARDYZ,36.82,39.4,36.46,38.82,7228708.0,0.58,2.0,0.38,431.91,2.0,3311141.7,118.31,True,0,,30.56,ATH
25-01-2024 13:00,IDEAS,149.5,162.0,149.2,162.0,616431.0,0.0,12.5,0.86,1353.49,12.5,190551.8,223.5,True,0,,140.7,163.5
25-01-2024 13:00,ALGYO,39.36,40.4,39.24,40.36,1492432.0,0.04,1.0,0.06,1685.71,1.0,515798.1,189.34,True,0,,38.0,ATH
25-01-2024 13:00,ESCOM,47.58,50.0,47.36,49.62,637629.0,0.38,2.04,0.26,672.73,2.04,210092.6,203.5,True,0,,40.68,50.5
25-01-2024 13:00,KARSN,9.15,9.34,9.08,9.3,12720312.0,0.04,0.15,0.0,3650.0,0.15,5438735.0,133.88,True,0,,8.83,ATH
25-01-2024 13:00,DZGYO,4.49,4.64,4.47,4.63,2975921.0,0.01,0.14,0.02,460.0,0.14,1551481.8,91.81,True,0,,3.87,ATH
25-01-2024 13:00,MARBL,18.5,19.99,18.43,19.75,13557530.0,0.24,1.25,0.24,418.67,1.25,5724929.3,136.82,True,0,,13.0,ATH
25-01-2024 13:00,MERKO,9.81,10.15,9.76,10.11,1565553.0,0.04,0.3,0.06,361.54,0.3,737698.3,112.22,True,0,,9.25,ATH
25-01-2024 13:00,BVSAN,95.2,103.9,93.9,102.5,1329427.0,1.4,7.3,1.18,518.64,7.3,515983.7,157.65,True,0,,86.5,ATH
25-01-2024 13:00,IZENR,30.78,31.5,30.54,31.46,5576897.0,0.04,0.68,0.03,2025.0,0.68,2639507.9,111.29,True,0,,25.58,33.14
25-01-2024 13:00,TATEN,38.24,39.78,37.98,39.76,5724840.0,0.02,1.52,0.05,2940.0,1.52,3014955.0,89.88,True,0,,29.28,41.48
25-01-2024 13:00,ACSEL,119.6,124.8,119.5,123.5,311155.0,1.3,3.9,0.39,900.0,3.9,119331.8,160.75,True,0,,115.6,135.0
25-01-2024 13:00,AKSEN,33.66,34.92,33.5,34.84,5130859.0,0.08,1.18,0.11,935.09,1.18,2043050.5,151.14,True,0,,28.84,ATH
25-01-2024 09:00,KRPLS,7.88,8.1,7.88,8.05,1103753.0,0.05,0.17,0.02,794.74,0.17,687819.7,60.47,True,0,,7.16,ATH
25-01-2024 09:00,CIMSA,30.74,31.64,30.62,31.62,6914064.0,0.02,0.88,0.02,4300.0,0.88,4119664.0,67.83,True,0,,28.5,31.74
25-01-2024 09:00,KRONT,15.7,16.32,15.69,16.31,853736.0,0.01,0.61,0.11,475.47,0.61,513280.0,66.33,True,0,,13.88,ATH
25-01-2024 09:00,ARENA,37.38,40.8,37.38,40.66,2313115.0,0.14,3.28,0.38,758.64,3.28,595712.3,288.29,True,0,,30.6,ATH
25-01-2024 09:00,KRDMB,19.6,20.14,19.6,20.08,1352447.0,0.06,0.48,0.04,1163.16,0.48,524315.5,157.95,True,0,,18.73,20.5
25-01-2024 09:00,TKNSA,36.56,39.0,36.56,38.32,3488582.0,0.68,1.76,0.27,556.72,1.76,1275700.5,173.46,True,0,,29.0,ATH
25-01-2024 09:00,INVEO,45.28,47.26,45.28,46.98,877026.0,0.28,1.7,0.13,1249.21,1.7,371503.4,136.07,True,0,,44.72,47.3
25-01-2024 09:00,IPEKE,34.98,35.9,34.78,35.74,2747030.0,0.16,0.76,0.05,1420.0,0.76,1792907.9,53.22,True,0,,33.26,ATH
25-01-2024 09:00,ISDMR,34.6,35.44,34.58,35.3,1667552.0,0.14,0.7,0.03,1958.82,0.7,608254.7,174.15,True,0,,34.96,35.84
25-01-2024 09:00,EDATA,19.08,20.18,19.0,20.02,2478067.0,0.16,0.94,0.13,617.56,0.94,1484994.2,66.87,True,0,,18.41,ATH
25-01-2024 09:00,BERA,11.8,12.26,11.78,12.24,7294013.0,0.02,0.44,0.03,1194.12,0.44,3015966.4,141.85,True,0,,11.12,12.5
25-01-2024 09:00,TTRAK,718.0,733.5,718.0,730.5,273598.0,3.0,12.5,1.0,1150.0,12.5,143665.2,90.44,True,0,,701.0,748.0
25-01-2024 09:00,NIBAS,17.91,19.0,17.88,18.72,1841796.0,0.28,0.81,0.11,664.15,0.81,409570.3,349.69,True,0,,17.2,18.85
25-01-2024 09:00,SMART,31.78,34.94,31.56,34.94,6715654.0,0.0,3.16,0.11,2671.93,3.16,1702077.3,294.56,True,0,,32.2,39.2
