Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
SKYMD,19-04-2024,11.33,7.5,91.23,10.87,10.81,10.84,10.96,10.91,10.81,10.79,10.73,10.49,11.04,5175211.33,53.15,+,+,+,+,+,,+,+_19-04-2024 09:00:00,-_19-04-2024 09:00:00,+,,+,+,+,,,+,,+,+,,+,14,0
MZHLD,19-04-2024,8.53,5.7,691.45,8.27,8.22,8.2,8.25,8.29,8.21,8.25,8.16,8.48,8.36,2227463.67,55.13,+,+,+,,+,+,+,+_19-04-2024 09:00:00,+_19-04-2024 09:00:00,,,+,+,,-,+,+,+,+,,,+,13,1
IZINV,19-04-2024,59.5,9.98,126.18,56.79,56.55,56.35,55.71,56.97,56.51,56.53,56.18,40.36,57.42,619668.67,56.64,+,+,+,+,+,,+,+_19-04-2024 09:00:00,+_15-01-2024 09:00:00,+,,+,+,,-,,+,,,,+,,11,1
BAGFS,19-04-2024,24.8,9.93,346.75,23.4,23.24,23.36,23.87,23.53,23.24,23.17,23.0,29.13,24.0,2275932.0,52.79,+,+,+,+,+,,+,+_19-04-2024 09:00:00,-_27-02-2024 09:00:00,+,,+,,,-,,+,+,,,,+,11,1
SMART,19-04-2024,45.0,9.97,185.32,43.16,43.22,43.77,44.87,43.22,43.29,43.11,43.08,32.31,43.2,2330115.67,49.12,+,+,+,,,,,-_16-04-2024 09:00:00,-_15-03-2024 09:00:00,+,,+,+,,-,,+,+,,+,,+,10,1
YYAPI,19-04-2024,3.7,6.32,248.47,3.55,3.53,3.53,3.54,3.56,3.53,3.53,3.51,3.28,3.63,15914539.67,56.71,,+,+,+,+,+,+,+_19-04-2024 09:00:00,+_19-04-2024 09:00:00,,,,+,+,-,,+,+,,,,,10,1
MEGAP,19-04-2024,4.84,3.86,13.44,4.77,4.76,4.76,4.77,4.77,4.76,4.78,4.74,4.59,4.76,6767496.67,51.66,+,+,+,+,+,,+,+_19-04-2024 09:00:00,-_17-04-2024 09:00:00,,,+,+,,-,,+,,,,+,,10,1
ESEN,19-04-2024,19.96,8.18,146.37,19.07,18.94,18.95,19.15,19.15,18.93,18.94,18.71,19.15,19.51,3158046.33,55.26,+,+,+,+,+,,+,+_19-04-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,-,+,+,,,,,,10,1
KARSN,19-04-2024,11.02,9.98,-4.49,10.42,10.32,10.26,10.27,10.47,10.3,10.35,10.2,9.85,10.86,16731270.0,59.97,+,+,+,+,+,+,+,+_19-04-2024 09:00:00,+_19-04-2024 09:00:00,,,+,+,,-,,,,+,,,,10,1
KERVT,19-04-2024,12.52,2.04,-8.47,12.45,12.44,12.47,12.54,12.45,12.44,12.49,12.35,11.49,12.38,1927345.67,49.4,+,+,+,+,,,+,+_19-04-2024 09:00:00,-_26-03-2024 09:00:00,,,+,+,,-,,,,,+,,+,9,1
