Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
21-03-2024 13:00,291.5,294.0,290.5,293.0,39861.0,JANTS,182.27,265.38,249.42,197.85,+_11-03-2024 09:00:00,60.75,-,48.09,-,278.06,266.95,18.1,3.03,15.06,74.67,64.58,+,+,0.43,-98.58,953152.67,-,14.94,5.37,26.05,9.76,197.0,278.5,193.1,248.0,14955017.0,20.46,8.27,12.19,78.07,60.29,193.16,175.84,17.32,200.25,29.84,99.75,10068052.67,+,+,+,-,,+_12-02-2024 09:00:00,99.84,51.69,+,-,False,9.85,-,H_Tk:H_Wma9:H_Wma15,50.39,-,,,,,,,,+_19-03-2024 13:00:00,+,,,
21-03-2024 13:00,178.2,178.8,173.0,173.3,5526.0,KAPLM,129.9,164.5,167.25,145.1,-_18-03-2024 09:00:00,33.41,-,19.43,-,167.43,164.56,1.64,0.86,0.78,57.44,49.29,+,+,-2.37,-96.05,49109.0,-,5.87,3.5,8.74,5.31,159.7,187.5,150.0,165.0,786086.0,12.38,7.02,5.36,74.34,53.48,138.03,123.74,14.3,131.3,5.97,-57.6,1813716.33,-,+,+,-,,+_19-02-2024 09:00:00,35.27,25.55,+,-,True,11.55,-,H_Wma9:H_Tk:H_Wma15,25.33,-,,,,,,,,+_20-03-2024 09:00:00,+,,,
21-03-2024 13:00,15.6,15.64,15.6,15.64,4159.0,KAREL,14.98,15.44,15.92,16.86,-_04-03-2024 17:00:00,4.41,-,-7.21,-,15.48,15.44,-0.13,0.06,-0.19,50.43,43.82,+,+,0.26,-99.65,501487.0,-,0.16,1.06,0.2,1.28,16.8,16.99,15.18,15.6,11621877.0,1.02,0.21,0.81,57.11,54.53,16.07,15.11,0.96,14.81,-6.19,-48.18,26490861.33,-,+,+,+,,+_12-02-2024 09:00:00,-0.43,-2.66,-,-,True,6.34,-,H_Wma9:H_Wma15:H_Tk,-2.66,-,Arasinda,AsagiDondu,,,,,,+_21-03-2024 09:00:00,+,,,+
21-03-2024 13:00,10.71,10.72,10.69,10.7,462764.0,KARSN,10.17,11.08,11.52,10.58,-_20-03-2024 13:00:00,5.23,-,1.13,+,10.87,11.04,-0.08,-0.14,0.05,38.45,49.3,-,-,-0.09,-95.77,5438592.67,-,0.17,1.6,0.34,3.11,11.31,12.36,10.77,11.63,333587272.0,0.25,0.24,0.01,67.53,48.39,10.6,10.12,0.49,10.14,4.68,7.7,248482513.0,+,+,+,-,,+_12-02-2024 09:00:00,0.1,0.9,+,+,True,4.84,-,H_Wma9:H_Tk:H_Wma15,0.8,+,,,,,,,,-_15-03-2024 17:00:00,-,,,
21-03-2024 13:00,137.3,137.4,136.6,137.1,10269.0,KARTN,103.19,136.3,139.2,122.12,-_15-03-2024 09:00:00,32.86,-,12.26,-,139.18,135.8,2.02,0.79,1.23,53.49,50.88,+,+,-0.15,-98.38,291022.33,-,2.08,1.49,1.3,0.96,157.8,157.8,124.7,125.5,8454066.0,11.73,6.38,5.35,67.71,56.6,112.33,100.16,12.17,113.45,-15.83,-20.72,10894789.33,-,+,+,-,,+_19-02-2024 09:00:00,24.77,22.05,+,-,True,12.15,-,H_Tk:H_Wma9:H_Wma15,21.61,-,,,,,,,,-_21-03-2024 09:00:00,+,,,
21-03-2024 13:00,42.84,43.36,42.82,43.12,33480.0,KARYE,45.17,44.76,49.76,64.38,-_11-03-2024 09:00:00,-4.54,-,-33.02,-,43.57,44.59,-3.11,-0.23,-2.89,30.0,33.55,-,-,0.51,-96.41,406933.33,-,0.45,1.03,1.47,3.31,54.9,56.95,47.04,49.9,11850693.0,7.96,2.35,5.6,61.64,60.93,52.43,45.64,6.78,49.2,-9.11,23.02,10285168.0,+,+,+,-,,+_29-01-2024 09:00:00,-9.31,-17.75,-,-,True,14.86,-,H_Wma9:H_Tk:H_Wma15,-17.29,-,,,,,,,,-_15-03-2024 09:00:00,-,,,-
21-03-2024 13:00,2.26,2.27,2.25,2.27,404903.0,KATMR,2.37,2.28,2.38,2.62,-_22-02-2024 13:00:00,-4.37,-,-13.19,-,2.26,2.27,-0.05,0.0,-0.06,39.54,36.06,+,-,0.44,-99.09,16411458.0,-,0.01,0.47,0.0,0.15,2.54,2.56,2.31,2.32,209936980.0,0.14,-0.0,0.14,52.1,55.15,2.49,2.39,0.11,2.26,-7.2,-21.39,286340569.0,-,-,+,+,,+_12-02-2024 09:00:00,-0.22,-8.92,-,-,True,4.48,-,H_Wma9:H_Wma15:H_Tk,-8.92,-,,,,,,,+,+_21-03-2024 09:00:00,+,,,
21-03-2024 13:00,31.72,31.76,31.7,31.74,20210.0,KAYSE,35.07,31.59,32.99,35.64,-_15-02-2024 09:00:00,-9.49,-,-10.94,-,31.53,31.53,-0.53,0.14,-0.67,43.69,39.38,+,-,0.06,-98.97,1016345.0,-,0.21,0.66,0.21,0.65,35.0,35.06,31.24,32.46,36415167.0,0.68,-0.93,1.61,43.29,50.22,35.31,35.25,0.05,37.45,-5.69,1.12,39637074.67,-,-,-,-,,+_26-02-2024 09:00:00,-3.57,-10.1,-,-,True,0.15,+,H_Tk:H_Wma9:H_Wma15,-10.05,-,,,,,,,,+_20-03-2024 09:00:00,+,,,-
21-03-2024 13:00,51.6,51.65,51.5,51.65,143620.0,KCAER,44.45,52.48,53.28,54.62,-_20-03-2024 09:00:00,16.19,-,-5.43,-,52.86,53.05,-0.42,-0.11,-0.3,40.68,47.12,-,-,0.1,-98.65,4307530.67,-,1.21,2.29,1.4,2.64,55.55,56.45,52.1,55.0,71913814.0,7.61,2.05,5.57,80.71,69.18,50.04,44.83,5.22,46.86,0.92,-19.77,116899103.33,-,+,+,-,,+_26-06-2023 09:00:00,1.61,3.21,+,-,False,11.64,-,H_Wma9:H_Tk:H_Wma15,2.91,-,,,,,,,,-_21-03-2024 09:00:00,-,,,
21-03-2024 13:00,191.0,191.4,191.0,191.1,110115.0,KCHOL,165.08,182.8,181.5,170.45,+_20-03-2024 13:00:00,15.76,-,12.11,-,186.3,183.34,3.5,1.29,2.22,75.58,60.28,+,+,0.0,-98.24,4011886.0,-,4.8,2.58,7.75,4.23,178.0,184.7,176.0,178.7,80834159.0,13.12,0.74,12.38,70.33,66.86,172.08,166.19,5.89,159.45,2.35,16.82,71782177.33,+,+,+,+,,+_02-01-2024 09:00:00,19.02,11.05,+,-,False,3.54,-,H_Wma9:H_Wma15:H_Tk,11.0,-,,,,,,,,+_19-03-2024 09:00:00,+,,,
