Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
AGROT,20-03-2024,33.12,5.01,-7.54,32.23,32.39,32.94,32.26,32.49,32.16,32.27,24.15,32.71,32094678.33,50.25,+,+,+,,,,,,+,+,,,,+,,+,,+,+,9,0
ACSEL,20-03-2024,169.2,3.8,-62.69,165.67,166.49,166.71,165.52,166.68,165.82,168.0,118.21,168.07,300146.67,55.57,+,+,+,,,,,,+,+,,+,,,,+,,,,7,0
XU100,20-03-2024,8946.88,0.19,-48.53,8902.1,8918.81,8949.24,8901.03,8925.68,8903.21,8930.72,7570.27,8949.63,1876015325.33,50.72,,,,,,,,,,,,-,,-,,+,,+,+,3,2
ADEL,20-03-2024,764.5,3.1,-39.92,721.54,697.23,666.47,730.78,690.21,707.61,673.42,408.52,766.33,583995.67,79.74,,,,,,,,,,,,+,,-,,,,,,1,1
AFYON,20-03-2024,11.94,-0.08,-45.08,12.04,12.18,12.37,12.0,12.22,12.1,12.3,11.67,11.97,2932125.0,38.77,,,,,,,,,,,,-,,-,-,+,,,,1,3
AGESA,20-03-2024,71.6,-3.5,-38.47,72.89,72.45,71.18,72.86,72.22,73.42,72.19,53.55,72.37,535425.33,59.14,-,-,,,,,,,-,-,,+,,-,-,,,,,1,6
A1CAP,20-03-2024,30.38,-0.98,-47.8,30.89,31.28,31.66,30.74,31.38,31.12,31.79,33.94,30.53,1385396.33,42.81,,,,,,,,,,,,,,-,-,,,,,0,2
ADESE,20-03-2024,2.59,-1.52,-36.75,2.67,2.72,2.77,2.65,2.73,2.7,2.78,2.14,2.6,43588093.0,37.61,,,,,,,,,,,,-,,,-,,,,,0,2
AEFES,20-03-2024,139.9,-0.43,5.55,140.67,141.97,143.81,140.25,142.38,141.6,143.1,114.88,140.9,1400685.33,42.73,,,,,,,,,-,,,-,,-,-,,,,,0,4
AGHOL,20-03-2024,251.0,0.76,-69.32,254.85,257.82,259.53,253.38,258.4,258.97,261.26,196.52,251.53,623843.0,45.66,,,,,,,,,,,,-,,-,,,,,,0,2
AGYO,20-03-2024,9.23,0.44,-52.67,9.35,9.49,9.63,9.3,9.53,9.45,9.65,7.86,9.21,1513462.0,43.4,,,,,,,,,,,,-,,,,,,,,0,1
