Hisse,Tarih,close,%Deg,%Vol,rsi_uyumsuzluk,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
ANELE,03-05-2024,23.38,9.97,118.32,,21.9,21.55,21.09,20.42,22.07,21.45,21.58,21.35,12.74,23.38,1840917.0,68.48,,,,,,,,+_08-04-2024 09:00:00,+_28-12-2023 09:00:00,,,,+,,+,,,,+,+,+,,5,0
ADEL,03-05-2024,734.0,-1.48,-54.62,,740.73,734.97,724.24,708.51,741.74,732.79,739.73,730.51,476.83,741.5,692607.33,55.53,-,-,,,,,,+_08-04-2024 09:00:00,+_05-04-2024 09:00:00,,,,,,+,,,-,,,,,1,3
ATATP,03-05-2024,145.5,0.9,-2.02,,147.03,146.57,143.07,137.84,146.62,146.01,149.32,147.79,93.82,147.67,819096.0,58.3,,,,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,,,,,,+,,,,,,,,1,0
BJKAS,03-05-2024,38.56,-9.99,11.58,,48.28,54.03,59.25,62.61,45.86,55.43,52.48,61.15,48.21,38.56,391420.67,27.26,,,,,,,,-_25-04-2024 09:00:00,-_26-04-2024 09:00:00,,,,,,-,,,-,,,,,0,2
BRLSM,03-05-2024,23.54,1.47,-64.16,,24.7,25.35,25.89,26.34,24.38,25.5,25.42,26.07,24.76,23.56,9413182.0,34.14,,,,,,,,-_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,,,,,-,,,,,,,,0,1
