Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
05-08-2024 09:00,ERSU,18.15,29.32,17.08,29.32,55272821.0,0.0,11.17,0.54,1972.36,11.17,11937080.5,363.03,True,56.14,2024-08-05,60.92,0,,16.55,52.0,False,False
05-08-2024 09:00,DGATE,33.92,44.48,33.06,43.5,7299397.0,0.98,9.58,0.51,1778.43,9.58,2952675.5,147.21,True,60.35,2024-08-05,18.53,0,,32.82,58.75,False,False
05-08-2024 09:00,GIPTA,34.84,41.42,33.12,41.4,22990497.0,0.02,6.56,0.57,1050.88,6.56,10031816.0,129.18,True,58.24,2024-08-05,15.51,0,,29.46,54.65,False,False
29-07-2024 09:00,IZINV,58.05,68.4,55.55,65.8,4222971.0,2.6,7.75,0.83,839.39,7.75,1728014.3,144.38,True,69.59,2024-07-29,13.35,0,,48.0,70.5,False,False
29-07-2024 09:00,SNKRN,50.05,70.1,50.05,70.1,784947.0,0.0,20.05,1.94,931.91,20.05,265447.4,195.71,True,74.06,2024-07-29,41.16,0,,38.12,ATH,False,False
29-07-2024 09:00,DITAS,20.28,27.5,19.27,25.7,16407116.0,1.8,5.42,0.79,582.62,5.42,7142299.2,129.72,True,69.21,2024-07-29,25.98,1,27.5,14.96,27.5,False,False
29-07-2024 09:00,ATSYH,61.0,87.55,59.9,87.0,1093553.0,0.55,26.0,3.5,643.71,26.0,321016.0,240.65,True,73.46,2024-07-29,34.05,0,,42.0,92.0,False,False
22-07-2024 09:00,KAREL,15.17,17.48,15.0,17.48,42651468.0,0.0,2.31,0.13,1623.88,2.31,25000372.8,70.6,True,60.45,2024-07-22,15.76,0,,13.09,18.43,False,False
22-07-2024 09:00,TATEN,29.4,34.2,28.92,33.7,23069153.0,0.5,4.3,0.01,35732.74,4.3,12078148.4,91.0,True,51.26,2024-07-22,16.21,0,,26.96,49.22,False,False
22-07-2024 09:00,CIMSA,34.0,36.78,33.74,36.74,66255708.0,0.04,2.74,0.16,1634.18,2.74,42347461.2,56.46,True,60.91,2024-07-22,8.51,0,,29.1,40.08,False,False
22-07-2024 09:00,SEKFK,11.02,12.94,10.79,12.94,39362478.0,0.0,1.92,0.05,3740.0,1.92,14466519.9,172.09,True,68.42,2024-07-22,17.42,1,12.94,7.81,12.96,False,False
16-07-2024 09:00,FORMT,3.17,3.88,3.1,3.8,260548103.0,0.08,0.63,0.08,668.29,0.63,137693272.2,89.22,True,66.24,2024-07-16,20.25,0,,2.43,4.33,False,False
16-07-2024 09:00,IEYHO,7.1,9.68,7.1,9.68,260648456.0,0.0,2.58,0.44,482.39,2.58,96354199.9,170.51,True,81.72,2024-07-16,36.92,0,,4.59,ATH,False,False
16-07-2024 09:00,ALTNY,73.9,97.85,73.3,95.5,89882982.0,2.35,21.6,6.03,257.97,21.6,50935383.2,76.46,True,,2024-07-16,29.23,0,,ATL,ATH,False,False
16-07-2024 09:00,EBEBK,46.5,52.45,45.84,51.8,9187739.0,0.65,5.3,0.24,2090.08,5.3,5750951.7,59.76,True,49.42,2024-07-16,11.4,1,52.45,40.6,52.45,False,False
16-07-2024 09:00,DIRIT,35.04,42.38,35.04,42.3,3036653.0,0.08,7.26,2.07,251.23,7.26,1283782.1,136.54,True,81.94,2024-07-16,32.77,0,,12.87,ATH,False,False
16-07-2024 09:00,EGGUB,41.82,57.45,41.3,57.45,15448008.0,0.0,15.63,0.65,2286.26,15.63,3286470.0,370.05,True,69.04,2024-07-16,37.44,0,,37.04,66.92,False,False
16-07-2024 09:00,TUKAS,7.91,8.64,7.91,8.62,159954848.0,0.02,0.71,0.05,1292.16,0.71,81478018.5,96.32,True,57.68,2024-07-16,9.81,0,,6.89,9.8,False,False
16-07-2024 09:00,AFYON,13.3,15.0,13.17,14.93,65002599.0,0.07,1.63,0.01,27066.67,1.63,28122198.4,131.14,True,60.71,2024-07-16,13.19,0,,11.6,15.6,False,False
08-07-2024 09:00,MANAS,6.93,8.13,6.77,7.82,93251314.82,0.31,0.89,0.24,264.63,0.89,42389768.09,119.99,True,75.87,2024-07-08,13.84,0,,4.52,ATH,False,False
08-07-2024 09:00,KOZAA,57.5,63.05,56.9,62.5,86835993.0,0.55,5.0,0.62,706.45,5.0,54940313.7,58.06,True,68.91,2024-07-08,9.84,0,,44.22,75.65,False,False
08-07-2024 09:00,LYDHO,102.7,119.9,101.1,119.9,5954168.0,0.0,17.2,2.24,669.57,17.2,3132469.0,90.08,True,70.36,2024-07-08,21.48,0,,73.0,120.0,False,False
08-07-2024 09:00,ULUSE,187.0,206.6,175.3,206.5,2170203.0,0.1,19.5,0.67,2810.44,19.5,664087.4,226.79,True,63.13,2024-07-08,10.37,0,,156.5,234.0,False,False
08-07-2024 09:00,ISSEN,12.0,13.17,11.46,13.02,34785842.0,0.15,1.02,0.08,1100.0,1.02,14951789.1,132.65,True,61.77,2024-07-08,10.43,0,,9.91,13.2,False,False
01-07-2024 09:00,KATMR,2.19,2.78,2.19,2.78,1074686775.0,0.0,0.59,0.03,2085.19,0.59,354060408.8,203.53,True,64.41,2024-07-01,28.7,0,,1.94,2.83,False,False
01-07-2024 09:00,AGHOL,368.25,405.75,359.0,403.75,5995605.0,2.0,35.5,7.28,387.97,35.5,3700383.8,62.03,True,79.71,2024-07-01,11.0,0,,182.4,ATH,False,False
01-07-2024 09:00,OYAKC,16.51,17.91,15.53,17.82,196298865.1,0.09,1.31,0.11,1086.05,1.31,129819193.48,51.21,True,61.16,2024-07-01,11.11,0,,13.91,18.95,False,False
01-07-2024 09:00,ADGYO,27.78,32.18,25.6,31.36,18911300.0,0.82,3.58,0.11,3096.43,3.58,11283378.4,67.6,True,51.89,2024-07-01,12.89,0,,25.2,41.48,True,True
