Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
BARMA,08-04-2024,21.34,17.25,43.51,19.66,19.65,19.64,19.56,19.72,19.65,19.6,19.82,17.59,20.7,6574197.33,56.02,+,+,+,+,+,+,+,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,+,,,+,,,,+,,12,0
SARKY,08-04-2024,33.26,7.01,-51.99,32.21,32.23,32.17,32.05,32.22,32.22,32.26,32.46,18.71,32.59,3495585.0,53.59,+,+,+,,+,+,+,+_08-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,+,-,,,,,,+,,10,1
SAFKR,08-04-2024,42.5,13.64,-64.74,39.87,39.87,39.28,37.44,39.92,39.81,39.71,40.67,16.57,40.91,3349523.33,62.47,+,+,+,+,+,,+,+_08-04-2024 09:00:00,+_26-06-2023 09:00:00,,,+,+,,+,,,,,,,,9,0
AKSEN,08-04-2024,38.0,6.03,-53.07,36.7,36.62,36.37,36.07,36.73,36.58,36.78,36.87,23.91,37.33,21667240.67,54.9,+,+,+,+,+,,+,+_08-04-2024 09:00:00,+_29-01-2024 09:00:00,-,,+,+,,-,,,,,,+,,9,2
KLNMA,08-04-2024,17.0,7.39,-46.98,16.46,16.37,16.3,16.05,16.49,16.35,16.49,16.19,8.89,16.9,1363301.67,53.54,+,+,+,+,+,,+,+_08-04-2024 09:00:00,+_12-02-2024 09:00:00,,,+,+,,-,,,,,,+,,9,1
PRZMA,08-04-2024,59.05,9.96,-54.17,56.88,56.54,55.42,53.23,56.91,56.35,57.32,56.75,20.99,57.55,3671597.33,57.77,+,+,+,+,,,+,+_08-04-2024 09:00:00,+_22-01-2024 09:00:00,,,+,+,,+,,+,,,,,,9,0
AKSUE,08-04-2024,14.27,7.21,-45.19,13.88,13.83,13.74,13.98,13.89,13.81,13.97,13.86,13.37,13.96,3254089.0,49.27,+,+,+,+,,,+,+_08-04-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,,-,+,+,,,,,,9,1
NUGYO,08-04-2024,7.18,5.9,-53.13,7.03,7.05,7.04,7.03,7.02,7.05,7.08,7.1,6.4,7.08,5723060.0,52.76,+,+,+,,,+,,-_18-03-2024 09:00:00,+_08-04-2024 09:00:00,-,+,+,,+,-,,,,,,+,+,9,2
ALFAS,08-04-2024,104.9,11.77,-71.16,98.91,99.01,99.87,100.79,99.16,99.14,98.2,99.81,78.26,101.33,18541993.0,52.65,+,+,+,,,,+,+_08-04-2024 09:00:00,-_11-03-2024 09:00:00,,,+,+,,,,+,,,,+,,8,0
YGGYO,08-04-2024,44.62,7.99,-81.47,43.84,43.67,43.05,42.07,43.82,43.56,44.24,43.69,25.54,43.49,1373516.67,57.21,+,+,+,,,,+,+_08-04-2024 09:00:00,+_22-01-2024 09:00:00,,,+,+,,+,,+,,,,,,8,0
