Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
29-11-2024 10:00,ULKER,111.6,115.3,111.4,114.5,3000333.0,0.8,2.9,0.34,752.94,2.9,613253.5,389.25,True,74.79,0,,110.2,ATH,False,False
29-11-2024 10:00,ASELS,70.0,71.65,69.75,71.45,12003735.0,0.2,1.45,0.23,517.02,1.45,3382801.8,254.85,True,78.37,0,,67.4,ATH,False,False
29-11-2024 10:00,YESIL,1.78,1.89,1.74,1.86,105681516.0,0.03,0.08,0.01,566.67,0.08,15537704.4,580.16,True,82.56,0,,1.56,ATH,False,False
29-11-2024 10:00,ASTOR,91.6,93.4,91.55,93.2,3078423.0,0.2,1.6,0.04,3455.56,1.6,1127019.1,173.15,True,38.92,0,,92.45,101.8,False,False
29-11-2024 10:00,ANSGR,88.9,90.4,88.05,90.05,1053991.0,0.35,1.15,0.03,3733.33,1.15,191810.9,449.49,True,66.44,0,,81.15,91.55,False,False
29-11-2024 10:00,PEKGY,4.39,4.74,4.37,4.74,39475833.0,0.0,0.35,0.04,775.0,0.35,6292379.5,527.36,True,90.88,0,,4.24,ATH,False,False
29-11-2024 10:00,MARTI,3.22,3.24,3.2,3.24,4633222.0,0.0,0.02,0.0,inf,0.02,1299660.1,256.49,True,54.99,0,,3.22,3.38,True,True
29-11-2024 10:00,TMSN,116.2,118.5,115.6,117.9,615562.0,0.6,1.7,0.46,269.57,1.7,179050.7,243.79,True,72.23,0,,113.0,ATH,False,False
29-11-2024 10:00,LMKDC,25.76,26.28,25.28,26.24,2235777.0,0.04,0.48,0.12,306.78,0.48,960604.9,132.75,True,68.45,0,,24.62,27.5,False,False
29-11-2024 10:00,HURGZ,4.11,4.12,4.08,4.12,329101.0,0.0,0.01,0.0,inf,0.01,179431.2,83.41,True,43.91,0,,4.08,4.26,False,False
29-11-2024 10:00,DURKN,14.12,14.98,13.93,14.76,4769619.0,0.22,0.64,0.05,1063.64,0.64,975302.6,389.04,True,66.22,0,,13.83,14.86,False,False
