Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
GSRAY,15-04-2024,9.44,37.01,1438.93,7.73,7.49,7.34,7.25,7.89,7.44,7.41,7.3,4.16,8.64,220023208.33,68.05,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,+,+,,+,,+,,,+,+,+,+,,14,0
SEYKM,15-04-2024,7.45,19.77,2161.18,6.61,6.51,6.46,6.45,6.69,6.5,6.46,6.47,4.68,7.09,19854344.33,61.99,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,+,,+,+,+,,,+,+,+,+,,14,0
PENGD,15-04-2024,8.32,18.69,693.85,7.42,7.33,7.28,7.25,7.48,7.32,7.28,7.36,5.27,7.82,19520635.67,60.11,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,+,+,,,+,+,+,+,,13,0
IHGZT,15-04-2024,1.39,27.52,497.38,1.22,1.23,1.25,1.27,1.22,1.23,1.2,1.26,1.18,1.27,154345213.0,55.05,+,+,+,,,,,-_11-03-2024 09:00:00,-_18-03-2024 09:00:00,,,+,+,+,+,+,,+,+,,+,+,12,0
VERUS,15-04-2024,283.5,14.31,792.08,261.15,259.01,254.89,246.06,262.49,258.3,258.8,260.38,119.04,277.83,369989.33,61.91,+,+,+,+,+,,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,+,+,,+,,,+,+,,+,,12,0
BORLS,15-04-2024,37.12,15.86,542.13,34.13,34.3,34.75,35.15,34.24,34.4,33.67,34.78,35.55,34.9,15835613.33,53.84,+,+,+,,,,,-_26-02-2024 09:00:00,-_04-03-2024 09:00:00,,,+,+,+,,+,,+,+,,+,+,11,0
SNICA,15-04-2024,43.0,21.88,2971.95,37.87,37.22,36.58,35.75,38.29,37.08,36.98,37.06,31.72,40.99,20694650.67,64.17,+,+,+,+,+,,+,+_15-04-2024 09:00:00,+_15-01-2024 09:00:00,,,,+,,,,,+,+,+,+,,11,0
CONSE,15-04-2024,6.87,15.85,1121.2,6.23,6.19,6.18,6.23,6.28,6.18,6.14,6.23,6.33,6.46,35284382.0,57.15,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,,+,,+,,+,+,,11,0
DMRGD,15-04-2024,17.19,15.14,559.98,15.58,15.4,15.26,15.15,15.7,15.37,15.28,15.46,15.04,16.29,15544092.0,57.42,,,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,,+,,+,+,+,+,,11,0
SKTAS,15-04-2024,5.38,13.5,541.37,4.94,4.9,4.89,4.85,4.97,4.9,4.87,4.9,3.07,5.17,19809811.33,58.62,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,+,,,+,+,,+,,11,0
GWIND,15-04-2024,27.54,8.17,397.82,26.01,25.93,25.93,25.86,26.11,25.93,25.74,26.11,13.48,26.61,16386470.0,56.24,,+,+,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,+,,,,,,,+,+,10,0
PRKME,15-04-2024,25.74,12.21,1042.44,23.62,23.43,23.31,23.12,23.78,23.4,23.2,23.55,13.77,25.0,7238836.67,59.1,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,+,,,+,+,,+,,9,0
OTTO,15-04-2024,341.0,4.92,520.41,334.24,334.02,333.92,331.23,334.26,333.96,337.18,332.84,139.98,333.0,22645.33,53.42,+,+,+,+,+,,+,+_15-04-2024 09:00:00,+_26-02-2024 09:00:00,,,+,,,-,,,,,,+,,8,1
OZSUB,15-04-2024,33.18,9.29,635.79,31.59,31.37,30.78,29.74,31.65,31.27,31.78,31.45,23.5,31.71,3152787.67,58.94,+,+,+,+,,,+,+_15-04-2024 09:00:00,+_04-12-2023 09:00:00,,,+,,,,,,+,,,+,,8,0
IHYAY,15-04-2024,3.19,19.48,699.39,2.84,2.85,2.88,2.82,2.85,2.86,2.77,2.9,1.37,2.98,23470816.67,57.98,,+,+,,,+,,-_04-03-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,+,,,+,+,,+,,8,0
KONKA,15-04-2024,54.0,6.4,634.29,51.26,51.16,51.04,50.67,51.42,51.15,50.72,51.67,36.29,51.97,4670628.67,55.05,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,+,,,,+,,,+,,8,0
DAGI,15-04-2024,8.55,3.14,489.81,8.25,8.22,8.21,8.19,8.28,8.22,8.21,8.23,5.23,8.44,4968194.33,54.1,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,-,,+,,+,,,+,+,,,,8,1
EDIP,15-04-2024,19.65,12.87,355.7,17.78,17.51,17.26,16.82,17.96,17.46,17.34,17.45,8.23,18.78,4339627.67,60.73,,,,+,+,,+,+_15-04-2024 09:00:00,+_19-06-2023 09:00:00,,-,,+,,+,,,,+,,+,,7,1
ATSYH,15-04-2024,49.0,8.89,486.65,47.14,47.57,48.97,51.75,47.12,47.8,47.12,47.74,48.42,48.76,198262.33,44.69,+,+,+,,,,,-_04-12-2023 09:00:00,-_11-12-2023 09:00:00,,,+,+,,-,+,,,+,,,,7,1
AKFYE,15-04-2024,26.66,17.24,439.73,24.6,24.42,23.69,22.38,24.65,24.3,24.86,24.72,17.59,25.53,65398880.67,59.89,+,+,+,+,,,+,+_15-04-2024 09:00:00,+_15-01-2024 09:00:00,,,+,,,,,,+,,,,,7,0
SELGD,15-04-2024,59.6,17.67,3838.2,55.2,53.85,49.9,43.32,55.46,53.17,55.64,54.21,12.28,58.11,3178814.67,71.43,+,+,,,,,,+_27-11-2023 09:00:00,+_12-06-2023 09:00:00,,,+,+,,+,,+,+,,,,,7,0
YGYO,15-04-2024,5.64,7.63,316.04,5.45,5.43,5.24,4.83,5.45,5.4,5.5,5.54,1.98,5.41,16032519.0,65.02,+,+,,+,,,+,+_15-04-2024 09:00:00,+_05-06-2023 09:00:00,-,,+,+,,+,,,,,,,,7,1
TKFEN,15-04-2024,44.94,4.71,651.49,43.36,43.27,43.18,43.08,43.46,43.25,43.15,43.51,31.68,42.99,24574825.67,54.55,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,-,,,+,,,+,,7,1
