Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
MEPET,16-02-2024,9.65,4.55,117.75,9.37,9.35,9.3,9.39,9.34,9.33,9.36,7.34,9.48,681617.67,60.73,+,+,+,+,+,+,,,,+,,+,,,+,+,,,,10,0
EMNIS,16-02-2024,108.5,4.43,-31.6,106.07,105.83,104.89,106.19,105.7,105.75,106.48,80.61,107.77,15661.0,57.31,+,+,+,+,,+,,,+,+,,+,,+,,+,,,,10,0
DEVA,16-02-2024,88.45,5.17,179.69,85.53,85.14,84.57,85.75,85.03,85.25,85.01,72.59,87.32,1376557.67,65.48,,+,,+,,+,,,,+,,+,,,+,+,+,+,+,10,0
CRFSA,16-02-2024,133.0,4.48,72.39,129.41,128.86,127.99,129.68,128.69,129.27,128.5,97.11,131.57,716584.33,61.08,+,+,,+,,+,,,+,+,,+,,,,,+,+,,9,0
ICBCT,16-02-2024,18.53,3.64,29.51,18.07,18.02,17.93,18.11,18.0,17.97,18.03,13.21,18.28,4548838.0,58.56,,,,+,,+,,,,+,,+,,+,,+,,+,,7,0
YAYLA,16-02-2024,11.69,1.39,-8.39,11.65,11.65,11.52,11.65,11.64,11.74,11.64,7.39,11.73,1454415.67,56.45,+,+,,+,,+,,,+,,,+,,-,,,,,,6,1
SAFKR,16-02-2024,42.66,3.9,100.73,42.07,42.28,42.28,42.0,42.32,42.29,42.61,28.15,42.03,1136527.0,54.84,+,+,+,,,,,,+,,,+,,+,,,,,,6,0
OZSUB,16-02-2024,31.42,9.94,349.82,29.26,28.88,28.49,29.48,28.79,28.82,28.66,23.96,30.51,2945415.33,68.16,,,,,,,+,,,,,+,,,+,+,+,+,,6,0
BEYAZ,16-02-2024,24.48,6.43,111.23,23.51,23.23,22.76,23.61,23.14,23.45,23.09,19.92,24.17,3628300.67,68.83,+,,,,,,,,+,+,,+,,+,,,,+,,6,0
DIRIT,16-02-2024,16.19,5.13,-1.66,15.96,16.19,16.34,15.91,16.25,15.94,16.53,9.65,15.7,265294.33,52.42,+,+,,,,,,,+,+,,+,,+,,,,,,6,0
SNICA,16-02-2024,39.84,5.4,93.85,38.3,37.93,37.37,38.48,37.81,37.99,37.71,31.97,39.65,6541403.33,69.13,,,,,,,,,,,,+,,+,+,+,+,+,,6,0
PENTA,16-02-2024,21.16,1.63,2.14,21.13,21.13,20.92,21.09,21.1,21.34,21.25,23.46,21.09,13536553.0,56.65,+,+,+,,,,,,+,,,+,,+,,,-,,,6,1
ARENA,16-02-2024,47.16,2.57,1.46,46.78,46.51,45.52,46.78,46.34,47.11,46.56,29.66,46.93,1431043.33,67.21,+,+,,,,,,,+,,,+,,+,,,-,,,5,1
