Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
BIGCH,01-04-2024,32.18,26.79,43.0,30.38,30.42,30.16,29.94,30.29,30.38,30.93,30.71,29.58,30.0,7531543.0,53.5,+,+,+,,+,+,,-_25-03-2024 09:00:00,+_01-04-2024 09:00:00,,,+,+,,,+,+,,,,+,+,11,0
TTKOM,01-04-2024,35.86,18.27,25.89,32.35,31.76,30.82,29.31,32.65,31.58,31.84,31.67,15.85,33.61,147602158.33,69.54,+,+,,,,,+,+_01-04-2024 09:00:00,+_20-11-2023 09:00:00,,,+,+,,+,,+,,+,+,+,,10,0
BVSAN,01-04-2024,113.9,11.12,162.45,108.22,107.37,105.54,102.55,108.47,107.01,108.82,107.12,83.44,110.43,6447710.67,59.79,+,+,+,+,,,+,+_01-04-2024 09:00:00,+_29-01-2024 09:00:00,,,+,+,,,,,+,,,+,,9,0
LKMNH,01-04-2024,70.2,16.71,22.36,64.93,63.3,60.86,57.19,65.54,62.79,64.36,61.51,25.45,66.52,3822831.33,65.28,+,+,,,,,,+_29-01-2024 09:00:00,+_03-07-2023 09:00:00,,,+,+,,+,,,,+,+,+,,8,0
RUBNS,01-04-2024,31.7,14.52,124.9,29.42,29.09,28.72,28.47,29.56,29.0,29.45,28.87,25.54,30.46,6827312.33,57.8,+,+,+,+,,,+,+_01-04-2024 09:00:00,+_12-02-2024 09:00:00,,,+,+,,,,,,,,+,,8,0
GSDHO,01-04-2024,4.22,6.03,34.03,4.13,4.15,4.15,4.13,4.13,4.15,4.16,4.19,2.52,4.14,118383883.33,53.04,+,+,+,,,+,,-_18-03-2024 09:00:00,+_01-04-2024 09:00:00,,+,+,+,+,-,,,,,,,,8,1
HALKB,01-04-2024,15.05,10.99,64.93,14.13,14.0,13.85,13.71,14.19,13.96,14.09,13.93,9.57,14.37,330208199.0,59.66,+,+,+,+,,,+,+_01-04-2024 09:00:00,+_05-02-2024 09:00:00,,,+,+,,-,,,,,,+,,8,1
OTKAR,01-04-2024,492.0,5.58,4.19,484.19,484.0,477.56,459.33,483.65,483.22,487.93,487.1,199.8,471.83,3103255.33,59.85,+,+,+,+,,,+,+_01-04-2024 09:00:00,+_05-06-2023 09:00:00,,,+,+,,+,,,,,,,,8,0
ARCLK,01-04-2024,165.5,11.82,27.11,155.31,153.55,151.03,148.24,156.02,152.99,155.23,152.54,87.34,158.53,18522953.33,61.6,+,+,+,,,,+,+_01-04-2024 09:00:00,+_05-02-2024 09:00:00,,,+,+,,+,,,,,,+,,8,0
TURSG,01-04-2024,57.8,13.33,82.75,53.83,52.64,50.53,46.99,54.26,52.23,53.36,52.01,17.01,55.59,16531506.33,70.31,+,+,,,,,,+_22-05-2023 09:00:00,+_29-05-2023 09:00:00,,,+,+,,+,,+,,+,,+,,8,0
