Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
14-06-2024 11:00,KRDMA,24.24,24.54,24.22,24.5,192880.0,0.04,0.26,0.03,900.0,0.26,76720.3,151.41,True,0,,22.96,24.84,False
14-06-2024 11:00,KRDMB,22.28,22.72,22.2,22.6,186487.0,0.12,0.32,0.07,357.14,0.32,80712.7,131.05,True,1,22.72,20.98,22.72,False
14-06-2024 10:00,ALTIN,23.66,23.91,23.65,23.89,3361215.0,0.02,0.23,0.04,505.26,0.23,1557361.7,115.83,True,0,,23.39,24.13,False
14-06-2024 10:00,EGSER,3.47,3.51,3.46,3.5,1688321.0,0.01,0.03,0.0,1400.0,0.03,535194.2,215.46,True,2,3.46,3.46,3.52,False
14-06-2024 10:00,LIDER,73.0,79.75,73.0,78.85,461101.0,0.9,5.85,0.87,576.3,5.85,240807.4,91.48,True,0,,69.4,ATH,False
13-06-2024 17:00,ORGE,64.4,65.1,64.35,65.1,135743.0,0.0,0.7,0.03,1900.0,0.7,67647.7,100.66,True,0,,62.75,68.0,False
13-06-2024 17:00,BRKVY,58.85,63.45,58.85,63.45,468317.0,0.0,4.6,0.53,767.92,4.6,149071.6,214.16,True,0,,53.6,ATH,False
13-06-2024 17:00,ARCLK,171.1,173.2,170.5,173.1,457256.0,0.1,2.0,0.23,769.57,2.0,171028.3,167.36,True,0,,166.8,177.8,False
13-06-2024 16:00,RGYAS,128.8,131.5,128.8,131.0,250279.0,0.5,2.2,0.51,331.37,2.2,131595.3,90.19,True,1,131.5,116.0,131.5,False
13-06-2024 16:00,HUNER,4.08,4.13,4.06,4.12,1978236.0,0.01,0.04,0.01,263.64,0.04,1198468.6,65.06,True,0,,3.98,4.28,True
13-06-2024 16:00,PETKM,21.16,21.3,21.04,21.26,16779879.0,0.04,0.1,0.02,400.0,0.1,7885334.1,112.8,True,0,,20.64,22.0,False
13-06-2024 16:00,KOTON,23.54,24.16,23.54,24.06,1485032.0,0.1,0.52,0.13,300.0,0.52,551844.9,169.1,True,0,,22.28,ATH,False
13-06-2024 16:00,OZYSR,25.9,26.72,25.72,26.66,943291.0,0.06,0.76,0.12,533.33,0.76,414854.5,127.38,True,0,,24.94,26.98,False
