Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
14-06-2024 10:00,SISE,48.48,48.84,48.48,48.84,4440330.0,0.0,0.36,0.03,1185.71,0.36,2155443.0,106.01,True,0,,47.02,49.18,False
14-06-2024 10:00,PATEK,73.1,75.5,73.05,75.1,144388.0,0.4,2.0,0.25,716.33,2.0,82948.6,74.07,True,0,,69.65,76.5,False
14-06-2024 10:00,MAKTK,7.34,7.57,7.25,7.57,4610548.0,0.0,0.23,0.02,900.0,0.23,574296.7,702.82,True,0,,6.19,ATH,False
13-06-2024 17:00,OYAKC,59.35,60.05,59.35,60.0,2733580.0,0.05,0.65,0.13,400.0,0.65,922728.5,196.25,True,0,,57.35,61.25,False
13-06-2024 17:00,GOKNR,21.68,21.88,21.68,21.86,453086.0,0.02,0.18,0.03,429.41,0.18,174825.4,159.16,True,0,,21.2,21.9,False
13-06-2024 17:00,DESA,29.24,29.8,29.22,29.64,93089.0,0.16,0.4,0.09,325.53,0.4,60213.7,54.6,True,0,,28.2,32.96,False
13-06-2024 17:00,UNLU,15.83,16.4,15.74,16.25,1456491.0,0.15,0.42,0.08,425.0,0.42,200422.6,626.71,True,0,,15.33,16.45,False
13-06-2024 17:00,TKFEN,52.0,53.15,52.0,53.15,981574.0,0.0,1.15,0.21,434.88,1.15,570474.4,72.06,True,0,,49.34,53.4,False
13-06-2024 17:00,PAPIL,128.2,135.0,126.7,134.5,631860.0,0.5,6.3,0.48,1212.5,6.3,155981.5,305.09,True,0,,115.5,ATH,False
13-06-2024 17:00,IEYHO,4.77,4.85,4.77,4.84,2581826.0,0.01,0.07,0.01,400.0,0.07,1063538.5,142.76,True,0,,4.59,4.92,False
13-06-2024 17:00,BRKVY,58.85,63.45,58.85,63.45,468317.0,0.0,4.6,0.53,767.92,4.6,149071.6,214.16,True,0,,53.6,64.1,False
13-06-2024 17:00,ARCLK,171.1,173.2,170.5,173.1,457256.0,0.1,2.0,0.23,769.57,2.0,171028.3,167.36,True,0,,166.8,177.8,False
13-06-2024 17:00,PASEU,61.7,63.5,61.3,63.5,221251.0,0.0,1.8,0.11,1465.22,1.8,104929.5,110.86,True,0,,56.9,ATH,False
13-06-2024 17:00,BAYRK,58.0,59.95,57.8,59.95,362338.0,0.0,1.95,0.41,381.48,1.95,167021.7,116.94,True,0,,50.0,70.0,False
13-06-2024 16:00,KCAER,51.85,53.2,51.7,53.05,569300.0,0.15,1.2,0.27,344.44,1.2,321535.1,77.06,True,0,,49.1,54.3,False
13-06-2024 16:00,ETILR,22.56,23.2,22.54,23.16,191615.0,0.04,0.6,0.05,1053.85,0.6,75114.3,155.1,True,0,,21.74,24.5,False
13-06-2024 16:00,HUNER,4.08,4.13,4.06,4.12,1978236.0,0.01,0.04,0.01,263.64,0.04,1198468.6,65.06,True,0,,3.98,4.28,True
13-06-2024 16:00,PETKM,21.16,21.3,21.04,21.26,16779879.0,0.04,0.1,0.02,400.0,0.1,7885334.1,112.8,True,0,,20.64,22.0,False
13-06-2024 16:00,BIOEN,19.62,20.08,19.62,20.04,895355.0,0.04,0.42,0.07,536.36,0.42,518504.2,72.68,True,0,,18.98,ATH,False
13-06-2024 16:00,RGYAS,128.8,131.5,128.8,131.0,250279.0,0.5,2.2,0.51,331.37,2.2,131595.3,90.19,True,0,,116.0,ATH,False
13-06-2024 16:00,KOTON,23.54,24.16,23.54,24.06,1485032.0,0.1,0.52,0.13,300.0,0.52,551844.9,169.1,True,0,,22.28,24.88,False
13-06-2024 16:00,OBAMS,36.12,36.62,36.12,36.6,505844.0,0.02,0.48,0.08,485.37,0.48,327404.2,54.5,True,0,,35.64,38.74,True
