Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_Ort,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
YESIL,15-02-2024,4.68,9.86,499.96,4.43,4.41,4.4,4.45,4.41,4.39,4.42,4.48,4.54,22453836.0,62.29,+,+,+,+,+,+,,,+,+,+,+,+,,+,+,,+,+,15,0
METUR,15-02-2024,8.32,9.91,100.5,7.9,7.89,7.88,7.92,7.89,7.84,7.92,6.19,8.09,6362989.0,57.71,+,+,+,+,+,+,,,+,+,,+,,,,+,,+,,11,0
YKSLN,15-02-2024,15.94,4.25,69.68,15.59,15.55,15.47,15.61,15.53,15.57,15.54,13.61,15.77,2820138.0,59.33,+,+,+,+,,+,,,+,+,+,+,,,,,+,+,,11,0
BSOKE,15-02-2024,13.75,10.0,135.74,12.94,12.78,12.64,13.03,12.74,12.77,12.68,9.09,13.32,7795848.33,65.92,+,+,,,,,,+,+,+,+,+,,+,,,,+,,9,0
OZGYO,15-02-2024,6.17,5.65,107.52,5.96,5.93,5.89,5.97,5.92,5.93,5.93,5.28,6.11,7805946.67,61.77,+,+,,+,,+,,,+,+,,+,,,,+,,+,,9,0
DOCO,15-02-2024,4712.5,9.98,642.38,4433.81,4381.65,4333.11,4461.45,4369.38,4383.39,4338.29,3459.61,4578.33,26512.33,69.91,+,+,,,,,,,+,+,,+,,+,+,+,,+,,9,0
YUNSA,15-02-2024,80.65,3.53,-1.45,79.61,79.59,79.22,79.59,79.54,79.86,79.84,69.08,80.15,1351522.33,58.08,+,+,+,+,,+,,,+,+,,+,,,,,,,+,9,0
MACKO,15-02-2024,81.95,4.0,10.4,80.79,80.65,79.92,80.81,80.54,80.86,81.01,75.15,81.17,759904.0,58.78,+,+,+,+,,+,,,+,+,,+,,,,,+,,,9,0
IDEAS,15-02-2024,188.4,9.98,91.31,178.86,177.55,174.28,179.41,177.02,178.61,177.72,90.47,182.47,579168.33,64.61,+,+,+,+,,+,,,+,+,,+,,+,,,,,,9,0
OZSUB,15-02-2024,28.58,3.7,26.88,28.18,28.16,28.0,28.18,28.14,28.2,28.25,23.9,28.28,1434749.67,56.95,+,+,+,+,,+,,,+,+,+,+,,,,,,,,9,0
