Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,H_Wma9XH_Wma15,H_Wma9>H_Wma15,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,Arasinda(H_Wma9/H_Wma15)
26-02-2024 17:00,17.13,17.28,16.77,16.96,1737118.0,IZFAS,14.45,17.22,17.16,16.55,+_26-02-2024 09:00:00,17.39,-,2.48,-,17.16,17.09,0.05,0.0,0.05,47.85,50.75,+,-,-0.99,-3.71,1718217.0,+,0.2,1.15,0.13,0.74,17.24,17.6,16.43,17.5,15000717.0,2.29,0.52,1.76,73.62,68.62,16.52,15.34,1.18,12.48,1.45,-23.46,20183781.67,-,+,+,+,,+_11-12-2023 09:00:00,0.44,2.67,+,-,True,7.7,-,H_Wma9:H_Wma15:H_Tk,1.52,+,,,,,,,-,-_26-02-2024 13:00:00,-,,,
26-02-2024 17:00,47.18,47.52,46.12,46.14,146484.0,IZINV,40.42,44.89,44.65,42.97,+_22-02-2024 13:00:00,14.14,-,7.38,-,45.59,44.78,0.86,0.45,0.41,60.5,55.31,+,+,-2.2,-35.99,413045.33,-,0.55,1.21,1.36,3.05,43.34,45.7,41.3,43.64,2956525.0,3.11,0.08,3.04,64.23,61.62,41.72,40.89,0.83,41.24,0.79,30.96,2538332.33,+,+,+,-,,+_12-02-2024 09:00:00,4.42,10.59,+,-,True,2.04,-,H_Wma9:H_Tk:H_Wma15,10.54,-,,,,,,,,+_26-02-2024 09:00:00,+,,,
26-02-2024 17:00,6.72,6.72,6.66,6.66,1949491.0,IZMDC,6.3,6.8,6.66,6.36,+_16-02-2024 09:00:00,5.74,-,4.63,-,6.74,6.76,0.03,-0.02,0.05,46.55,55.25,-,-,-0.89,-51.28,3793121.33,-,0.08,1.25,0.1,1.41,6.82,6.95,6.49,6.76,125549645.0,0.02,0.1,-0.08,56.71,45.73,6.47,6.22,0.26,6.14,-0.15,26.23,115831453.67,+,+,+,+,,+_29-01-2024 09:00:00,0.19,2.92,+,-,True,4.11,-,H_Wma9:H_Wma15:H_Tk,2.92,-,,,,,,,,-_23-02-2024 09:00:00,-,-,,
26-02-2024 17:00,188.6,188.7,186.0,187.0,212090.0,JANTS,153.89,190.25,202.9,165.7,-_22-02-2024 13:00:00,21.51,-,12.85,-,187.88,188.31,1.53,-1.72,3.25,50.04,52.61,-,-,-0.8,-61.22,508588.0,-,0.88,0.47,1.31,0.7,208.6,215.3,185.0,185.0,9304570.0,12.02,4.93,7.09,65.98,57.65,163.52,154.86,8.66,172.25,-9.71,-51.09,12089700.67,-,+,+,-,,+_12-02-2024 09:00:00,23.48,14.36,+,-,True,5.59,-,H_Tk:H_Wma9:H_Wma15,13.75,-,,,,,,-,,-_26-02-2024 17:00:00,-,,,
26-02-2024 17:00,143.8,143.8,136.0,141.9,53816.0,KAPLM,108.62,151.25,138.75,104.2,+_29-01-2024 09:00:00,30.64,-,36.18,-,146.08,147.22,6.57,-2.21,8.78,54.98,68.84,-,-,-1.25,-73.23,213784.0,-,4.18,2.86,5.32,3.61,131.6,166.5,130.5,146.9,5486471.0,4.72,4.19,0.54,74.89,49.46,113.0,106.24,6.76,120.8,13.88,160.31,2909510.0,+,+,+,-,,+_19-02-2024 09:00:00,28.9,25.58,+,-,True,6.36,-,H_Tk:H_Wma9:H_Wma15,20.36,-,,,,,,,,-_23-02-2024 09:00:00,-,,,
26-02-2024 17:00,17.46,18.0,17.46,17.6,2393266.0,KAREL,14.24,17.29,16.54,14.22,+_26-01-2024 13:00:00,23.63,-,23.81,-,17.32,17.17,0.45,0.01,0.44,66.22,64.01,+,+,0.86,-62.42,3982306.0,-,0.28,1.63,0.43,2.53,16.25,17.47,16.06,17.28,44897659.0,0.8,0.26,0.53,68.29,52.89,14.88,14.14,0.74,14.6,6.34,1.15,51054751.0,-,+,+,-,,+_12-02-2024 09:00:00,2.72,18.31,+,-,False,5.22,-,H_Wma9:H_Tk:H_Wma15,17.37,-,,,,,,,,+_26-02-2024 13:00:00,+,,,
26-02-2024 17:00,10.28,10.28,10.19,10.22,2985661.0,KARSN,9.65,10.34,10.21,9.68,+_16-02-2024 09:00:00,5.91,-,5.58,-,10.28,10.26,0.05,-0.01,0.07,50.97,53.53,-,-,-0.58,-51.01,6796960.33,-,0.06,0.62,0.04,0.42,10.54,10.65,9.99,10.25,152671249.0,-0.04,0.12,-0.16,55.37,43.87,9.82,9.52,0.3,10.2,-1.73,45.85,118710776.33,+,+,+,-,,+_12-02-2024 09:00:00,0.4,4.07,+,-,True,3.14,-,H_Tk:H_Wma9:H_Wma15,3.77,-,,,,,,,-,-_26-02-2024 13:00:00,-,,,
26-02-2024 17:00,101.5,102.4,100.0,102.2,129812.0,KARTN,82.35,97.8,97.18,84.58,+_16-01-2024 13:00:00,24.1,-,20.84,-,99.28,97.66,2.96,0.39,2.57,70.18,61.48,+,+,0.79,-73.72,429263.67,-,2.92,2.94,4.54,4.65,93.4,100.2,91.75,96.15,4493565.0,2.22,1.53,0.69,69.86,50.68,83.45,80.92,2.52,84.65,4.34,-40.26,4719750.0,+,+,+,-,,+_19-02-2024 09:00:00,18.75,22.48,+,-,False,3.12,-,H_Tk:H_Wma9:H_Wma15,19.84,-,,,,,,,,+_22-02-2024 09:00:00,+,,,
26-02-2024 17:00,61.5,61.9,60.0,60.0,245521.0,KARYE,40.16,61.72,66.72,48.31,-_20-02-2024 17:00:00,49.4,-,24.2,-,60.75,62.14,-0.13,-1.11,0.98,45.04,51.26,-,-,-2.44,-65.35,712436.0,-,0.75,1.23,2.14,3.44,65.75,70.0,55.05,59.45,15725937.0,7.26,4.08,3.19,75.17,57.94,46.52,39.29,7.22,49.2,-9.99,-6.71,15962376.67,-,+,+,-,,+_29-01-2024 09:00:00,13.48,28.98,+,-,True,18.38,-,H_Tk:H_Wma9:H_Wma15,28.98,-,,,,,,-,,-_26-02-2024 17:00:00,-,,,
26-02-2024 17:00,2.69,2.7,2.63,2.64,16980353.0,KATMR,2.34,2.66,2.68,2.4,-_22-02-2024 13:00:00,12.83,-,10.23,-,2.67,2.66,0.02,-0.01,0.02,49.66,51.69,-,-,-1.86,15.59,23867964.33,-,0.03,1.02,0.02,0.62,2.7,2.83,2.56,2.67,523582882.0,0.15,0.03,0.12,66.55,54.59,2.43,2.31,0.12,2.54,-0.37,6.94,507955933.67,+,+,+,-,,+_12-02-2024 09:00:00,0.21,8.56,+,-,True,5.17,-,H_Tk:H_Wma9:H_Wma15,8.15,-,,,,,,-,-,-_26-02-2024 17:00:00,-,,,
