Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
BEYAZ,08-05-2024,28.08,9.95,96.9,26.45,26.22,25.87,25.32,26.59,26.15,26.12,26.26,21.03,27.16,2407153.0,64.42,+,+,,+,,,+,+_08-05-2024 09:00:00,+_09-04-2024 09:00:00,,,+,+,,+,,+,+,+,+,+,,12,0
ALVES,08-05-2024,60.75,4.83,-3.6,59.09,58.99,58.93,58.62,59.18,58.98,59.14,58.86,54.73,60.22,12712447.33,54.54,+,+,+,+,+,+,+,+_08-05-2024 09:00:00,+_08-05-2024 09:00:00,,,+,+,,,,+,,+,,+,,12,0
GEREL,08-05-2024,41.66,9.98,144.7,40.56,40.53,40.2,39.6,40.52,40.48,40.84,40.68,28.97,40.4,5856806.33,56.08,+,+,+,+,,,+,+_08-05-2024 09:00:00,+_16-04-2024 09:00:00,,,+,+,,+,,+,+,,,+,,11,0
ALGYO,08-05-2024,46.0,4.59,35.51,45.29,45.18,44.96,44.74,45.31,45.14,45.37,45.1,40.03,45.25,1967337.33,55.6,+,+,+,+,,,+,+_08-05-2024 09:00:00,+_24-04-2024 09:00:00,,,+,+,+,+,,+,,,,+,,11,0
FENER,08-05-2024,92.5,5.47,100.63,89.18,89.08,89.25,89.59,89.39,89.11,88.54,89.18,90.88,91.77,3552715.67,53.41,,+,+,+,,,+,+_08-05-2024 09:00:00,-_29-04-2024 09:00:00,,,,,,+,+,,+,+,+,+,+,11,0
EMKEL,08-05-2024,15.53,3.26,64.64,15.37,15.36,15.39,15.51,15.38,15.36,15.36,15.29,14.63,15.53,3940494.67,48.9,+,+,+,+,,,+,+_08-05-2024 09:00:00,-_12-02-2024 09:00:00,,,+,+,,-,,+,,+,,,+,10,1
KENT,08-05-2024,1487.0,9.99,38.72,1434.57,1427.28,1402.94,1352.25,1435.87,1423.32,1442.04,1428.67,707.74,1424.33,8562.33,59.2,+,+,+,+,,,+,+_08-05-2024 09:00:00,+_29-01-2024 09:00:00,,,+,+,,+,,+,,,,,+,10,0
RTALB,08-05-2024,13.1,3.31,-13.3,12.93,12.87,12.79,12.73,12.95,12.85,12.88,12.86,12.85,13.07,3869713.0,54.9,+,+,+,,,,,+_03-05-2024 09:00:00,+_18-04-2024 09:00:00,,,+,+,,+,+,+,,+,,+,,10,0
ADESE,08-05-2024,2.47,6.47,263.01,2.38,2.36,2.35,2.36,2.39,2.36,2.36,2.35,2.18,2.44,152177293.67,57.59,+,+,+,,,+,,+_02-05-2024 09:00:00,+_08-05-2024 09:00:00,,,+,+,,+,,,+,+,,,+,10,0
QNBFL,08-05-2024,157.7,9.97,56.04,147.9,146.64,146.76,147.9,148.84,146.51,145.76,145.42,97.66,153.47,60963.67,57.26,,+,+,+,+,,+,+_08-05-2024 09:00:00,-_04-04-2024 09:00:00,+,,,+,,-,,,,+,+,,,9,1
IHYAY,08-05-2024,3.15,4.65,223.99,3.07,3.04,2.99,2.93,3.08,3.03,3.05,3.04,2.42,3.13,6093041.67,62.17,+,+,,,,,,+_09-04-2024 09:00:00,+_17-04-2024 09:00:00,,,+,+,,+,,+,+,+,,+,,9,0
SUWEN,08-05-2024,22.34,7.92,125.63,20.92,20.68,20.58,20.58,21.07,20.65,20.53,20.5,19.77,22.0,3978750.67,63.44,,,,+,+,+,,+_07-05-2024 09:00:00,+_08-05-2024 09:00:00,+,+,,,+,+,,,+,,+,,,9,0
GSDDE,08-05-2024,10.52,9.93,35.4,10.15,10.17,10.2,10.2,10.15,10.18,10.18,10.17,9.0,10.22,11758818.67,53.48,+,+,+,,,,,-_06-05-2024 09:00:00,-_06-05-2024 09:00:00,+,,+,+,+,-,,,,,,+,+,9,1
CATES,08-05-2024,62.2,9.99,250.04,58.67,58.01,57.51,57.54,59.04,57.87,57.94,57.44,61.87,60.72,4601560.67,59.16,+,+,+,,,+,,+_03-05-2024 09:00:00,+_08-05-2024 09:00:00,,,+,+,,,+,,+,+,,,,9,0
