Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
SELGD,15-04-2024,55.7,9.97,1260.77,52.74,52.79,53.42,54.09,52.91,52.89,52.1,52.88,29.89,53.49,409001.0,53.37,+,+,+,,,,+,+_15-04-2024 09:00:00,-_26-03-2024 09:00:00,,,+,+,,-,,+,+,,,+,,9,1
KUVVA,15-04-2024,47.0,9.81,410.47,43.66,43.17,43.11,43.46,44.03,43.11,42.74,42.71,45.29,45.13,47765.67,59.78,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,+,,,,,+,+,,+,,+,,,9,0
MIPAZ,15-04-2024,89.8,9.98,657.4,85.41,85.76,87.39,89.48,85.61,86.05,84.58,85.8,56.6,86.03,833661.67,49.75,+,+,+,,,,,-_15-03-2024 09:00:00,-_21-03-2024 09:00:00,,,+,+,,-,,+,+,+,,,+,9,1
BRKVY,15-04-2024,197.0,5.35,175.61,191.71,193.99,196.51,194.83,191.35,194.72,191.13,197.69,94.23,191.3,61736.33,52.79,+,+,+,,,,,-_29-03-2024 09:00:00,-_05-04-2024 09:00:00,,,+,+,,+,,,,+,,,+,8,0
KTLEV,15-04-2024,140.2,9.96,813.04,132.85,131.15,128.72,125.01,133.62,130.65,131.49,130.23,68.62,135.33,1445237.0,66.58,+,+,,,,,,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,+,,,,,+,+,+,+,+,,8,0
SKTAS,15-04-2024,5.1,7.59,448.23,4.75,4.69,4.68,4.72,4.79,4.68,4.63,4.63,4.46,4.95,4842163.33,60.18,,,,,+,+,,+_09-04-2024 09:00:00,+_15-04-2024 09:00:00,+,,,,+,+,,,+,,+,,,7,0
TGSAS,15-04-2024,69.45,9.98,253.48,64.92,64.21,63.83,62.72,65.42,64.11,64.01,63.2,37.14,66.47,236779.33,59.07,,,,+,+,,+,+_15-04-2024 09:00:00,+_08-04-2024 09:00:00,,,,,,+,,+,+,,,+,,7,0
PKART,15-04-2024,81.55,9.98,262.61,75.7,75.56,75.86,75.32,76.16,75.64,73.94,76.22,47.91,78.03,462881.33,57.05,,,+,+,,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,+,,+,,,,,,+,,7,0
GARFA,15-04-2024,184.5,4.12,272.23,177.02,176.08,175.95,174.5,177.93,176.03,174.29,175.38,102.86,181.23,238212.0,57.59,,,,+,+,+,+,+_15-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,,,+,,,,,,+,,6,0
DOGUB,15-04-2024,22.72,4.12,166.97,21.6,21.37,21.38,21.56,21.76,21.35,21.23,21.01,18.64,22.45,1446101.67,55.45,,,,,+,+,,+_09-04-2024 09:00:00,+_15-04-2024 09:00:00,,,,,,+,,+,+,,+,,,6,0
