Hisse,Tarih,close,%Deg,%Vol,rsi_uyumsuzluk,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
ANELE,03-05-2024,23.38,9.97,183.37,,21.9,21.55,21.09,20.42,22.07,21.45,21.58,21.35,12.74,23.38,2149326.33,68.48,,,,,,,,+_08-04-2024 09:00:00,+_28-12-2023 09:00:00,,,,+,,+,,,+,+,+,+,,6,0
ADEL,03-05-2024,732.5,-1.68,-52.36,,740.23,734.64,724.03,708.37,741.14,732.49,739.43,730.32,476.82,741.0,696207.67,55.3,-,-,,,,,,+_08-04-2024 09:00:00,+_05-04-2024 09:00:00,,,,,,+,,,-,,,,,1,3
ADEL,03-05-2024,733.0,-1.61,-51.95,,740.4,734.75,724.1,708.42,741.34,732.59,739.53,730.39,476.82,741.17,696851.33,55.37,-,-,,,,,,+_08-04-2024 09:00:00,+_05-04-2024 09:00:00,,,,,,+,,,-,,,,,1,3
ATATP,03-05-2024,146.4,1.53,3.91,,147.33,146.77,143.2,137.92,146.98,146.19,149.5,147.9,93.82,147.97,835535.0,58.86,,,,,,,,+_08-04-2024 09:00:00,+_09-04-2024 09:00:00,,,,,,+,,,,,,,,1,0
BIZIM,03-05-2024,39.28,-0.1,-68.66,,39.49,39.6,39.96,40.65,39.48,39.66,39.42,39.59,39.16,39.35,1226867.0,41.93,,,,,,,,-_17-04-2024 09:00:00,-_25-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
BJKAS,03-05-2024,38.56,-9.99,22.43,,48.28,54.03,59.25,62.61,45.86,55.43,52.48,61.15,48.21,38.56,406150.0,27.26,,,,,,,,-_25-04-2024 09:00:00,-_26-04-2024 09:00:00,,,,,,-,,,-,,,,,0,2
BRLSM,03-05-2024,23.5,1.29,-60.89,,24.68,25.34,25.88,26.34,24.36,25.49,25.41,26.07,24.76,23.55,9529383.67,33.89,,,,,,,,-_30-04-2024 09:00:00,-_30-04-2024 09:00:00,,,,,,-,,,,,,,,0,1
