Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
23-08-2024 14:00,INVEO,7.85,8.26,7.85,8.2,1538300.0,0.06,0.35,0.01,2816.67,0.35,455171.4,237.96,True,0,,ATL,8.8,True,True
23-08-2024 14:00,DAPGM,5.23,5.32,5.23,5.31,13409122.0,0.01,0.08,0.0,2566.67,0.08,7697662.6,74.2,True,0,,4.61,5.44,False,False
23-08-2024 14:00,OYLUM,9.04,9.11,9.04,9.1,128485.0,0.01,0.06,0.01,650.0,0.06,66444.7,93.37,True,0,,8.96,9.64,True,False
23-08-2024 13:00,PLTUR,24.92,26.2,24.92,25.96,1042035.0,0.24,1.04,0.16,550.0,1.04,549355.6,89.68,True,0,,24.02,27.38,False,False
23-08-2024 13:00,ELITE,29.08,30.72,28.9,30.56,1366077.0,0.16,1.48,0.23,537.93,1.48,266690.5,412.23,True,0,,28.16,31.04,False,False
23-08-2024 13:00,MERCN,13.65,13.9,13.63,13.84,412718.0,0.06,0.19,0.03,578.57,0.19,255586.6,61.48,True,0,,13.45,14.0,False,False
23-08-2024 12:00,ALCTL,119.7,126.1,118.7,124.3,612561.0,1.8,4.6,1.22,277.05,4.6,266238.8,130.08,True,0,,109.0,ATH,False,False
23-08-2024 11:00,BRKVY,48.72,50.15,48.48,50.15,289151.0,0.0,1.43,0.07,1972.46,1.43,148972.7,94.1,True,0,,48.16,56.5,False,False
23-08-2024 10:00,OSTIM,6.91,7.05,6.82,7.02,796011.0,0.03,0.11,0.0,10900.0,0.11,498233.2,59.77,True,0,,6.8,7.19,False,False
23-08-2024 10:00,ARASE,53.4,55.35,52.7,54.95,642141.0,0.4,1.55,0.05,3000.0,1.55,138709.8,362.94,True,0,,52.2,56.0,False,False
23-08-2024 10:00,TCKRC,31.88,31.94,30.94,31.94,11111759.0,0.0,0.06,0.01,900.0,0.06,1920699.3,478.53,True,0,,26.4,ATH,False,False
23-08-2024 10:00,DMSAS,5.24,5.48,5.18,5.45,1279541.0,0.03,0.21,0.02,1135.29,0.21,248361.8,415.19,True,0,,5.18,5.61,True,False
23-08-2024 10:00,ALTIN,28.14,28.33,28.14,28.32,6860028.0,0.01,0.18,0.0,4400.0,0.18,2999955.9,128.67,True,0,,27.87,ATH,False,False
23-08-2024 10:00,NTHOL,36.72,37.48,36.4,37.3,536758.0,0.18,0.58,0.05,1060.0,0.58,209887.2,155.74,True,0,,31.86,ATH,False,False
23-08-2024 10:00,MNDTR,6.09,6.2,6.03,6.17,577243.0,0.03,0.08,0.0,9.00719925474099e+16,0.08,314439.0,83.58,True,0,,6.16,6.63,True,True
22-08-2024 17:00,ENKAI,47.52,49.1,47.44,48.76,9961695.0,0.34,1.24,0.22,463.64,1.24,2130033.3,367.68,True,0,,46.26,ATH,False,False
22-08-2024 17:00,EUHOL,5.86,6.44,5.85,6.44,1393578.0,0.0,0.58,0.06,866.67,0.58,619793.8,124.85,True,0,,5.5,ATH,False,False
22-08-2024 17:00,GARAN,112.6,113.8,112.5,113.8,3160758.0,0.0,1.2,0.1,1100.0,1.2,2064017.2,53.14,True,0,,108.4,115.1,False,False
22-08-2024 17:00,GIPTA,41.56,43.0,41.42,42.74,1117114.0,0.26,1.18,0.03,3833.33,1.18,326784.7,241.85,True,0,,41.22,44.6,False,False
22-08-2024 17:00,ANHYT,93.85,97.1,93.3,96.75,297164.0,0.35,2.9,0.12,2316.67,2.9,107327.4,176.88,True,2,93.3,93.3,100.4,True,True
22-08-2024 17:00,ULKER,149.7,152.1,149.6,151.5,800613.0,0.6,1.8,0.06,2900.0,1.8,311552.3,156.98,True,0,,148.8,158.7,True,True
22-08-2024 17:00,ODAS,7.76,7.85,7.76,7.83,5994520.0,0.02,0.07,0.01,900.0,0.07,3500001.8,71.27,True,0,,7.65,7.86,False,False
22-08-2024 16:00,KOZAL,26.98,27.96,26.94,27.88,29281002.0,0.08,0.9,0.07,1150.0,0.9,16322983.4,79.39,True,0,,23.54,ATH,False,False
22-08-2024 16:00,FZLGY,14.0,14.91,13.98,14.9,3491026.0,0.01,0.9,0.07,1167.61,0.9,682305.3,411.65,True,0,,13.96,ATH,False,False
22-08-2024 16:00,AFYON,15.27,15.58,15.25,15.56,2221392.0,0.02,0.29,0.06,353.13,0.29,1347760.4,64.82,True,0,,14.72,15.67,False,False
