Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
21-06-2024 10:00,KARSN,13.21,14.41,13.2,14.14,11917805.0,0.27,0.93,0.1,848.98,0.93,5283436.7,125.57,True,0,,12.65,14.2,False
21-06-2024 10:00,TDGYO,11.4,11.85,11.4,11.79,360777.0,0.06,0.39,0.04,900.0,0.39,148237.0,143.38,True,0,,11.19,12.24,False
21-06-2024 10:00,HRKET,79.7,80.3,77.7,80.3,1417075.0,0.0,0.6,0.06,900.0,0.6,232174.2,510.35,True,0,,64.5,87.45,False
21-06-2024 10:00,FONET,18.66,19.27,18.3,19.23,1425650.0,0.04,0.57,0.12,391.38,0.57,940767.0,51.54,True,0,,16.6,20.36,False
20-06-2024 17:00,NTHOL,34.9,36.32,34.9,36.32,2119534.0,0.0,1.42,0.04,3127.27,1.42,768851.5,175.68,True,0,,30.24,ATH,False
20-06-2024 17:00,THYAO,312.25,315.75,311.75,315.75,9113900.0,0.0,3.5,0.05,6900.0,3.5,3999618.9,127.87,True,0,,309.75,316.25,False
20-06-2024 17:00,MIATK,56.8,58.35,56.75,58.2,3421880.0,0.15,1.4,0.1,1373.68,1.4,1362332.0,151.18,True,0,,52.3,62.35,False
20-06-2024 17:00,KZGYO,21.48,21.54,21.42,21.54,172591.0,0.0,0.06,0.0,2900.0,0.06,88414.1,95.21,True,0,,20.5,22.76,False
20-06-2024 17:00,BIENY,35.58,36.12,35.54,36.02,356186.0,0.1,0.44,0.08,436.59,0.44,152508.7,133.55,True,0,,33.0,36.32,False
20-06-2024 17:00,OYAKC,61.45,61.95,61.4,61.9,712963.0,0.05,0.45,0.02,2150.0,0.45,373041.2,91.12,True,0,,57.35,62.3,False
20-06-2024 17:00,KOZAL,21.58,21.68,21.56,21.66,9041693.0,0.02,0.08,0.0,3900.0,0.08,4239682.4,113.26,True,0,,21.3,22.1,False
20-06-2024 17:00,ISMEN,34.36,35.06,34.24,35.0,1193137.0,0.06,0.64,0.02,2809.09,0.64,749520.7,59.19,True,0,,33.8,38.0,False
20-06-2024 17:00,ASUZU,92.3,93.9,92.2,93.5,699604.0,0.4,1.2,0.08,1500.0,1.2,168411.3,315.41,True,0,,86.2,94.3,False
20-06-2024 17:00,SKBNK,3.77,3.85,3.75,3.83,20727022.0,0.02,0.06,0.01,757.14,0.06,8330174.9,148.82,True,0,,3.7,3.88,False
20-06-2024 17:00,TATEN,31.32,32.12,31.26,32.12,1133466.0,0.0,0.8,0.28,187.77,0.8,568669.6,99.32,True,0,,26.96,ATH,False
20-06-2024 17:00,TCELL,101.5,103.1,101.5,102.7,4947766.0,0.4,1.2,0.34,247.83,1.2,2724611.1,81.6,True,0,,97.55,ATH,False
20-06-2024 17:00,BORSK,31.84,32.12,31.8,32.1,434639.0,0.02,0.26,0.02,1200.0,0.26,243731.6,78.33,True,0,,29.3,32.3,False
20-06-2024 17:00,TOASO,317.25,322.0,315.0,322.0,597799.0,0.0,4.75,0.38,1166.67,4.75,314759.9,89.92,True,0,,290.25,ATH,False
20-06-2024 17:00,AKFYE,28.64,29.0,28.64,29.0,2868991.0,0.0,0.36,0.03,1100.0,0.36,1772275.2,61.88,True,0,,28.06,ATH,False
20-06-2024 17:00,ELITE,28.84,29.6,28.72,29.58,360942.0,0.02,0.74,0.16,374.36,0.74,197358.5,82.89,True,0,,27.54,ATH,False
20-06-2024 17:00,ENJSA,63.8,64.15,63.7,64.15,763872.0,0.0,0.35,0.02,2233.33,0.35,499855.5,52.82,True,0,,56.8,64.55,False
20-06-2024 17:00,GENIL,67.55,68.7,67.3,68.7,233691.0,0.0,1.15,0.05,2200.0,1.15,131659.0,77.5,True,0,,62.05,ATH,False
20-06-2024 16:00,TKFEN,54.2,55.65,54.15,55.6,1056681.0,0.05,1.4,0.21,551.16,1.4,424074.8,149.17,True,0,,51.35,ATH,False
20-06-2024 16:00,GSDDE,9.61,10.05,9.6,10.01,998204.0,0.04,0.4,0.0,39900.0,0.4,432302.9,130.9,True,0,,9.57,10.08,False
20-06-2024 16:00,GSDHO,4.14,4.2,4.14,4.19,2931478.0,0.01,0.05,0.0,2400.0,0.05,1377621.9,112.79,True,0,,3.96,4.29,False
20-06-2024 16:00,ETILR,24.16,25.12,24.1,25.1,385120.0,0.02,0.94,0.18,428.09,0.94,147165.3,161.69,True,0,,21.74,25.28,False
20-06-2024 16:00,VBTYZ,30.24,31.2,30.04,31.18,691841.0,0.02,0.94,0.15,510.39,0.94,296770.5,133.12,True,0,,26.22,31.9,False
20-06-2024 16:00,VAKFN,3.28,3.33,3.27,3.32,3327260.0,0.01,0.04,0.0,700.0,0.04,1465692.2,127.01,True,0,,3.16,ATH,False
20-06-2024 16:00,MARTI,3.63,3.66,3.62,3.66,1884690.0,0.0,0.03,0.0,650.0,0.03,1035428.0,82.02,True,0,,3.58,3.75,False
20-06-2024 16:00,KOPOL,38.14,38.68,38.1,38.6,336367.0,0.08,0.46,0.06,693.1,0.46,124884.5,169.34,True,0,,36.94,39.26,False
20-06-2024 15:00,BARMA,18.37,18.64,18.3,18.58,111371.0,0.06,0.21,0.02,813.04,0.21,72504.4,53.61,True,0,,17.81,20.38,False
20-06-2024 15:00,PCILT,18.63,19.5,18.63,19.47,735266.0,0.03,0.84,0.05,1614.29,0.84,402817.5,82.53,True,0,,18.38,ATH,False
20-06-2024 15:00,ALMAD,6.8,6.86,6.79,6.86,339704.0,0.0,0.06,0.0,1400.0,0.06,211181.1,60.86,True,0,,6.36,6.99,False
20-06-2024 14:00,PENTA,16.17,16.49,16.17,16.41,680897.0,0.08,0.24,0.05,410.64,0.24,199609.2,241.12,True,0,,15.09,17.38,False
