Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
YUNSA,29-04-2024,90.6,22.02,61.27,79.95,78.41,77.56,76.94,80.96,78.15,77.63,77.25,40.35,85.17,4898953.67,66.99,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,+,+,+,+,,+,,+,,,+,+,,15,0
TUCLK,29-04-2024,12.98,12.19,186.21,12.23,12.23,12.26,12.16,12.26,12.24,12.09,12.38,5.85,12.36,15545776.67,55.79,+,+,+,,,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,+,-,,+,+,+,,+,,12,1
MRSHL,29-04-2024,2462.0,15.97,144.94,2267.96,2251.76,2211.94,2096.88,2279.45,2246.2,2237.29,2272.62,762.19,2358.33,281624.0,62.35,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_22-08-2022 09:00:00,,,+,+,,+,,+,+,+,,+,,12,0
KONTR,29-04-2024,269.0,11.43,72.03,251.02,249.96,249.95,249.05,252.28,249.91,246.46,251.46,101.66,258.97,18182911.67,55.97,+,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,,,,+,+,,+,,11,0
ESCOM,29-04-2024,98.2,28.96,84.21,84.01,81.35,77.41,71.46,85.35,80.57,81.16,80.99,29.36,90.77,3074900.33,73.33,+,+,,,,,,+_22-01-2024 09:00:00,+_15-01-2024 09:00:00,+,,+,+,,+,,+,+,+,+,+,,11,0
PARSN,29-04-2024,122.9,13.27,80.66,114.34,113.01,111.82,110.48,115.17,112.71,111.94,112.95,63.42,118.7,2881948.67,58.47,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_08-04-2024 09:00:00,,,+,+,,+,,+,,,+,+,,11,0
KLNMA,29-04-2024,17.3,10.19,13.14,16.44,16.36,16.3,16.1,16.5,16.34,16.36,16.37,9.14,16.53,1487516.33,54.28,+,+,+,+,+,,+,+_29-04-2024 09:00:00,+_12-02-2024 09:00:00,,,+,+,,-,,+,,,,+,,10,1
OSMEN,29-04-2024,310.75,46.24,360.34,244.08,234.03,226.15,217.75,250.43,232.0,230.16,228.11,93.27,285.07,1280192.33,72.06,,,,+,+,,+,+_29-04-2024 09:00:00,+_22-01-2024 09:00:00,+,,,+,,+,,,+,+,+,+,,10,0
AGYO,29-04-2024,9.83,11.7,54.58,9.14,9.11,9.09,8.93,9.19,9.11,8.97,9.15,5.02,9.49,19170080.0,57.92,,+,+,+,+,+,+,+_29-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,+,,+,,+,,,,+,,10,0
DIRIT,29-04-2024,18.5,19.97,61.34,16.42,16.23,15.83,14.86,16.56,16.17,16.03,16.42,6.42,17.74,856644.33,62.7,,+,,+,+,,+,+_29-04-2024 09:00:00,+_19-06-2023 09:00:00,,,,+,,+,,,+,+,,+,,9,0
ISDMR,29-04-2024,37.86,5.11,38.19,36.42,36.46,36.61,36.7,36.51,36.5,36.01,36.81,25.57,37.72,17827671.67,53.76,,+,+,,,,+,+_29-04-2024 09:00:00,-_25-03-2024 09:00:00,,,,+,,+,,,+,+,,+,+,9,0
DOFER,29-04-2024,43.2,16.57,139.59,40.79,41.2,41.3,40.74,40.71,41.29,40.59,42.67,38.84,41.11,8708926.67,53.5,+,+,+,,,+,,-_25-03-2024 09:00:00,+_29-04-2024 09:00:00,,,+,+,,,+,+,+,,,,,9,0
YBTAS,29-04-2024,188000.0,9.3,1.41,182838.75,182284.04,178326.49,168326.42,182790.64,181758.42,183524.94,183892.83,66141.59,182733.33,69.67,58.27,+,+,+,+,,,+,+_29-04-2024 09:00:00,+_10-07-2023 09:00:00,-,,+,+,,+,,+,,,,,,9,1
